
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils_simple#1 - J=5.9e-02, Jf=5.9e-02, ⟨B·n⟩=2.7e-02, C-C-Sep=0.15 Jf=5.9e-02, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.7e-08, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.5, 4.5])=18.0, curvature=[4.1, 4.3, 4.6, 4.3], mean squared curvature=[5.0, 5.0, 5.0, 5.0]
fun_coils_simple#18 - J=1.6e-03, Jf=1.5e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-05, J_MSC=1.3e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 8.8, 5.7, 5.0], mean squared curvature=[5.0, 6.0, 6.2, 5.3]
fun_coils#1 - J=1.7e-03, Jf=1.5e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-05, J_MSC=1.3e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 8.8, 5.7, 5.0], mean squared curvature=[5.0, 6.0, 6.2, 5.3]
fun_coils#2 - J=1.2e+01, Jf=8.3e-01, ⟨B·n⟩=1.2e-01, C-C-Sep=0.03 Jf=8.3e-01, J_length=7.8e-06, J_CC=1.7e-03, J_CURVATURE=2.1e-01, J_MSC=2.5e+00, J_ALS=8.2e-05, J_LENGTH_PENALTY=8.8e+00 Coil lengths=sum([4.7, 43.1, 24.0, 5.9])=77.8, curvature=[46.4, 179.0, 192.3, 123.7], mean squared curvature=[45.7, 55.0, 90.0, 199.3]
fun_coils#3 - J=1.3e-02, Jf=1.5e-03, ⟨B·n⟩=4.6e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-03, J_MSC=9.8e-03, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.8, 30.7, 7.8, 4.9], mean squared curvature=[5.0, 18.9, 6.9, 5.2]
fun_coils#4 - J=1.5e-03, Jf=1.5e-03, ⟨B·n⟩=4.6e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=2.4e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 4.1, 5.6, 5.0], mean squared curvature=[5.0, 4.9, 5.6, 5.3]
fun_coils#5 - J=1.5e-03, Jf=1.5e-03, ⟨B·n⟩=4.6e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=8.6e-07, J_MSC=1.6e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 4.3, 5.6, 5.0], mean squared curvature=[5.0, 4.9, 5.5, 5.2]
fun_coils#6 - J=1.4e-03, Jf=1.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.12 Jf=1.4e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.4e-06, J_MSC=8.6e-06, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 7.4, 5.3, 4.9], mean squared curvature=[5.0, 5.4, 5.0, 5.1]
fun_coils#7 - J=1.3e-03, Jf=1.3e-03, ⟨B·n⟩=4.3e-03, C-C-Sep=0.12 Jf=1.3e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=3.1e-06, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 6.1, 5.3, 4.9], mean squared curvature=[5.0, 5.2, 4.9, 5.1]
fun_coils#8 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=3.9e-03, C-C-Sep=0.12 Jf=1.0e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-04, J_MSC=1.2e-03, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.7, 8.2, 10.0, 6.0], mean squared curvature=[5.0, 6.7, 9.2, 6.8]
fun_coils#9 - J=1.2e-03, Jf=1.2e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.12 Jf=1.2e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-06, J_MSC=1.6e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 6.0, 5.7, 4.8], mean squared curvature=[5.0, 5.4, 5.3, 5.3]
fun_coils#10 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=3.8e-03, C-C-Sep=0.12 Jf=1.0e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.3e-05, J_MSC=4.3e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.7, 5.2, 8.8, 4.7], mean squared curvature=[5.0, 5.2, 7.9, 5.4]
fun_coils#11 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.12 Jf=1.1e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.8e-06, J_MSC=3.6e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 5.6, 5.9, 4.8], mean squared curvature=[5.0, 5.2, 5.8, 5.3]
fun_coils#12 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.12 Jf=1.1e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.3e-06, J_MSC=2.7e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.8, 5.0, 6.1, 4.7], mean squared curvature=[4.9, 5.0, 5.7, 5.2]
fun_coils#13 - J=9.8e-04, Jf=9.4e-04, ⟨B·n⟩=3.7e-03, C-C-Sep=0.12 Jf=9.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=2.9e-06, J_MSC=4.4e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.7, 5.1, 6.2, 4.7], mean squared curvature=[4.9, 5.3, 5.9, 5.2]
fun_coils#14 - J=9.5e-04, Jf=6.9e-04, ⟨B·n⟩=3.1e-03, C-C-Sep=0.11 Jf=6.9e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-05, J_MSC=2.3e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.7, 6.6, 4.8, 8.9], mean squared curvature=[4.9, 6.2, 5.7, 6.6]
fun_coils#15 - J=8.8e-04, Jf=8.4e-04, ⟨B·n⟩=3.5e-03, C-C-Sep=0.12 Jf=8.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.1e-07, J_MSC=4.2e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.7, 5.2, 5.4, 4.9], mean squared curvature=[4.9, 5.3, 5.7, 5.5]
fun_coils#16 - J=7.1e-04, Jf=5.9e-04, ⟨B·n⟩=2.9e-03, C-C-Sep=0.11 Jf=5.9e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.5e-06, J_MSC=1.1e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.3, 6.7, 4.9, 5.2], mean squared curvature=[5.0, 6.1, 6.0, 5.3]
fun_coils#17 - J=6.0e-04, Jf=5.8e-04, ⟨B·n⟩=2.8e-03, C-C-Sep=0.11 Jf=5.8e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=2.4e-07, J_MSC=1.8e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.2, 5.4, 4.9, 5.2], mean squared curvature=[4.9, 5.4, 5.4, 5.1]
fun_coils#18 - J=5.4e-04, Jf=5.0e-04, ⟨B·n⟩=2.6e-03, C-C-Sep=0.11 Jf=5.0e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=9.4e-07, J_MSC=3.8e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.9, 5.5, 5.1, 5.4], mean squared curvature=[5.0, 5.7, 5.5, 5.2]
fun_coils#19 - J=4.8e-04, Jf=3.8e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.11 Jf=3.8e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.9e-06, J_MSC=9.3e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.6])=18.2, curvature=[6.3, 4.8, 6.0, 5.9], mean squared curvature=[5.1, 5.2, 5.9, 6.0]
fun_coils#20 - J=3.9e-04, Jf=3.7e-04, ⟨B·n⟩=2.3e-03, C-C-Sep=0.11 Jf=3.7e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-06, J_MSC=1.4e-05, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.4, 4.5, 5.4, 5.5], mean squared curvature=[4.8, 5.0, 5.4, 5.3]
fun_coils#21 - J=3.5e-04, Jf=3.5e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.11 Jf=3.5e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.9e-07, J_MSC=6.3e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.3, 4.7, 5.4, 5.3], mean squared curvature=[4.8, 5.0, 5.3, 5.2]
fun_coils#22 - J=2.9e-04, Jf=2.8e-04, ⟨B·n⟩=2.0e-03, C-C-Sep=0.11 Jf=2.8e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.8e-07, J_MSC=3.3e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.9, 5.9, 5.1, 5.1], mean squared curvature=[5.0, 4.9, 5.2, 5.2]
fun_coils#23 - J=2.6e-04, Jf=2.6e-04, ⟨B·n⟩=1.9e-03, C-C-Sep=0.11 Jf=2.6e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-09, J_MSC=1.1e-08, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.8, 4.6, 4.9, 5.0], mean squared curvature=[4.6, 4.8, 5.0, 5.0]
fun_coils#24 - J=2.4e-04, Jf=2.3e-04, ⟨B·n⟩=1.8e-03, C-C-Sep=0.10 Jf=2.3e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-07, J_MSC=9.4e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.5, 4.6, 4.9, 5.2], mean squared curvature=[4.8, 5.0, 5.4, 5.2]
fun_coils#25 - J=2.3e-04, Jf=2.2e-04, ⟨B·n⟩=1.7e-03, C-C-Sep=0.10 Jf=2.2e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-06, J_MSC=6.1e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[6.4, 5.3, 4.7, 5.3], mean squared curvature=[4.9, 5.2, 4.9, 5.3]
fun_coils#26 - J=2.1e-04, Jf=2.1e-04, ⟨B·n⟩=1.7e-03, C-C-Sep=0.11 Jf=2.1e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.5e-08, J_MSC=1.6e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.5, 4.6, 4.7, 5.2], mean squared curvature=[4.7, 4.9, 4.8, 5.2]
fun_coils#27 - J=2.0e-04, Jf=1.9e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.11 Jf=1.9e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-08, J_MSC=3.0e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.1, 4.4, 4.6, 5.1], mean squared curvature=[4.7, 4.9, 4.9, 5.2]
fun_coils#28 - J=6.0e-04, Jf=1.6e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.11 Jf=1.6e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-05, J_MSC=4.3e-04, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[7.5, 6.7, 6.4, 5.1], mean squared curvature=[5.4, 6.9, 7.1, 5.9]
fun_coils#29 - J=1.8e-04, Jf=1.8e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.11 Jf=1.8e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-09, J_MSC=2.4e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.3, 4.6, 4.6, 5.0], mean squared curvature=[4.8, 5.2, 5.1, 5.1]
fun_coils#30 - J=1.6e-04, Jf=1.6e-04, ⟨B·n⟩=1.4e-03, C-C-Sep=0.11 Jf=1.6e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-07, J_MSC=6.2e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.6, 4.4, 4.7, 5.0], mean squared curvature=[5.0, 5.1, 5.3, 5.2]
fun_coils#31 - J=1.5e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.11 Jf=1.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.0e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[4.1, 4.5, 4.7, 4.9], mean squared curvature=[5.0, 5.1, 5.0, 5.4]
fun_coils#32 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.11 Jf=1.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[3.5, 4.5, 4.7, 4.9], mean squared curvature=[4.9, 5.0, 5.0, 5.1]
fun_coils#33 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.11 Jf=1.3e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.8e-09, J_MSC=2.8e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[3.5, 4.7, 5.1, 4.8], mean squared curvature=[4.9, 5.1, 5.2, 5.1]
fun_coils#34 - J=1.2e-04, Jf=1.1e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.11 Jf=1.1e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.9e-07, J_MSC=3.4e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[4.2, 4.5, 5.4, 4.7], mean squared curvature=[5.2, 5.1, 5.1, 5.1]
fun_coils#35 - J=1.0e-04, Jf=1.0e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.11 Jf=1.0e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.7e-07, J_MSC=1.3e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[3.5, 4.5, 5.5, 4.6], mean squared curvature=[4.8, 5.1, 5.1, 5.1]
fun_coils#36 - J=9.8e-05, Jf=9.7e-05, ⟨B·n⟩=1.1e-03, C-C-Sep=0.11 Jf=9.7e-05, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-08, J_MSC=5.3e-08, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[3.8, 4.4, 5.1, 4.6], mean squared curvature=[4.8, 4.9, 4.9, 5.0]
fun_coils#37 - J=8.9e-05, Jf=8.7e-05, ⟨B·n⟩=1.1e-03, C-C-Sep=0.11 Jf=8.7e-05, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-07, J_MSC=1.9e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[5.6, 4.5, 5.0, 4.5], mean squared curvature=[5.1, 5.1, 5.1, 5.1]
