
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.003553105236718188
fun_coils_simple#12 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=2.3e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.9, 5.3], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.5, 10.7]
fun_coils_simple#13 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=2.1e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.8, 6.8], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.2, 10.7]
fun_coils_simple#14 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.3e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.7, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.2, 10.5]
fun_coils#1 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.3e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.7, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.2, 10.5]
fun_coils#2 - J=2.9e+01, Jf=4.0e-01, ⟨B·n⟩=9.2e-02, C-C-Sep=0.02 Jf=4.0e-01, J_length=6.5e-06, J_CC=1.3e-03, J_CURVATURE=2.5e-01, J_MSC=2.1e+01, J_ALS=5.0e-05, J_LENGTH_PENALTY=7.1e+00 Coil lengths=sum([3.4, 3.6, 3.8, 8.1, 4.4, 41.5])=64.9, curvature=[6.0, 4.7, 33.5, 847.4, 124.7, 128.5], mean squared curvature=[10.9, 6.1, 16.3, 646.8, 106.0, 22.5]
fun_coils#3 - J=4.5e-01, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=9.7e-03, J_MSC=4.4e-01, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 6.2, 9.4, 143.9], mean squared curvature=[8.3, 5.4, 5.0, 6.3, 9.2, 103.8]
fun_coils#4 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.3e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.7, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.2, 10.5]
fun_coils#5 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.6e-07, J_MSC=1.2e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.7, 9.7, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.2, 10.5]
fun_coils#6 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-07, J_MSC=1.1e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.6, 9.7, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.2, 10.5]
fun_coils#7 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.2e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 9.9, 9.7, 5.3], mean squared curvature=[8.3, 5.4, 5.0, 7.4, 9.2, 10.4]
