index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
0,1,6.016255613180136e-06,5.979942040324523e-06,1.0788535074159857e-06,0.0,3.4187376665545584e-10,3.631357285561321e-08,0.0,3.949722910116655e-07,10.788535074159856,11.94398311322042,11.819598674636087,0.00043627885324406927,0.23648657053445327
1,2,0.6347255578073832,0.1999370388237413,1.983787622676332e-06,0.00041950832545979575,0.011878416220677918,0.4096967873267622,0.024672223331419944,1.6268782591314354e-06,19.83787622676332,126.82102204637086,34.070948761695796,0.05253018796837732,0.04513309616854615
2,3,6.248391313086514e-06,6.22036029261691e-06,1.0788207874158424e-06,0.0,0.0,2.803102046960368e-08,0.0,3.949584308155858e-07,10.788207874158424,11.921782090244783,11.784453729795956,0.000447228511458779,0.23648270520843065
3,4,6.0157271269716715e-06,5.9798139869426405e-06,1.0788520174292014e-06,0.0,2.890170806845549e-10,3.591314002903107e-08,0.0,3.949716637836964e-07,10.788520174292014,11.942974732662005,11.817997984985253,0.0004362715053640165,0.23648639436331953
4,5,6.015447687829895e-06,5.979825062493237e-06,1.078850931235244e-06,0.0,2.659416830603855e-10,3.562262533665792e-08,0.0,3.9497114370159476e-07,10.788509312352442,11.942001567076991,11.816754484895172,0.00043624922725843965,0.2364873487785268
5,6,6.01446819834635e-06,5.979995519297629e-06,1.0788465876564432e-06,0.0,1.8529999071908504e-10,3.4472679048721475e-08,0.0,3.949690616602828e-07,10.788465876564432,11.940150001372459,11.811781569653258,0.00043617034980730844,0.2364911665369495
6,7,6.01102721270417e-06,5.985583147465421e-06,1.0788095971519485e-06,0.0,0.0,2.5444065238749984e-08,0.0,3.949571362598285e-07,10.788095971519486,11.923143508322001,11.768750332603789,0.0004370187400634249,0.23652139567631694
7,8,6.0096574412073235e-06,5.989636603676571e-06,1.0787841173359257e-06,0.0,0.0,2.002083753075271e-08,0.0,3.9495309752143606e-07,10.787841173359258,11.910847972486819,11.740917345867073,0.0004362096566267475,0.2365380956969285
8,9,6.008123397917433e-06,5.986957383483444e-06,1.0787897606635161e-06,0.0,0.0,2.116601443398879e-08,0.0,3.949564032609591e-07,10.787897606635163,11.911149123218726,11.746094439496838,0.00043645848934292043,0.2365334019677237
9,10,6.007080634689385e-06,5.986931444561604e-06,1.078784757740093e-06,0.0,0.0,2.014919012778041e-08,0.0,3.9495930360190537e-07,10.78784757740093,11.904503244924408,11.73822472508836,0.0004366798891385424,0.23653546962681818
10,11,6.006210250437598e-06,5.988475807497421e-06,1.0787723450258094e-06,0.0,0.0,1.7734442940177025e-08,0.0,3.9496314573777545e-07,10.787723450258095,11.892473475738432,11.720163149304854,0.0004367831705616814,0.23654157408583992
11,12,6.005144623575292e-06,5.989385516089457e-06,1.0787615468763418e-06,0.0,0.0,1.5759107485834822e-08,0.0,3.949749314357802e-07,10.787615468763418,11.880151470778003,11.699895067909557,0.0004366489695850827,0.23654169430938327
12,13,6.0026823212683585e-06,5.989993532287864e-06,1.078743316590177e-06,0.0,0.0,1.268878898049463e-08,0.0,3.9503043985685055e-07,10.787433165901769,11.854677183923641,11.650909656733367,0.0004364964151038973,0.2365168673406749
13,14,6.0028241470128876e-06,5.992339504397164e-06,1.078728820928059e-06,0.0,0.0,1.048464261572356e-08,0.0,3.9513562300559135e-07,10.78728820928059,11.82352894003434,11.578141288556917,0.00043571509960484053,0.23645422290854953
14,15,6.0012214062201745e-06,5.989641790062884e-06,1.0787361947521866e-06,0.0,0.0,1.1579616157290685e-08,0.0,3.9508183114472875e-07,10.787361947521866,11.839493958909877,11.615333308826328,0.0004360530657073368,0.23648627875897626
15,1,6.396303237364903e-06,5.989641790062884e-06,1.0787361947521866e-06,0.0,0.0,1.1579616157290685e-08,0.0,3.9508183114472875e-07,10.787361947521866,11.839493958909877,11.615333308826328,0.0004360530657073368,0.23648627875897626
16,2,1.0844576101795842,0.21935237443671224,2.3735372423716844e-06,0.0010973606422552788,0.010666009141026573,0.8384519329029486,0.014884300603224649,5.632453416882212e-06,23.735372423716846,72.76377047314271,29.110918508716967,0.19202746646539162,0.021076358572968194
17,3,6.406663847497914e-06,5.998261082536791e-06,1.0787471078510286e-06,0.0,0.0,1.3299936609927942e-08,0.0,3.9510282835119444e-07,10.787471078510286,11.858838790883274,11.630514939083286,0.00043782427074086247,0.23645954633924174
18,4,6.395435360535862e-06,5.988405919395942e-06,1.07873856435899e-06,0.0,0.0,1.1943034175221524e-08,0.0,3.9508640696469817e-07,10.7873856435899,11.843701975228107,11.61862789925471,0.00043632478016941565,0.23648046339897463
19,5,6.395165606455163e-06,5.987799489827037e-06,1.078740711996946e-06,0.0,0.0,1.2277260337663719e-08,0.0,3.9508885629046184e-07,10.787407119969462,11.847391406181684,11.620493729164929,0.0004361414197419915,0.23647717489649486
20,6,6.39486623646109e-06,5.987230421816766e-06,1.0787424107143322e-06,0.0,0.0,1.2544890170583205e-08,0.0,3.9509092447374043e-07,10.787424107143321,11.84928389843247,11.621465578404889,0.00043611067372520916,0.23647389630661786
21,7,6.393903020240121e-06,5.984284779618029e-06,1.0787543778914663e-06,0.0,0.0,1.4512068240929469e-08,0.0,3.951061723811626e-07,10.787543778914664,11.861302567437308,11.62709419635236,0.0004363313179345843,0.23645283054688804
22,8,6.393310462790573e-06,5.982490158937796e-06,1.0787612230733958e-06,0.0,0.0,1.5701673974649594e-08,0.0,3.951186298781271e-07,10.78761223073396,11.86523606854145,11.629633336863959,0.0004360772578645701,0.23643846693531076
23,9,6.392783147773189e-06,5.98118388237316e-06,1.0787655186632459e-06,0.0,0.0,1.6472121059923524e-08,0.0,3.9512714434010473e-07,10.78765518663246,11.866836182572172,11.630417930662626,0.00043606410940296635,0.23643050786515712
24,10,6.391423197299688e-06,5.976588075745802e-06,1.078782370181918e-06,0.0,0.0,1.967275101827219e-08,0.0,3.951623705356141e-07,10.78782370181918,11.87148054880688,11.631232236571922,0.0004359702476274394,0.2364004833304123
25,11,6.390627450196397e-06,5.973263750269037e-06,1.0787946013259782e-06,0.0,0.0,2.2173684582916774e-08,0.0,3.9519001534444334e-07,10.787946013259782,11.873547493470916,11.629864702578875,0.0004358040151571285,0.23637893368044915
26,12,6.389348315405201e-06,5.967963060811071e-06,1.0788127019820506e-06,0.0,0.0,2.6149285144640868e-08,0.0,3.9523596944948923e-07,10.788127019820505,11.874364699537523,11.623781218726212,0.0004354427268644425,0.2363459028740509
27,13,6.387312600517894e-06,5.962804583190915e-06,1.0788257646732894e-06,0.0,0.0,2.9221893366970706e-08,0.0,3.9528612396000857e-07,10.788257646732895,11.869909469732383,11.605332603583388,0.0004353450510265422,0.23631372159752334
28,14,6.381460309118401e-06,5.953506507716915e-06,1.0788391843298566e-06,0.0,0.0,3.255615903448775e-08,0.0,3.953976423669981e-07,10.788391843298566,11.84218703618452,11.519150545630502,0.0004345314690902795,0.23624923450428303
29,15,6.373943308749134e-06,5.946244490569824e-06,1.0788377451495949e-06,0.0,0.0,3.218995736554006e-08,0.0,3.9550886081377046e-07,10.788377451495949,11.799935235690937,11.400548131563438,0.0004348161457377963,0.2361844176047885
30,16,6.362261723407466e-06,5.941567536790337e-06,1.078807966158452e-06,0.0,0.0,2.5077469309944315e-08,0.0,3.956167173071852e-07,10.78807966158452,11.760118280976826,11.186095355625314,0.000434263380669021,0.2361142779580539
31,17,6.353223829130541e-06,5.938878882881109e-06,1.0787773103997146e-06,0.0,0.0,1.868190846473209e-08,0.0,3.956630377846994e-07,10.787773103997147,11.771980033358483,11.017513731594338,0.0004342408542935959,0.2360631011960263
32,18,6.348412316544856e-06,5.938598600698721e-06,1.0787523683055112e-06,0.0,0.0,1.4171724918160394e-08,0.0,3.9564199092797465e-07,10.787523683055113,11.774645123447451,10.929338433609194,0.00043359026919979584,0.23605603272199277
33,19,6.34374096421045e-06,5.935795907146004e-06,1.0787410424225313e-06,0.0,0.0,1.2329092228036961e-08,0.0,3.9561596483640873e-07,10.787410424225314,11.784490026207267,10.861756560406642,0.0004328447058134369,0.23604689850891844
34,20,6.333468000642638e-06,5.9259503545424685e-06,1.0787387138629458e-06,0.0,0.0,1.196615136428527e-08,0.0,3.9555149473588453e-07,10.787387138629459,11.825450880816916,10.733201918202408,0.0004312549725454097,0.23603575201164098
35,21,6.317359180406616e-06,5.907035902235263e-06,1.078756222317226e-06,0.0,1.4914318590587057e-10,1.4827994265027974e-08,0.0,3.953461407204191e-07,10.787562223172262,11.943707440994046,10.556912396868285,0.0004287834257875708,0.23609011765556467
36,22,6.301903167697058e-06,5.891304616467167e-06,1.0787582245554571e-06,0.0,5.045258256838684e-10,1.5174802471471183e-08,0.0,3.949192229327359e-07,10.787582245554571,11.958621345854931,10.42501709212054,0.0004267642366146441,0.2362575138142658
37,23,6.290296433404073e-06,5.879492954373667e-06,1.0787645285531746e-06,0.0,0.0,1.6292900807341582e-08,0.0,3.94510578223065e-07,10.787645285531745,11.922481769860484,10.368767974368984,0.00042587939759596423,0.23642944405311667
38,24,6.282754545631354e-06,5.863436187182182e-06,1.0788020061678237e-06,0.0,1.4408719059971663e-09,2.376047237388994e-08,0.0,3.94117014169285e-07,10.788020061678237,11.981023002808392,10.326136665397906,0.00042516080863490166,0.23659343900702906
39,25,6.276578705497309e-06,5.8628853615259015e-06,1.0787829489359665e-06,0.0,0.0,1.978771841698899e-08,0.0,3.939056255544179e-07,10.787829489359666,11.923270834952922,10.355985020409367,0.0004258473836218083,0.23670131212104656
40,26,6.270260159976689e-06,5.856958474015397e-06,1.0787818830585844e-06,0.0,0.0,1.957624533656926e-08,0.0,3.937254406247221e-07,10.787818830585843,11.909956572037856,10.341378992711327,0.0004262048316770812,0.2367841457910313
41,27,6.2596975418211856e-06,5.84742570748831e-06,1.0787791554483695e-06,0.0,0.0,1.904025335071492e-08,0.0,3.9323158098216106e-07,10.787791554483695,11.862548895278263,10.239379057522578,0.0004269841154192473,0.2370049681690881
42,28,6.251793307578131e-06,5.8386056623982926e-06,1.0787859265070307e-06,0.0,0.0,2.038449674598524e-08,0.0,3.928031484338529e-07,10.787859265070306,11.809878449597772,10.145489422722967,0.0004273194143068712,0.23719748422642967
43,29,6.2343826895778105e-06,5.8227939752172015e-06,1.0787831117922443e-06,0.0,0.0,1.982012961557753e-08,0.0,3.9176858474503114e-07,10.787831117922444,11.6560495002151,9.940844187133546,0.0004283183697197589,0.2376646037270733
44,30,6.219630815496374e-06,5.801427812526501e-06,1.078818126607273e-06,0.0,0.0,2.7404549492712896e-08,0.0,3.907984534771603e-07,10.78818126607273,11.698297626175258,9.791078311756477,0.00042859586718377383,0.23810302308115117
45,31,6.211525512843748e-06,5.800091594069485e-06,1.0787884671309555e-06,0.0,0.0,2.0900709972063414e-08,0.0,3.905332088021992e-07,10.787884671309556,11.689142810193319,9.768836022164606,0.00042888364838469085,0.23821418637806963
46,32,6.206862285836877e-06,5.792517607446936e-06,1.0788030277608594e-06,0.0,0.0,2.398369432296569e-08,0.0,3.9036098406697556e-07,10.788030277608595,11.696622245811575,9.717730196676325,0.00042894360593326227,0.23824174417307195
47,33,6.2038547142314414e-06,5.793964652173686e-06,1.078781278950352e-06,0.0,0.0,1.9456892984565977e-08,0.0,3.904331690731896e-07,10.78781278950352,11.656968612644341,9.734366849969716,0.00042898075642188257,0.23816616749991917
48,34,6.198119594295264e-06,5.789424236607687e-06,1.0787753742219438e-06,0.0,0.0,1.830952506802386e-08,0.0,3.9038583261955363e-07,10.787753742219438,11.611004918671084,9.724458848105224,0.00042892649878122774,0.23810032591419883
