
Aspect ratio at max_mode 1: 6.002679141948593
Mean iota at 1: 0.4198340967791908
Quasisymmetry objective at max_mode 1: 0.009856392415916154
Squared flux at max_mode 1: 0.2245309685189127
fun_coils_simple#1 - J=3.6e-01, Jf=2.8e-01, ⟨B·n⟩=9.1e-02, C-C-Sep=0.23 Jf=2.8e-01, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.1e-04, J_ALS=1.3e-38, J_LENGTH_PENALTY=7.9e-02 Coil lengths=sum([2.5, 2.5, 2.5, 2.5])=10.1, curvature=[2.5, 2.5, 2.5, 2.5], mean squared curvature=[6.3, 6.3, 6.2, 6.2]
fun_coils_simple#2 - J=5.9e+01, Jf=1.2e-01, ⟨B·n⟩=4.9e-02, C-C-Sep=0.01 Jf=1.2e-01, J_length=3.0e-06, J_CC=2.6e-04, J_CURVATURE=7.1e-01, J_MSC=5.9e+01, J_ALS=1.6e-05, J_LENGTH_PENALTY=2.2e-01 Coil lengths=sum([7.3, 9.1, 8.4, 5.4])=30.2, curvature=[649.0, 575.7, 672.5, 56.9], mean squared curvature=[479.5, 832.7, 516.5, 83.0]
fun_coils_simple#3 - J=3.3e-01, Jf=2.5e-01, ⟨B·n⟩=8.2e-02, C-C-Sep=0.23 Jf=2.5e-01, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.1e-06, J_MSC=7.5e-04, J_ALS=1.9e-10, J_LENGTH_PENALTY=7.8e-02 Coil lengths=sum([2.5, 2.5, 2.5, 2.5])=10.1, curvature=[5.2, 6.1, 4.6, 4.1], mean squared curvature=[6.8, 7.3, 7.1, 6.5]
fun_coils_simple#4 - J=3.2e-01, Jf=1.3e-01, ⟨B·n⟩=5.4e-02, C-C-Sep=0.19 Jf=1.3e-01, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-03, J_MSC=1.3e-01, J_ALS=6.6e-08, J_LENGTH_PENALTY=6.4e-02 Coil lengths=sum([2.7, 2.7, 2.8, 2.6])=10.9, curvature=[12.6, 29.6, 14.4, 8.2], mean squared curvature=[20.9, 47.5, 24.2, 13.9]
fun_coils_simple#5 - J=2.2e-01, Jf=1.1e-01, ⟨B·n⟩=4.8e-02, C-C-Sep=0.19 Jf=1.1e-01, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-03, J_MSC=5.2e-02, J_ALS=8.1e-08, J_LENGTH_PENALTY=6.1e-02 Coil lengths=sum([2.8, 2.7, 2.8, 2.7])=11.0, curvature=[12.0, 16.2, 14.9, 7.9], mean squared curvature=[19.6, 26.8, 21.5, 14.1]
fun_coils_simple#6 - J=2.0e-01, Jf=1.0e-01, ⟨B·n⟩=4.6e-02, C-C-Sep=0.18 Jf=1.0e-01, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-03, J_MSC=4.0e-02, J_ALS=9.4e-08, J_LENGTH_PENALTY=6.0e-02 Coil lengths=sum([2.8, 2.7, 2.9, 2.7])=11.1, curvature=[11.5, 16.0, 13.8, 7.7], mean squared curvature=[18.3, 23.1, 19.9, 13.8]
fun_coils_simple#7 - J=1.5e-01, Jf=7.0e-02, ⟨B·n⟩=3.7e-02, C-C-Sep=0.16 Jf=7.0e-02, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=7.4e-04, J_MSC=2.8e-02, J_ALS=2.1e-07, J_LENGTH_PENALTY=5.1e-02 Coil lengths=sum([2.9, 2.8, 3.1, 2.8])=11.7, curvature=[9.7, 12.6, 13.4, 6.6], mean squared curvature=[16.4, 20.0, 16.9, 13.3]
fun_coils_simple#8 - J=1.1e-01, Jf=3.4e-02, ⟨B·n⟩=2.5e-02, C-C-Sep=0.10 Jf=3.4e-02, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=7.0e-04, J_MSC=4.2e-02, J_ALS=6.9e-07, J_LENGTH_PENALTY=3.0e-02 Coil lengths=sum([3.3, 3.2, 3.6, 3.1])=13.2, curvature=[7.8, 16.3, 13.0, 6.1], mean squared curvature=[14.8, 29.8, 13.9, 12.0]
fun_coils_simple#9 - J=6.0e-02, Jf=2.3e-02, ⟨B·n⟩=2.0e-02, C-C-Sep=0.07 Jf=2.3e-02, J_length=1.4e-06, J_CC=4.7e-06, J_CURVATURE=4.2e-04, J_MSC=2.0e-02, J_ALS=1.3e-06, J_LENGTH_PENALTY=1.8e-02 Coil lengths=sum([3.6, 3.4, 4.0, 3.4])=14.4, curvature=[8.5, 10.4, 13.1, 6.5], mean squared curvature=[14.4, 19.3, 12.7, 11.4]
fun_coils_simple#10 - J=4.8e-02, Jf=2.2e-02, ⟨B·n⟩=1.9e-02, C-C-Sep=0.04 Jf=2.2e-02, J_length=1.6e-06, J_CC=3.2e-05, J_CURVATURE=4.3e-04, J_MSC=1.7e-02, J_ALS=1.9e-06, J_LENGTH_PENALTY=9.7e-03 Coil lengths=sum([3.9, 3.6, 4.4, 3.6])=15.5, curvature=[10.1, 10.5, 13.1, 6.6], mean squared curvature=[14.1, 18.0, 12.0, 10.8]
fun_coils_simple#11 - J=8.3e-02, Jf=2.5e-02, ⟨B·n⟩=2.0e-02, C-C-Sep=0.01 Jf=2.5e-02, J_length=1.7e-06, J_CC=7.8e-05, J_CURVATURE=2.7e-03, J_MSC=5.3e-02, J_ALS=2.5e-06, J_LENGTH_PENALTY=5.2e-03 Coil lengths=sum([4.1, 3.9, 4.7, 3.8])=16.5, curvature=[14.1, 46.9, 15.8, 8.2], mean squared curvature=[14.2, 35.3, 11.4, 9.6]
