
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 1.5283436151059953e-05
fun_coils_simple#12 - J=2.2e-04, Jf=2.4e-05, ⟨B·n⟩=9.1e-04, C-C-Sep=0.09 Jf=2.4e-05, J_length=4.7e-06, J_CC=1.0e-05, J_CURVATURE=0.0e+00, J_MSC=1.9e-04, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.5, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.7, curvature=[7.2, 6.9, 6.1, 7.1, 6.6, 8.8, 8.1, 7.7, 8.7, 7.1, 8.3, 7.0], mean squared curvature=[10.9, 11.1, 11.0, 10.1, 9.1, 10.0, 9.9, 10.0, 10.5, 10.3, 10.6, 9.8]
fun_coils_simple#13 - J=2.1e-04, Jf=2.3e-05, ⟨B·n⟩=9.0e-04, C-C-Sep=0.09 Jf=2.3e-05, J_length=4.7e-06, J_CC=9.9e-06, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.5, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.7, curvature=[6.9, 6.9, 6.1, 7.1, 6.2, 8.0, 8.1, 7.6, 8.5, 7.1, 8.5, 7.2], mean squared curvature=[10.8, 11.1, 11.0, 9.8, 8.9, 9.6, 9.8, 9.7, 9.9, 10.2, 10.6, 9.7]
fun_coils#1 - J=2.1e-04, Jf=2.3e-05, ⟨B·n⟩=9.0e-04, C-C-Sep=0.09 Jf=2.3e-05, J_length=4.7e-06, J_CC=9.9e-06, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.5, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.7, curvature=[6.9, 6.9, 6.1, 7.1, 6.2, 8.0, 8.1, 7.6, 8.5, 7.1, 8.5, 7.2], mean squared curvature=[10.8, 11.1, 11.0, 9.8, 8.9, 9.6, 9.8, 9.7, 9.9, 10.2, 10.6, 9.7]
fun_coils#2 - J=1.8e+01, Jf=1.5e-01, ⟨B·n⟩=7.0e-02, C-C-Sep=0.01 Jf=1.5e-01, J_length=1.2e-05, J_CC=5.2e-03, J_CURVATURE=5.2e-01, J_MSC=1.2e+01, J_ALS=2.4e-05, J_LENGTH_PENALTY=5.2e+00 Coil lengths=sum([28.0, 16.3, 13.4, 3.5, 3.5, 3.6, 3.7, 3.7, 3.9, 16.5, 21.1, 4.3])=121.4, curvature=[59.3, 222.7, 309.3, 6.7, 6.6, 9.5, 7.8, 10.2, 8.8, 691.8, 125.6, 16.4], mean squared curvature=[26.7, 98.0, 310.6, 10.2, 8.8, 10.1, 10.1, 10.8, 12.0, 377.4, 60.1, 25.7]
fun_coils#3 - J=2.0e-04, Jf=2.3e-05, ⟨B·n⟩=8.9e-04, C-C-Sep=0.09 Jf=2.3e-05, J_length=4.7e-06, J_CC=9.9e-06, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.5, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.7, curvature=[6.8, 6.9, 6.1, 7.1, 6.2, 8.0, 8.1, 7.6, 8.5, 7.1, 8.5, 7.2], mean squared curvature=[10.8, 11.1, 11.0, 9.8, 8.9, 9.6, 9.8, 9.7, 9.9, 10.2, 10.6, 9.7]
fun_coils#4 - J=1.5e-04, Jf=2.2e-05, ⟨B·n⟩=8.8e-04, C-C-Sep=0.09 Jf=2.2e-05, J_length=4.7e-06, J_CC=9.7e-06, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.5, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.7, curvature=[6.1, 6.7, 6.0, 7.1, 6.2, 8.0, 8.1, 7.6, 8.5, 7.2, 8.3, 7.2], mean squared curvature=[10.6, 11.0, 10.9, 9.8, 8.9, 9.6, 9.8, 9.7, 9.9, 9.9, 10.5, 9.7]
fun_coils#5 - J=1.2e-04, Jf=2.2e-05, ⟨B·n⟩=8.7e-04, C-C-Sep=0.09 Jf=2.2e-05, J_length=4.7e-06, J_CC=9.7e-06, J_CURVATURE=0.0e+00, J_MSC=8.3e-05, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.5, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.6, curvature=[6.2, 6.7, 5.8, 7.1, 6.2, 8.0, 8.1, 7.6, 8.5, 7.3, 8.2, 7.2], mean squared curvature=[10.4, 10.8, 10.7, 9.8, 8.9, 9.6, 9.8, 9.7, 9.9, 9.9, 10.7, 9.7]
fun_coils#6 - J=8.2e-05, Jf=2.1e-05, ⟨B·n⟩=8.6e-04, C-C-Sep=0.09 Jf=2.1e-05, J_length=4.7e-06, J_CC=9.7e-06, J_CURVATURE=0.0e+00, J_MSC=4.9e-05, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.4, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.6, curvature=[6.2, 6.7, 5.6, 7.1, 6.2, 8.0, 8.1, 7.6, 8.5, 7.3, 8.0, 7.2], mean squared curvature=[10.4, 10.6, 10.5, 9.8, 8.9, 9.6, 9.8, 9.7, 9.9, 9.9, 10.3, 9.7]
fun_coils#7 - J=6.9e-05, Jf=2.1e-05, ⟨B·n⟩=8.6e-04, C-C-Sep=0.09 Jf=2.1e-05, J_length=4.7e-06, J_CC=9.6e-06, J_CURVATURE=0.0e+00, J_MSC=3.6e-05, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.4, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.6, curvature=[6.3, 6.6, 5.5, 7.1, 6.3, 8.0, 8.1, 7.6, 8.5, 7.4, 7.9, 7.2], mean squared curvature=[10.5, 10.5, 10.4, 9.8, 8.9, 9.6, 9.8, 9.7, 9.9, 10.0, 10.2, 9.7]
fun_coils#8 - J=4.7e-05, Jf=2.1e-05, ⟨B·n⟩=8.5e-04, C-C-Sep=0.09 Jf=2.1e-05, J_length=4.7e-06, J_CC=9.2e-06, J_CURVATURE=0.0e+00, J_MSC=1.4e-05, J_ALS=2.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.4, 3.7, 3.5, 3.5, 3.6, 3.6, 3.7, 3.8, 4.1, 4.3, 4.2])=46.6, curvature=[6.3, 6.1, 5.2, 7.0, 6.3, 8.1, 8.1, 7.6, 8.5, 7.5, 7.7, 7.2], mean squared curvature=[10.2, 10.3, 10.2, 9.8, 8.9, 9.7, 9.8, 9.7, 9.9, 10.3, 10.1, 9.7]
