
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.009807367661565593
fun_coils_simple#15 - J=2.1e+02, Jf=6.6e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.09 Jf=6.6e-03, J_length=1.0e-06, J_CC=6.2e-08, J_CURVATURE=5.1e-01, J_MSC=2.1e+02, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.0e-02 Coil lengths=sum([5.0, 5.0])=10.0, curvature=[13.8, 4301.0], mean squared curvature=[7.3, 2049.9]
fun_coils_simple#16 - J=2.1e-02, Jf=7.6e-03, ⟨B·n⟩=8.3e-03, C-C-Sep=0.08 Jf=7.6e-03, J_length=1.0e-06, J_CC=6.0e-07, J_CURVATURE=5.6e-05, J_MSC=6.4e-05, J_ALS=1.4e-07, J_LENGTH_PENALTY=1.3e-02 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[6.3, 9.7], mean squared curvature=[5.9, 5.7]
fun_coils_simple#17 - J=3.0e-02, Jf=6.9e-03, ⟨B·n⟩=7.8e-03, C-C-Sep=0.09 Jf=6.9e-03, J_length=1.0e-06, J_CC=1.7e-07, J_CURVATURE=3.2e-03, J_MSC=1.2e-02, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.5, 151.9], mean squared curvature=[6.5, 20.3]
fun_coils_simple#18 - J=2.0e-02, Jf=7.3e-03, ⟨B·n⟩=8.1e-03, C-C-Sep=0.09 Jf=7.3e-03, J_length=1.0e-06, J_CC=4.0e-07, J_CURVATURE=1.4e-04, J_MSC=1.5e-04, J_ALS=1.5e-07, J_LENGTH_PENALTY=1.2e-02 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[7.1, 13.9], mean squared curvature=[6.1, 6.4]
fun_coils_simple#19 - J=4.9e+00, Jf=6.0e-03, ⟨B·n⟩=7.2e-03, C-C-Sep=0.10 Jf=6.0e-03, J_length=9.8e-07, J_CC=4.6e-10, J_CURVATURE=9.9e-02, J_MSC=4.9e+00, J_ALS=2.5e-07, J_LENGTH_PENALTY=7.8e-03 Coil lengths=sum([4.8, 4.9])=9.8, curvature=[747.3, 246.4], mean squared curvature=[258.1, 188.1]
fun_coils_simple#20 - J=2.5e+00, Jf=6.7e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.7e-03, J_length=1.0e-06, J_CC=1.1e-07, J_CURVATURE=5.5e-02, J_MSC=2.5e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.0e-02 Coil lengths=sum([5.0, 5.0])=10.0, curvature=[10.8, 1059.6], mean squared curvature=[6.8, 227.7]
fun_coils_simple#21 - J=1.9e-02, Jf=7.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.09 Jf=7.1e-03, J_length=1.0e-06, J_CC=2.8e-07, J_CURVATURE=2.0e-04, J_MSC=2.3e-04, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-02 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[7.7, 17.3], mean squared curvature=[6.2, 6.8]
fun_coils_simple#22 - J=6.9e+00, Jf=7.5e-03, ⟨B·n⟩=8.4e-03, C-C-Sep=0.10 Jf=7.5e-03, J_length=9.7e-07, J_CC=1.3e-08, J_CURVATURE=1.0e-01, J_MSC=6.9e+00, J_ALS=2.4e-07, J_LENGTH_PENALTY=7.0e-03 Coil lengths=sum([4.8, 4.9])=9.7, curvature=[432.5, 685.2], mean squared curvature=[79.8, 368.8]
fun_coils_simple#23 - J=1.9e-02, Jf=7.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.09 Jf=7.1e-03, J_length=1.0e-06, J_CC=2.8e-07, J_CURVATURE=2.0e-04, J_MSC=2.3e-04, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-02 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[7.7, 17.3], mean squared curvature=[6.2, 6.8]
fun_coils_simple#24 - J=1.9e-02, Jf=6.9e-03, ⟨B·n⟩=7.7e-03, C-C-Sep=0.09 Jf=6.9e-03, J_length=1.0e-06, J_CC=1.0e-07, J_CURVATURE=5.7e-04, J_MSC=7.3e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.0, 49.1], mean squared curvature=[6.3, 8.6]
