
fun_coils_simple#1 - J=7.4e-01, Jf=7.4e-01, ⟨B·n⟩=3.6e-01, C-C-Sep=0.08 Jf=7.4e-01, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.5e-38, J_LENGTH_PENALTY=2.9e-03 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.1])=15.7, curvature=[2.0, 2.0, 2.0, 2.0, 2.0], mean squared curvature=[4.0, 4.0, 4.0, 4.0, 4.0]
fun_coils_simple#2 - J=1.8e-01, Jf=1.3e-01, ⟨B·n⟩=1.1e-01, C-C-Sep=0.01 Jf=1.3e-01, J_length=2.1e-06, J_CC=8.0e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.6e-06, J_LENGTH_PENALTY=4.7e-02 Coil lengths=sum([3.8, 3.9, 4.1, 4.3, 4.6])=20.7, curvature=[3.9, 3.6, 3.4, 3.1, 2.9], mean squared curvature=[6.4, 5.4, 4.8, 4.3, 4.0]
fun_coils_simple#3 - J=4.8e+01, Jf=5.5e-01, ⟨B·n⟩=2.3e-01, C-C-Sep=0.00 Jf=5.5e-01, J_length=2.9e-06, J_CC=1.7e-05, J_CURVATURE=3.8e-01, J_MSC=4.7e+01, J_ALS=8.7e-06, J_LENGTH_PENALTY=3.0e-01 Coil lengths=sum([4.6, 4.8, 5.1, 5.7, 9.1])=29.3, curvature=[5.3, 6.6, 7.4, 32.4, 1998.2], mean squared curvature=[7.3, 6.8, 6.2, 24.4, 990.3]
fun_coils_simple#4 - J=3.4e-01, Jf=1.9e-02, ⟨B·n⟩=4.1e-02, C-C-Sep=0.02 Jf=1.9e-02, J_length=2.2e-06, J_CC=5.5e-06, J_CURVATURE=4.5e-03, J_MSC=2.4e-01, J_ALS=2.5e-06, J_LENGTH_PENALTY=7.4e-02 Coil lengths=sum([4.0, 4.1, 4.3, 4.6, 5.2])=22.3, curvature=[4.4, 4.7, 4.6, 7.8, 83.4], mean squared curvature=[7.0, 5.8, 4.9, 7.2, 86.0]
fun_coils_simple#5 - J=1.1e-01, Jf=5.4e-02, ⟨B·n⟩=6.8e-02, C-C-Sep=0.01 Jf=5.4e-02, J_length=2.1e-06, J_CC=7.8e-06, J_CURVATURE=2.5e-08, J_MSC=1.7e-04, J_ALS=1.9e-06, J_LENGTH_PENALTY=5.3e-02 Coil lengths=sum([3.9, 4.0, 4.2, 4.4, 4.7])=21.1, curvature=[4.0, 4.0, 3.8, 4.9, 16.2], mean squared curvature=[6.7, 5.6, 4.7, 4.8, 17.8]
fun_coils_simple#6 - J=2.9e+00, Jf=6.0e-02, ⟨B·n⟩=7.4e-02, C-C-Sep=0.01 Jf=6.0e-02, J_length=2.4e-06, J_CC=1.5e-05, J_CURVATURE=3.0e-02, J_MSC=2.7e+00, J_ALS=2.9e-06, J_LENGTH_PENALTY=1.0e-01 Coil lengths=sum([4.2, 4.3, 4.6, 4.9, 5.8])=23.7, curvature=[4.7, 5.2, 5.0, 6.9, 159.2], mean squared curvature=[7.2, 6.0, 4.9, 6.5, 248.7]
fun_coils_simple#7 - J=1.0e-01, Jf=5.0e-02, ⟨B·n⟩=6.5e-02, C-C-Sep=0.01 Jf=5.0e-02, J_length=2.1e-06, J_CC=7.4e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-06, J_LENGTH_PENALTY=5.4e-02 Coil lengths=sum([3.9, 4.0, 4.2, 4.5, 4.7])=21.2, curvature=[4.0, 4.0, 3.9, 4.9, 13.9], mean squared curvature=[6.7, 5.6, 4.7, 4.8, 14.9]
fun_coils_simple#8 - J=1.3e-01, Jf=4.0e-02, ⟨B·n⟩=6.1e-02, C-C-Sep=0.01 Jf=4.0e-02, J_length=2.3e-06, J_CC=9.7e-06, J_CURVATURE=3.0e-04, J_MSC=4.3e-03, J_ALS=3.0e-06, J_LENGTH_PENALTY=9.0e-02 Coil lengths=sum([4.2, 4.3, 4.6, 4.9, 5.3])=23.2, curvature=[4.6, 5.0, 4.9, 7.2, 33.8], mean squared curvature=[7.2, 6.0, 4.9, 6.4, 25.3]
fun_coils_simple#9 - J=8.8e-02, Jf=2.2e-02, ⟨B·n⟩=4.2e-02, C-C-Sep=0.01 Jf=2.2e-02, J_length=2.2e-06, J_CC=4.0e-06, J_CURVATURE=1.2e-05, J_MSC=2.9e-04, J_ALS=2.3e-06, J_LENGTH_PENALTY=6.5e-02 Coil lengths=sum([4.0, 4.1, 4.3, 4.6, 4.9])=21.9, curvature=[4.2, 4.4, 4.2, 5.8, 19.3], mean squared curvature=[6.9, 5.7, 4.8, 5.3, 18.4]
fun_coils_simple#10 - J=8.4e-02, Jf=1.8e-02, ⟨B·n⟩=3.9e-02, C-C-Sep=0.02 Jf=1.8e-02, J_length=2.2e-06, J_CC=5.3e-06, J_CURVATURE=6.7e-06, J_MSC=5.0e-03, J_ALS=2.1e-06, J_LENGTH_PENALTY=6.1e-02 Coil lengths=sum([3.9, 4.1, 4.3, 4.6, 4.8])=21.6, curvature=[4.2, 4.3, 4.1, 4.4, 19.9], mean squared curvature=[6.8, 5.6, 4.7, 5.0, 26.0]
fun_coils_simple#11 - J=8.4e-02, Jf=2.0e-02, ⟨B·n⟩=4.1e-02, C-C-Sep=0.01 Jf=2.0e-02, J_length=2.2e-06, J_CC=4.3e-06, J_CURVATURE=0.0e+00, J_MSC=7.9e-05, J_ALS=2.2e-06, J_LENGTH_PENALTY=6.3e-02 Coil lengths=sum([4.0, 4.1, 4.3, 4.6, 4.9])=21.8, curvature=[4.2, 4.4, 4.2, 5.1, 13.8], mean squared curvature=[6.9, 5.7, 4.8, 5.1, 17.3]
