index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
0,1,2.865113257239696e-07,2.863028115642877e-07,1.400023875478604e-06,0.0,0.0,7.001740040178626e-11,1.3849675928017875e-10,1.656021468137886e-07,14.00023875478604,55.71909051313345,80.00309344147686,0.0001509385983147589,0.07845185586819999
1,2,31.931778716459554,0.6605169173498981,8.467609121417368e-06,0.0001412630495441846,0.5193802584122159,8.887581816916025,22.383538719144084,6.954027340532196e-05,84.67609121417368,1754.22042164049,1396.4494458316713,0.28515490910790686,0.009206097819333911
2,3,2.975314454618441e-07,2.8630241328764453e-07,1.4000230946164226e-06,0.0,9.831687658970691e-10,6.574760561520145e-11,1.1163284568584357e-08,1.6560102521147182e-07,14.000230946164226,56.741297028071,80.0104472535088,0.00015093731991417138,0.07845160210168955
3,4,2.8638969838123675e-07,2.8630268202368246e-07,1.4000236424277315e-06,0.0,0.0,6.871825785446207e-11,1.829809969985299e-11,1.6560181430292637e-07,14.000236424277315,55.967967373823484,79.9979523648021,0.0001509382177833139,0.07845178033272047
4,5,2.863717824901904e-07,2.863018791233397e-07,1.4000235926142242e-06,0.0,0.0,6.842134176639296e-11,1.4820250843165089e-12,1.6560171977508307e-07,14.000235926142242,55.9760574662749,79.99732326558656,0.00015093767178900642,0.07845179028362619
5,1,4.5197350226527345e-07,2.863018791233397e-07,1.4000235926142242e-06,0.0,0.0,6.842134176639296e-11,1.4820250843165089e-12,1.6560171977508307e-07,14.000235926142242,55.9760574662749,79.99732326558656,0.00015093767178900642,0.07845179028362619
6,2,65.37740402430282,1.0494046349896677,8.090063227207443e-06,6.202448317015559e-05,0.5231886916661848,8.156534369517606,55.64818033744388,3.3966202308376967e-05,80.90063227207443,2000.96521892948,1889.3771391260852,0.3256927332868049,0.007500266935045486
7,3,4.5196976739665356e-07,2.862999781010631e-07,1.4000235693417778e-06,0.0,0.0,6.824931005926524e-11,0.0,1.6560153998553122e-07,14.000235693417778,55.97567359220964,79.99700980901316,0.00015093660939853235,0.07845181255040204
