
Aspect ratio at max_mode 3: 3.4999672887756104
Mean iota at 3: -0.22999971505212466
Quasisymmetry objective at max_mode 3: 5.3236988549950675e-05
Squared flux at max_mode 3: 0.033433560268673085
fun_coils_simple#1 - J=3.4e-02, Jf=3.4e-02, ⟨B·n⟩=5.7e-02, C-C-Sep=0.18 Jf=3.4e-02, J_length=9.3e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.0e-37, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.5])=9.3, curvature=[0.9, 2.5], mean squared curvature=[0.9, 6.1]
fun_coils_simple#12 - J=4.5e-03, Jf=4.3e-03, ⟨B·n⟩=1.7e-02, C-C-Sep=0.11 Jf=4.3e-03, J_length=1.0e-06, J_CC=1.2e-05, J_CURVATURE=0.0e+00, J_MSC=1.6e-04, J_ALS=1.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.4])=10.1, curvature=[0.9, 8.4], mean squared curvature=[0.9, 13.8]
fun_coils_simple#13 - J=4.0e-03, Jf=4.0e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.13 Jf=4.0e-03, J_length=1.0e-06, J_CC=1.8e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.4])=10.1, curvature=[0.9, 6.8], mean squared curvature=[0.9, 11.9]
fun_coils_simple#14 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.12 Jf=3.6e-03, J_length=1.0e-06, J_CC=5.7e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.7e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.4])=10.2, curvature=[0.9, 6.8], mean squared curvature=[0.9, 11.4]
fun_coils_simple#15 - J=2.4e-03, Jf=2.4e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.09 Jf=2.4e-03, J_length=1.1e-06, J_CC=3.2e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[1.0, 7.8], mean squared curvature=[0.9, 10.5]
fun_coils#1 - J=2.4e-03, Jf=2.4e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.09 Jf=2.4e-03, J_length=1.1e-06, J_CC=3.2e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[1.0, 7.8], mean squared curvature=[0.9, 10.5]
fun_coils#2 - J=1.1e+00, Jf=1.3e-01, ⟨B·n⟩=1.5e-01, C-C-Sep=0.03 Jf=1.3e-01, J_length=2.4e-06, J_CC=2.2e-03, J_CURVATURE=4.3e-03, J_MSC=3.9e-04, J_ALS=3.7e-06, J_LENGTH_PENALTY=9.4e-01 Coil lengths=sum([6.9, 17.5])=24.4, curvature=[1.0, 51.6], mean squared curvature=[0.9, 14.8]
fun_coils#3 - J=2.3e-03, Jf=2.3e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.13 Jf=2.3e-03, J_length=1.0e-06, J_CC=2.1e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.5, curvature=[1.0, 7.5], mean squared curvature=[0.9, 8.8]
fun_coils#4 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.1e-06, J_CC=9.7e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.3e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.5, curvature=[1.0, 8.3], mean squared curvature=[0.9, 9.2]
fun_coils#5 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=1.2e-02, C-C-Sep=0.14 Jf=2.0e-03, J_length=1.1e-06, J_CC=3.8e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[1.0, 9.0], mean squared curvature=[0.9, 9.7]
fun_coils#6 - J=1.9e-03, Jf=1.9e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.15 Jf=1.9e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.7e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[1.0, 9.5], mean squared curvature=[0.9, 9.6]
fun_coils#7 - J=1.8e-03, Jf=1.8e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.19 Jf=1.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[1.0, 10.9], mean squared curvature=[0.9, 9.7]
fun_coils#8 - J=1.7e-03, Jf=1.6e-03, ⟨B·n⟩=9.7e-03, C-C-Sep=0.21 Jf=1.6e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.0e-08, J_LENGTH_PENALTY=8.6e-06 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[1.0, 11.7], mean squared curvature=[0.9, 10.3]
fun_coils#9 - J=1.5e-03, Jf=1.3e-03, ⟨B·n⟩=8.7e-03, C-C-Sep=0.21 Jf=1.3e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.6e-08, J_LENGTH_PENALTY=1.9e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.3], mean squared curvature=[0.9, 8.2]
fun_coils#10 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.5e-03, C-C-Sep=0.20 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.7e-08, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.0], mean squared curvature=[0.9, 7.4]
fun_coils#11 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.8e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=1.9e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.5], mean squared curvature=[0.9, 6.6]
fun_coils#12 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.5e-03, C-C-Sep=0.20 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.0e-08, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.8], mean squared curvature=[0.9, 6.8]
fun_coils#13 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.6e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.3e-08, J_LENGTH_PENALTY=1.9e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.3], mean squared curvature=[0.9, 6.5]
fun_coils#14 - J=1.3e-03, Jf=1.2e-03, ⟨B·n⟩=8.5e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.2], mean squared curvature=[0.9, 6.4]
fun_coils#15 - J=1.3e-03, Jf=1.2e-03, ⟨B·n⟩=8.4e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.0, 8.8], mean squared curvature=[0.9, 6.1]
fun_coils#16 - J=1.3e-03, Jf=1.2e-03, ⟨B·n⟩=8.3e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.3e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.0, 8.2], mean squared curvature=[0.9, 5.8]
fun_coils#17 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.2e-03, C-C-Sep=0.18 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.0, 6.9], mean squared curvature=[0.9, 5.3]
fun_coils#18 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=8.1e-03, C-C-Sep=0.16 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.0, 5.3], mean squared curvature=[0.9, 4.5]
fun_coils#19 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=8.0e-03, C-C-Sep=0.15 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.2e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.0, 4.7], mean squared curvature=[0.9, 4.1]
fun_coils#20 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.13 Jf=1.0e-03, J_length=1.1e-06, J_CC=3.4e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.3e-08, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.1, 3.5], mean squared curvature=[0.9, 3.4]
fun_coils#21 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.14 Jf=1.0e-03, J_length=1.1e-06, J_CC=2.4e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.3e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.1, 3.7], mean squared curvature=[0.9, 3.5]
fun_coils#22 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.14 Jf=1.0e-03, J_length=1.1e-06, J_CC=1.2e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.2e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.1, 3.5], mean squared curvature=[0.9, 3.4]
fun_coils#23 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.14 Jf=1.0e-03, J_length=1.1e-06, J_CC=2.4e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.1, 3.4], mean squared curvature=[0.9, 3.3]
fun_coils#24 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=7.7e-03, C-C-Sep=0.14 Jf=1.0e-03, J_length=1.1e-06, J_CC=2.2e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-08, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.1, 3.3], mean squared curvature=[0.9, 3.3]
fun_coils#25 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.14 Jf=1.0e-03, J_length=1.1e-06, J_CC=2.1e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.7e-08, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([6.8, 3.9])=10.7, curvature=[1.1, 3.4], mean squared curvature=[0.9, 3.4]
fun_coils#26 - J=1.1e-03, Jf=9.6e-04, ⟨B·n⟩=7.4e-03, C-C-Sep=0.14 Jf=9.6e-04, J_length=1.1e-06, J_CC=1.6e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.6e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.1, 9.1], mean squared curvature=[0.9, 4.8]
fun_coils#27 - J=2.2e-03, Jf=9.7e-04, ⟨B·n⟩=7.3e-03, C-C-Sep=0.14 Jf=9.7e-04, J_length=1.1e-06, J_CC=1.2e-07, J_CURVATURE=7.4e-04, J_MSC=3.4e-04, J_ALS=8.0e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 36.5], mean squared curvature=[0.9, 14.6]
fun_coils#28 - J=1.1e-03, Jf=9.4e-04, ⟨B·n⟩=7.3e-03, C-C-Sep=0.14 Jf=9.4e-04, J_length=1.1e-06, J_CC=8.9e-07, J_CURVATURE=9.1e-07, J_MSC=0.0e+00, J_ALS=6.2e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.1, 13.2], mean squared curvature=[0.9, 5.8]
fun_coils#29 - J=1.1e-03, Jf=9.7e-04, ⟨B·n⟩=7.0e-03, C-C-Sep=0.14 Jf=9.7e-04, J_length=1.1e-06, J_CC=1.9e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.4e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.1, 7.0], mean squared curvature=[0.9, 4.4]
fun_coils#30 - J=1.1e-03, Jf=9.5e-04, ⟨B·n⟩=7.2e-03, C-C-Sep=0.14 Jf=9.5e-04, J_length=1.1e-06, J_CC=6.4e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.8e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.1, 11.0], mean squared curvature=[0.9, 5.3]
fun_coils#31 - J=1.1e-03, Jf=9.3e-04, ⟨B·n⟩=7.1e-03, C-C-Sep=0.14 Jf=9.3e-04, J_length=1.1e-06, J_CC=1.3e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.9e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.1, 11.1], mean squared curvature=[0.9, 5.4]
fun_coils#32 - J=1.1e-03, Jf=9.2e-04, ⟨B·n⟩=7.3e-03, C-C-Sep=0.14 Jf=9.2e-04, J_length=1.1e-06, J_CC=9.8e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.1e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.1, 11.9], mean squared curvature=[0.9, 5.4]
fun_coils#33 - J=1.1e-03, Jf=9.0e-04, ⟨B·n⟩=7.1e-03, C-C-Sep=0.14 Jf=9.0e-04, J_length=1.1e-06, J_CC=5.0e-07, J_CURVATURE=1.0e-05, J_MSC=0.0e+00, J_ALS=6.4e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 15.0], mean squared curvature=[0.9, 6.3]
fun_coils#34 - J=1.0e-03, Jf=9.1e-04, ⟨B·n⟩=7.2e-03, C-C-Sep=0.14 Jf=9.1e-04, J_length=1.1e-06, J_CC=7.3e-07, J_CURVATURE=8.8e-07, J_MSC=0.0e+00, J_ALS=6.2e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 13.2], mean squared curvature=[0.9, 5.8]
fun_coils#35 - J=1.0e-03, Jf=8.9e-04, ⟨B·n⟩=7.2e-03, C-C-Sep=0.14 Jf=8.9e-04, J_length=1.1e-06, J_CC=2.8e-07, J_CURVATURE=3.3e-08, J_MSC=0.0e+00, J_ALS=6.0e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 12.2], mean squared curvature=[0.9, 5.6]
fun_coils#36 - J=1.0e-03, Jf=8.7e-04, ⟨B·n⟩=7.2e-03, C-C-Sep=0.15 Jf=8.7e-04, J_length=1.1e-06, J_CC=4.1e-09, J_CURVATURE=3.2e-07, J_MSC=0.0e+00, J_ALS=5.9e-08, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 12.5], mean squared curvature=[0.9, 5.8]
fun_coils#37 - J=1.0e-03, Jf=8.6e-04, ⟨B·n⟩=7.2e-03, C-C-Sep=0.15 Jf=8.6e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-07, J_MSC=0.0e+00, J_ALS=5.8e-08, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 12.5], mean squared curvature=[0.9, 5.7]
fun_coils#38 - J=1.0e-03, Jf=8.5e-04, ⟨B·n⟩=7.2e-03, C-C-Sep=0.16 Jf=8.5e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=5.0e-07, J_MSC=0.0e+00, J_ALS=5.9e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 12.8], mean squared curvature=[0.9, 5.7]
fun_coils#39 - J=9.7e-04, Jf=8.3e-04, ⟨B·n⟩=7.1e-03, C-C-Sep=0.17 Jf=8.3e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=8.0e-09, J_MSC=0.0e+00, J_ALS=6.1e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.2, 12.1], mean squared curvature=[1.0, 5.4]
fun_coils#40 - J=9.3e-04, Jf=7.9e-04, ⟨B·n⟩=7.0e-03, C-C-Sep=0.17 Jf=7.9e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=0.0e+00, J_ALS=6.8e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.9, 4.0])=10.8, curvature=[1.3, 13.2], mean squared curvature=[1.0, 5.6]
fun_coils#41 - J=9.3e-04, Jf=7.7e-04, ⟨B·n⟩=6.7e-03, C-C-Sep=0.18 Jf=7.7e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.6e-08, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.9, 4.0])=10.9, curvature=[1.4, 11.9], mean squared curvature=[1.1, 5.7]
fun_coils#42 - J=9.1e-04, Jf=7.7e-04, ⟨B·n⟩=6.7e-03, C-C-Sep=0.18 Jf=7.7e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.2e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.9, 4.0])=10.9, curvature=[1.3, 11.9], mean squared curvature=[1.1, 5.5]
fun_coils#43 - J=8.7e-04, Jf=7.5e-04, ⟨B·n⟩=6.5e-03, C-C-Sep=0.18 Jf=7.5e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=2.3e-07, J_MSC=0.0e+00, J_ALS=7.6e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.9, 4.0])=10.9, curvature=[1.3, 12.7], mean squared curvature=[1.1, 5.8]
fun_coils#44 - J=8.5e-04, Jf=7.2e-04, ⟨B·n⟩=6.4e-03, C-C-Sep=0.18 Jf=7.2e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-06, J_MSC=0.0e+00, J_ALS=8.1e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([7.0, 4.0])=10.9, curvature=[1.4, 14.6], mean squared curvature=[1.1, 6.5]
fun_coils#45 - J=8.4e-04, Jf=7.3e-04, ⟨B·n⟩=6.3e-03, C-C-Sep=0.18 Jf=7.3e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=2.7e-07, J_MSC=0.0e+00, J_ALS=7.9e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([7.0, 4.0])=10.9, curvature=[1.4, 12.8], mean squared curvature=[1.1, 6.1]
fun_coils#46 - J=8.3e-04, Jf=7.2e-04, ⟨B·n⟩=6.3e-03, C-C-Sep=0.18 Jf=7.2e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=4.8e-07, J_MSC=0.0e+00, J_ALS=8.0e-08, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([7.0, 4.0])=10.9, curvature=[1.4, 13.0], mean squared curvature=[1.1, 6.2]
fun_coils#47 - J=8.0e-04, Jf=6.6e-04, ⟨B·n⟩=6.3e-03, C-C-Sep=0.18 Jf=6.6e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-06, J_MSC=0.0e+00, J_ALS=8.7e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([7.1, 3.9])=11.0, curvature=[1.4, 14.3], mean squared curvature=[1.2, 7.1]
fun_coils#48 - J=7.4e-04, Jf=6.7e-04, ⟨B·n⟩=6.2e-03, C-C-Sep=0.18 Jf=6.7e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=2.6e-06, J_MSC=0.0e+00, J_ALS=7.7e-08, J_LENGTH_PENALTY=6.3e-05 Coil lengths=sum([7.0, 3.9])=10.9, curvature=[1.4, 13.9], mean squared curvature=[1.2, 6.4]
