index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep,Jquasisymmetry,Jiota,Jaspect
0,1,0.43629503081498683,8.673195517116365e-05,1.0800566053736883e-06,7.610054718960807e-08,1.9207776753959118e-08,9.472612471731866e-10,7.766677308061721e-08,3.4248102022362445e-07,10.800566053736883,15.598467804155899,16.543305198995345,0.0027686575970783554,0.1456133481158718,5.3236988549950675e-05,8.119529166695056e-14,1.0700242010691552e-09
1,2,850.0,13.069998513358689,1.0800994559529642e-06,7.53631079013023e-08,8.69049661435044e-08,2.947904406121426e-09,5.20279313555452e-07,3.424763065697328e-07,10.800994559529643,15.837867307119687,16.63342119890645,0.1315871120481505,0.14559413409734204,0.0,0.0,0.0
2,3,850.0,0.120955148862096,1.0800595259752378e-06,7.604490384439208e-08,2.0191531165905586e-08,9.813929100538122e-10,8.207759242852475e-08,3.424807066541042e-07,10.800595259752379,15.614828889058202,16.549433473032973,0.10822620624458834,0.14561202810068974,0.0,0.0,0.0
3,4,0.2950292083167543,5.821902904576581e-05,1.0800566224070332e-06,7.610022035389928e-08,1.9211961990618314e-08,9.474167489277241e-10,7.768162686817771e-08,3.424810183981562e-07,10.800566224070334,15.598563243281948,16.543340934021572,0.0022741081496698624,0.1456133404128694,0.0013075808689304727,4.3635724016868314e-07,7.352731790426291e-07
4,5,0.29229296706912167,5.372291647654281e-05,1.0800371603285208e-06,7.425349280273647e-08,1.9217950917339876e-08,6.78222526137364e-10,7.971705875895694e-08,3.425015696649727e-07,10.800371603285209,15.604571417425579,16.54703995359158,0.002165659409035408,0.14564865242586653,0.02039216522329559,6.93739418505305e-06,1.0638571255958946e-05
5,6,0.22302284042048678,4.327338684348418e-05,1.080046783099839e-06,7.51640553507434e-08,1.918817128728557e-08,7.782206029502208e-10,7.852910024580177e-08,3.424914117038178e-07,10.80046783099839,15.601611426719847,16.545202327318325,0.0019040349155497753,0.14563116442315774,0.0037971069475464174,2.7378908380163597e-06,4.255375764871763e-06
6,7,0.1772914359558421,3.426270826011066e-05,1.080013833875031e-06,7.333147933792579e-08,1.9181975492622608e-08,5.714968591798781e-10,7.706376818876373e-08,3.4253583269294735e-07,10.80013833875031,15.6032945432102,16.5425768077098,0.0017302547719856927,0.1456625766863499,0.002652358591733745,7.4560189376805925e-06,1.651140692980509e-05
7,8,0.3200295226895878,5.967320906684602e-05,1.0799425016234562e-06,7.21920187157713e-08,1.878090891370859e-08,3.238521825560912e-10,7.628411529471284e-08,3.4266416580329073e-07,10.799425016234562,15.57411662196611,16.50405422327504,0.002160695687436574,0.14567011340561722,0.018576960739789268,4.907101281521128e-06,4.4581182866196644e-05
8,9,0.1679765089766907,3.251140475667281e-05,1.0799996934076675e-06,7.310213539124633e-08,1.9043578932573838e-08,5.170610710237588e-10,7.642614041380153e-08,3.425612579464491e-07,10.799996934076676,15.59768742828059,16.534944189007543,0.0016688079340308202,0.1456640633668202,0.0021522911641693185,6.8802397448299915e-06,2.0919185898939055e-05
9,10,0.16600397512464796,3.1692011693862364e-05,1.0799651610008127e-06,7.306995254083949e-08,1.8643070254783963e-08,3.7862102848161943e-10,7.630401338711458e-08,3.426318108035899e-07,10.799651610008128,15.558751848683553,16.505841736964786,0.0016588756225832451,0.14565675867266423,0.004513802659622432,4.447003740623098e-06,3.0276281577328168e-05
10,11,0.1630243314636411,3.103945161994642e-05,1.079953829129053e-06,7.293882934811129e-08,1.863916773013502e-08,3.3262473555336463e-10,7.622182618597799e-08,3.4265390848895475e-07,10.799538291290531,15.534537330192835,16.492795306612702,0.0016315585482734815,0.14565886165309813,0.004808243211682276,4.320899058520677e-06,3.2808463930984566e-05
11,12,0.15945203362738125,3.0225908232025496e-05,1.0799343511357229e-06,7.281465911310365e-08,1.858088599824598e-08,2.5499210276802495e-10,7.598401400988432e-08,3.426913571916613e-07,10.799343511357229,15.474581369870094,16.464622950029085,0.0016064220376551168,0.1456628804691332,0.005191345276213271,5.439641412104029e-06,3.555350775179067e-05
12,13,0.15465339203055142,2.9241123643113746e-05,1.0799104392370482e-06,7.228532370980324e-08,1.8466923080996746e-08,1.6810221164605493e-10,7.552856113686911e-08,3.427291193719959e-07,10.799104392370483,15.369533376360192,16.421473488015547,0.0015720548046952779,0.14568124729620055,0.0049146703710824125,9.523731960985968e-06,3.4840100245149826e-05
13,14,0.15209629659755017,2.8592780277116977e-05,1.0798805878913038e-06,7.159310121223159e-08,1.822308483452322e-08,7.232521449392843e-11,7.4612498225986e-08,3.427706729865115e-07,10.798805878913038,15.192816720431951,16.355302131445793,0.0015311891869918485,0.1457107198843644,0.004501440717070855,2.067113539110696e-05,2.7482543414958318e-05
14,15,0.14942251296749545,2.799230943121379e-05,1.0798654967800962e-06,7.10987122084574e-08,1.80487721418367e-08,3.3830239169293275e-11,7.395388568762002e-08,3.427887353678548e-07,10.798654967800962,15.092500279163218,16.31776662330239,0.0015219754246883202,0.14573219231807222,0.00391492790878534,2.9947012255036324e-05,2.17169989128031e-05
15,16,0.1478329255322918,2.7431931006626114e-05,1.0798500070412912e-06,7.024379329802376e-08,1.7792867540524774e-08,6.311412715163748e-12,7.299475710099555e-08,3.4280287119401063e-07,10.798500070412912,14.974185840435911,16.275210166048257,0.0015107544641898227,0.14576712884180068,0.0038799584752570006,4.2588395805342047e-05,1.5269440638642774e-05
16,17,0.14738694890139065,2.7213190853930338e-05,1.0798412164329904e-06,6.941387261672829e-08,1.7493149036191012e-08,0.0,7.19952158779388e-08,3.4280971197383986e-07,10.798412164329903,14.881470424280934,16.2432692905382,0.0014887638767079993,0.14580329572989875,0.0038320571084215368,4.9673377743552506e-05,1.3040001438654643e-05
17,18,0.1466552783731447,2.7030998666277445e-05,1.0798393959398274e-06,6.919196040674239e-08,1.7367946272234e-08,0.0,7.158688154047899e-08,3.428131015504102e-07,10.798393959398275,14.847235040537793,16.231635586208746,0.0014792680069735992,0.1458157942947567,0.003918296224883299,5.06352520747848e-05,1.3664160546368756e-05
18,19,0.14550756580401703,2.676872670359826e-05,1.0798372766426104e-06,6.891874915078338e-08,1.7146420232053906e-08,0.0,7.084943995838654e-08,3.4281981151415276e-07,10.798372766426104,14.788173422075445,16.211111884356903,0.001464855414977227,0.1458358498023622,0.003989850226787625,5.159307404227144e-05,1.610255073406932e-05
