
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 1.4950781826898709e-05
fun_coils_simple#12 - J=1.3e-04, Jf=3.3e-05, ⟨B·n⟩=8.8e-04, C-C-Sep=0.11 Jf=3.3e-05, J_length=4.4e-06, J_CC=3.1e-07, J_CURVATURE=2.9e-07, J_MSC=9.4e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[5.3, 5.7, 6.7, 8.2, 8.8, 10.5, 10.3, 8.1, 8.0, 7.0], mean squared curvature=[11.0, 10.9, 10.1, 8.9, 8.7, 9.4, 7.9, 9.9, 10.3, 10.0]
fun_coils#1 - J=1.3e-04, Jf=3.3e-05, ⟨B·n⟩=8.8e-04, C-C-Sep=0.11 Jf=3.3e-05, J_length=4.4e-06, J_CC=3.1e-07, J_CURVATURE=2.9e-07, J_MSC=9.4e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[5.3, 5.7, 6.7, 8.2, 8.8, 10.5, 10.3, 8.1, 8.0, 7.0], mean squared curvature=[11.0, 10.9, 10.1, 8.9, 8.7, 9.4, 7.9, 9.9, 10.3, 10.0]
fun_coils#2 - J=3.4e+01, Jf=1.1e-01, ⟨B·n⟩=5.2e-02, C-C-Sep=0.01 Jf=1.1e-01, J_length=1.1e-05, J_CC=2.8e-03, J_CURVATURE=4.5e-01, J_MSC=3.0e+01, J_ALS=2.8e-05, J_LENGTH_PENALTY=3.9e+00 Coil lengths=sum([17.2, 15.0, 10.1, 4.2, 4.3, 11.2, 8.1, 4.8, 27.6, 9.0])=111.5, curvature=[181.0, 46.4, 147.6, 10.9, 12.3, 104.6, 113.9, 18.4, 70.2, 916.8], mean squared curvature=[89.5, 48.7, 167.5, 13.5, 12.2, 126.8, 135.3, 21.7, 40.4, 740.2]
fun_coils#3 - J=1.3e-04, Jf=3.3e-05, ⟨B·n⟩=8.8e-04, C-C-Sep=0.11 Jf=3.3e-05, J_length=4.4e-06, J_CC=3.1e-07, J_CURVATURE=2.7e-07, J_MSC=9.4e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[5.3, 5.7, 6.7, 8.2, 8.8, 10.5, 10.3, 8.1, 8.0, 6.9], mean squared curvature=[11.0, 10.9, 10.1, 8.9, 8.7, 9.4, 7.9, 9.9, 10.3, 10.0]
fun_coils#4 - J=1.2e-04, Jf=3.1e-05, ⟨B·n⟩=8.6e-04, C-C-Sep=0.11 Jf=3.1e-05, J_length=4.4e-06, J_CC=3.1e-07, J_CURVATURE=0.0e+00, J_MSC=8.5e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[5.2, 5.7, 6.6, 8.2, 8.8, 9.6, 9.8, 8.2, 7.9, 6.8], mean squared curvature=[11.0, 10.8, 10.0, 8.9, 8.7, 9.4, 7.8, 9.9, 10.3, 9.9]
fun_coils#5 - J=1.0e-04, Jf=2.8e-05, ⟨B·n⟩=8.1e-04, C-C-Sep=0.11 Jf=2.8e-05, J_length=4.4e-06, J_CC=3.0e-07, J_CURVATURE=0.0e+00, J_MSC=7.3e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[5.2, 5.7, 6.6, 8.2, 8.8, 8.6, 9.2, 8.2, 7.8, 6.8], mean squared curvature=[10.9, 10.8, 9.9, 8.9, 8.7, 9.3, 7.8, 9.9, 10.2, 9.9]
fun_coils#6 - J=7.4e-05, Jf=1.9e-05, ⟨B·n⟩=6.7e-04, C-C-Sep=0.11 Jf=1.9e-05, J_length=4.4e-06, J_CC=2.9e-07, J_CURVATURE=0.0e+00, J_MSC=5.4e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[5.0, 5.5, 6.4, 8.2, 8.7, 9.6, 6.1, 8.3, 7.2, 6.6], mean squared curvature=[10.7, 10.4, 9.7, 8.9, 8.7, 10.3, 7.8, 9.9, 10.6, 9.4]
fun_coils#7 - J=6.9e-05, Jf=2.1e-05, ⟨B·n⟩=7.1e-04, C-C-Sep=0.11 Jf=2.1e-05, J_length=4.4e-06, J_CC=2.9e-07, J_CURVATURE=0.0e+00, J_MSC=4.7e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[4.9, 5.6, 6.5, 8.2, 8.7, 8.0, 7.2, 8.3, 7.5, 6.7], mean squared curvature=[10.7, 10.6, 9.8, 8.9, 8.7, 9.5, 7.7, 9.9, 10.3, 9.6]
fun_coils#8 - J=1.7e-04, Jf=2.0e-05, ⟨B·n⟩=6.9e-04, C-C-Sep=0.11 Jf=2.0e-05, J_length=4.4e-06, J_CC=3.2e-07, J_CURVATURE=9.1e-06, J_MSC=1.4e-04, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[5.2, 5.6, 6.3, 8.2, 8.7, 13.1, 6.7, 8.4, 7.1, 6.5], mean squared curvature=[10.4, 10.3, 9.6, 8.9, 8.7, 11.6, 8.1, 9.9, 10.2, 9.2]
fun_coils#9 - J=4.9e-05, Jf=1.9e-05, ⟨B·n⟩=6.7e-04, C-C-Sep=0.11 Jf=1.9e-05, J_length=4.4e-06, J_CC=2.9e-07, J_CURVATURE=0.0e+00, J_MSC=2.9e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[4.9, 5.5, 6.4, 8.2, 8.7, 8.6, 6.0, 8.3, 7.3, 6.6], mean squared curvature=[10.6, 10.5, 9.7, 8.9, 8.7, 10.0, 7.7, 9.9, 10.1, 9.4]
