
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils_simple#12 - J=6.5e-03, Jf=2.9e-03, ⟨B·n⟩=6.7e-03, C-C-Sep=0.12 Jf=2.9e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=5.9e-05, J_MSC=2.2e-04, J_ALS=4.3e-07, J_LENGTH_PENALTY=3.4e-03 Coil lengths=sum([4.4, 4.4, 4.4, 4.4])=17.6, curvature=[8.1, 9.1, 5.9, 5.6], mean squared curvature=[5.2, 7.0, 5.2, 5.5]
fun_coils_simple#13 - J=6.0e-03, Jf=2.3e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.12 Jf=2.3e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-04, J_MSC=8.5e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=2.8e-03 Coil lengths=sum([4.4, 4.4, 4.4, 4.4])=17.5, curvature=[11.6, 8.3, 7.2, 6.7], mean squared curvature=[7.8, 7.5, 6.2, 6.4]
fun_coils_simple#14 - J=4.9e-03, Jf=2.2e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.11 Jf=2.2e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-05, J_MSC=1.9e-04, J_ALS=4.0e-07, J_LENGTH_PENALTY=2.5e-03 Coil lengths=sum([4.4, 4.3, 4.4, 4.4])=17.4, curvature=[7.2, 6.9, 6.9, 5.9], mean squared curvature=[5.6, 6.5, 5.9, 5.7]
fun_coils_simple#15 - J=4.5e-03, Jf=2.1e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.11 Jf=2.1e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-05, J_MSC=1.4e-04, J_ALS=3.9e-07, J_LENGTH_PENALTY=2.3e-03 Coil lengths=sum([4.3, 4.3, 4.3, 4.3])=17.4, curvature=[7.1, 5.9, 6.7, 5.8], mean squared curvature=[5.6, 6.2, 5.7, 5.6]
fun_coils_simple#16 - J=3.7e-03, Jf=1.9e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.12 Jf=1.9e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=8.2e-06, J_MSC=3.8e-05, J_ALS=3.7e-07, J_LENGTH_PENALTY=1.8e-03 Coil lengths=sum([4.3, 4.3, 4.3, 4.3])=17.2, curvature=[6.3, 7.2, 5.3, 5.2], mean squared curvature=[5.1, 5.6, 5.1, 5.6]
fun_coils#1 - J=3.8e-03, Jf=1.9e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.12 Jf=1.9e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=8.2e-06, J_MSC=3.8e-05, J_ALS=3.7e-07, J_LENGTH_PENALTY=1.8e-03 Coil lengths=sum([4.3, 4.3, 4.3, 4.3])=17.2, curvature=[6.3, 7.2, 5.3, 5.2], mean squared curvature=[5.1, 5.6, 5.1, 5.6]
fun_coils#2 - J=4.9e+01, Jf=8.4e-01, ⟨B·n⟩=1.4e-01, C-C-Sep=0.01 Jf=8.4e-01, J_length=7.3e-06, J_CC=2.1e-03, J_CURVATURE=6.0e-01, J_MSC=4.1e+01, J_ALS=3.4e-05, J_LENGTH_PENALTY=6.3e+00 Coil lengths=sum([10.7, 34.5, 6.9, 20.8])=72.9, curvature=[1137.4, 121.9, 448.0, 209.4], mean squared curvature=[845.1, 40.1, 347.4, 65.4]
fun_coils#3 - J=3.7e-03, Jf=1.9e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.12 Jf=1.9e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-06, J_MSC=1.7e-05, J_ALS=3.7e-07, J_LENGTH_PENALTY=1.8e-03 Coil lengths=sum([4.3, 4.3, 4.3, 4.3])=17.2, curvature=[6.0, 6.5, 5.3, 5.1], mean squared curvature=[5.0, 5.4, 5.1, 5.4]
fun_coils#4 - J=3.6e-03, Jf=1.8e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.12 Jf=1.8e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=7.4e-08, J_MSC=5.3e-07, J_ALS=3.7e-07, J_LENGTH_PENALTY=1.7e-03 Coil lengths=sum([4.3, 4.3, 4.3, 4.3])=17.2, curvature=[5.3, 4.7, 5.1, 4.8], mean squared curvature=[4.8, 4.9, 5.0, 5.1]
fun_coils#5 - J=3.2e-03, Jf=1.7e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.12 Jf=1.7e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.6e-07, J_LENGTH_PENALTY=1.5e-03 Coil lengths=sum([4.3, 4.3, 4.3, 4.3])=17.1, curvature=[4.1, 4.6, 4.8, 4.3], mean squared curvature=[4.3, 4.8, 4.7, 4.8]
fun_coils#6 - J=2.2e-02, Jf=1.1e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.11 Jf=1.1e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=2.2e-03, J_MSC=1.8e-02, J_ALS=3.2e-07, J_LENGTH_PENALTY=8.2e-04 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.8, curvature=[35.1, 19.5, 5.2, 8.7], mean squared curvature=[20.2, 16.6, 4.5, 5.9]
fun_coils#7 - J=2.8e-03, Jf=1.5e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-05, J_MSC=1.2e-05, J_ALS=3.6e-07, J_LENGTH_PENALTY=1.3e-03 Coil lengths=sum([4.3, 4.2, 4.3, 4.3])=17.0, curvature=[8.9, 6.9, 4.5, 4.2], mean squared curvature=[4.6, 5.5, 4.6, 4.7]
fun_coils#8 - J=3.0e-03, Jf=1.1e-03, ⟨B·n⟩=4.3e-03, C-C-Sep=0.12 Jf=1.1e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-04, J_MSC=8.2e-04, J_ALS=3.3e-07, J_LENGTH_PENALTY=8.7e-04 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.8, curvature=[12.7, 8.8, 5.0, 8.4], mean squared curvature=[7.7, 8.0, 4.4, 5.7]
fun_coils#9 - J=2.5e-03, Jf=1.3e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.12 Jf=1.3e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=4.4e-05, J_MSC=8.5e-05, J_ALS=3.4e-07, J_LENGTH_PENALTY=1.1e-03 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.9, curvature=[10.9, 7.1, 4.6, 6.2], mean squared curvature=[5.6, 6.2, 4.4, 5.0]
