
Aspect ratio at max_mode 3: 7.0005969980925915
Mean iota at 3: -0.46675452068156176
Squared flux at max_mode 3: 0.00776731652366406
fun_coils_simple#1 - J=1.2e-02, Jf=9.4e-03, ⟨B·n⟩=6.9e-03, C-C-Sep=0.20 Jf=9.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=2.5e-05, J_MSC=2.7e-03, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[13.7, 15.8, 10.2], mean squared curvature=[13.8, 15.9, 12.1]
fun_coils_simple#12 - J=8.1e-03, Jf=7.8e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.8e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=5.8e-06, J_MSC=3.1e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[14.2, 8.1, 11.4], mean squared curvature=[11.7, 11.7, 10.6]
fun_coils_simple#13 - J=7.7e-03, Jf=7.5e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.9e-07, J_MSC=1.7e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[10.1, 8.6, 10.9], mean squared curvature=[10.5, 11.7, 10.7]
fun_coils#1 - J=7.7e-03, Jf=7.5e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.9e-07, J_MSC=1.7e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[10.1, 8.6, 10.9], mean squared curvature=[10.5, 11.7, 10.7]
fun_coils#2 - J=1.5e+01, Jf=1.2e+00, ⟨B·n⟩=1.7e-01, C-C-Sep=0.02 Jf=1.2e+00, J_length=7.9e-06, J_CC=1.3e-03, J_CURVATURE=6.5e-01, J_MSC=6.3e+00, J_ALS=2.9e-05, J_LENGTH_PENALTY=7.2e+00 Coil lengths=sum([18.6, 35.0, 25.7])=79.2, curvature=[652.3, 561.3, 273.4], mean squared curvature=[275.5, 230.7, 92.0]
fun_coils#3 - J=1.4e-02, Jf=7.3e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.3e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=7.4e-04, J_MSC=6.2e-03, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[35.5, 32.8, 19.7], mean squared curvature=[16.8, 18.1, 13.3]
fun_coils#4 - J=7.5e-03, Jf=7.5e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=3.7e-08, J_MSC=8.2e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[10.4, 8.9, 7.8], mean squared curvature=[10.1, 11.3, 10.0]
fun_coils#5 - J=7.5e-03, Jf=7.4e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=6.3e-07, J_MSC=5.0e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[11.7, 7.1, 7.7], mean squared curvature=[10.1, 11.0, 9.9]
fun_coils#6 - J=7.4e-03, Jf=7.3e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.3e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=4.0e-08, J_MSC=4.6e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[10.5, 7.4, 9.6], mean squared curvature=[9.9, 11.0, 10.1]
fun_coils#7 - J=7.8e-03, Jf=7.0e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.0e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-04, J_MSC=7.5e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[25.0, 11.4, 15.0], mean squared curvature=[12.7, 11.9, 12.1]
fun_coils#8 - J=7.3e-03, Jf=7.2e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.2e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=6.9e-06, J_MSC=6.7e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[14.0, 7.2, 10.5], mean squared curvature=[10.4, 11.0, 10.4]
fun_coils#9 - J=7.2e-03, Jf=7.0e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.0e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=1.9e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[10.5, 10.4, 12.4], mean squared curvature=[9.8, 11.5, 11.2]
fun_coils#10 - J=7.0e-03, Jf=6.9e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=6.9e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=2.0e-07, J_MSC=1.3e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[11.2, 9.3, 7.6], mean squared curvature=[9.9, 11.6, 10.3]
fun_coils#11 - J=6.9e-03, Jf=6.9e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=6.9e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=4.0e-08, J_MSC=6.8e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[10.5, 7.5, 7.6], mean squared curvature=[9.8, 11.2, 10.1]
fun_coils#12 - J=6.8e-03, Jf=6.7e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.7e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=5.1e-08, J_MSC=7.2e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[10.6, 6.5, 8.0], mean squared curvature=[10.1, 11.0, 10.6]
fun_coils#13 - J=6.6e-03, Jf=6.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.5e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=2.3e-07, J_MSC=8.8e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[6.3, 6.6, 11.0], mean squared curvature=[10.2, 11.0, 10.8]
fun_coils#14 - J=6.5e-03, Jf=6.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.5e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.7e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[5.4, 6.1, 7.5], mean squared curvature=[9.8, 10.8, 10.3]
fun_coils#15 - J=6.5e-03, Jf=6.4e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.4e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.3e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[5.5, 6.1, 6.9], mean squared curvature=[9.8, 10.8, 10.2]
fun_coils#16 - J=6.4e-03, Jf=6.3e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.20 Jf=6.3e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.1e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[8.5, 6.7, 7.6], mean squared curvature=[10.2, 11.1, 10.6]
fun_coils#17 - J=6.2e-03, Jf=6.2e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.20 Jf=6.2e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.1e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[6.2, 7.8, 8.2], mean squared curvature=[10.0, 11.1, 10.7]
fun_coils#18 - J=6.1e-03, Jf=6.0e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.19 Jf=6.0e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.2e-05, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.3])=9.8, curvature=[6.8, 6.7, 8.7], mean squared curvature=[10.5, 10.9, 10.8]
fun_coils#19 - J=6.0e-03, Jf=5.9e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.19 Jf=5.9e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.4e-05, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.3])=9.8, curvature=[6.0, 6.7, 8.5], mean squared curvature=[10.3, 10.9, 10.5]
fun_coils#20 - J=5.9e-03, Jf=5.7e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.19 Jf=5.7e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.8, curvature=[5.9, 6.8, 8.5], mean squared curvature=[10.4, 11.1, 11.0]
fun_coils#21 - J=5.7e-03, Jf=5.7e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.19 Jf=5.7e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.0e-05, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.8, curvature=[5.9, 6.9, 8.2], mean squared curvature=[10.5, 10.8, 10.7]
fun_coils#22 - J=5.6e-03, Jf=5.5e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.19 Jf=5.5e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-04, J_ALS=4.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[7.2, 7.0, 8.1], mean squared curvature=[10.7, 11.0, 10.7]
fun_coils#23 - J=5.5e-03, Jf=5.3e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.19 Jf=5.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-05, J_MSC=2.6e-04, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=10.0, curvature=[6.0, 18.0, 7.6], mean squared curvature=[11.0, 11.9, 10.7]
fun_coils#24 - J=5.4e-03, Jf=5.4e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.19 Jf=5.4e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.5e-05, J_ALS=4.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[5.9, 8.7, 7.7], mean squared curvature=[10.5, 11.1, 10.5]
fun_coils#25 - J=5.3e-03, Jf=5.2e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.19 Jf=5.2e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=10.0, curvature=[6.0, 8.4, 7.3], mean squared curvature=[10.9, 11.2, 10.5]
fun_coils#26 - J=5.3e-03, Jf=5.2e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.19 Jf=5.2e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.0e-05, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=10.0, curvature=[6.0, 6.9, 7.0], mean squared curvature=[10.8, 11.0, 10.3]
fun_coils#27 - J=5.2e-03, Jf=5.1e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.18 Jf=5.1e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.2e-05, J_ALS=4.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.4])=10.0, curvature=[6.0, 6.8, 6.7], mean squared curvature=[10.9, 11.0, 10.4]
fun_coils#28 - J=5.0e-03, Jf=5.0e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.18 Jf=5.0e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.1e-05, J_ALS=4.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.4])=10.1, curvature=[6.0, 6.9, 6.9], mean squared curvature=[10.7, 10.7, 10.4]
fun_coils#29 - J=4.9e-03, Jf=4.7e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.18 Jf=4.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=2.1e-04, J_ALS=4.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.2, curvature=[6.8, 8.3, 12.0], mean squared curvature=[10.9, 11.3, 11.4]
fun_coils#30 - J=4.8e-03, Jf=4.7e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.18 Jf=4.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.6e-05, J_ALS=4.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.1, curvature=[6.0, 6.7, 7.0], mean squared curvature=[10.6, 10.7, 10.3]
fun_coils#31 - J=4.7e-03, Jf=4.6e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.18 Jf=4.6e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.4e-05, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.2, curvature=[6.1, 6.4, 7.2], mean squared curvature=[10.7, 10.7, 10.4]
fun_coils#32 - J=4.5e-03, Jf=4.4e-03, ⟨B·n⟩=5.0e-03, C-C-Sep=0.18 Jf=4.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.9e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.5, 3.5])=10.3, curvature=[6.2, 6.3, 6.3], mean squared curvature=[10.9, 10.8, 10.3]
fun_coils#33 - J=4.4e-03, Jf=4.3e-03, ⟨B·n⟩=5.0e-03, C-C-Sep=0.17 Jf=4.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.8e-05, J_ALS=5.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.5, 3.6])=10.4, curvature=[8.5, 7.1, 6.4], mean squared curvature=[10.9, 10.8, 10.5]
fun_coils#34 - J=4.3e-03, Jf=4.3e-03, ⟨B·n⟩=5.0e-03, C-C-Sep=0.16 Jf=4.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.7e-05, J_ALS=5.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.5, 3.6])=10.5, curvature=[6.3, 6.8, 6.2], mean squared curvature=[10.6, 10.6, 10.2]
fun_coils#35 - J=4.2e-03, Jf=4.2e-03, ⟨B·n⟩=4.9e-03, C-C-Sep=0.16 Jf=4.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.2e-05, J_ALS=5.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.6])=10.5, curvature=[6.3, 6.3, 6.4], mean squared curvature=[10.5, 10.6, 10.0]
fun_coils#36 - J=4.1e-03, Jf=4.0e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.15 Jf=4.0e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.7e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.6])=10.7, curvature=[9.7, 6.5, 7.2], mean squared curvature=[10.7, 11.0, 10.5]
fun_coils#37 - J=3.9e-03, Jf=3.8e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.14 Jf=3.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=5.5e-09, J_MSC=6.9e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.7])=10.7, curvature=[7.8, 7.4, 10.2], mean squared curvature=[10.6, 10.6, 10.8]
fun_coils#38 - J=3.7e-03, Jf=3.7e-03, ⟨B·n⟩=4.6e-03, C-C-Sep=0.14 Jf=3.7e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.2e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.7])=10.7, curvature=[7.4, 8.0, 6.6], mean squared curvature=[10.3, 10.2, 9.8]
fun_coils#39 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.13 Jf=3.6e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.5e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.7, 3.7])=10.8, curvature=[7.2, 9.3, 7.8], mean squared curvature=[10.7, 10.7, 10.0]
fun_coils#40 - J=3.5e-03, Jf=3.4e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.12 Jf=3.4e-03, J_length=1.1e-06, J_CC=9.3e-09, J_CURVATURE=4.6e-06, J_MSC=1.4e-04, J_ALS=6.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.7, 3.8])=11.0, curvature=[7.1, 10.1, 14.5], mean squared curvature=[10.5, 11.1, 11.2]
fun_coils#41 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.12 Jf=3.4e-03, J_length=1.1e-06, J_CC=9.0e-09, J_CURVATURE=0.0e+00, J_MSC=6.1e-06, J_ALS=6.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.7, 3.8])=11.0, curvature=[6.9, 9.2, 7.1], mean squared curvature=[10.1, 10.3, 10.2]
fun_coils#42 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.11 Jf=3.3e-03, J_length=1.1e-06, J_CC=2.0e-07, J_CURVATURE=0.0e+00, J_MSC=1.5e-05, J_ALS=6.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.8, 3.8])=11.1, curvature=[7.4, 9.3, 7.0], mean squared curvature=[10.3, 10.4, 10.2]
fun_coils#43 - J=3.2e-03, Jf=3.1e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.09 Jf=3.1e-03, J_length=1.1e-06, J_CC=4.8e-06, J_CURVATURE=8.1e-07, J_MSC=9.2e-05, J_ALS=7.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.9, 3.9])=11.4, curvature=[11.4, 10.5, 8.2], mean squared curvature=[10.9, 10.7, 10.8]
fun_coils#44 - J=3.1e-03, Jf=3.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.09 Jf=3.0e-03, J_length=1.1e-06, J_CC=4.1e-06, J_CURVATURE=0.0e+00, J_MSC=3.0e-06, J_ALS=7.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.9, 3.9])=11.4, curvature=[8.8, 9.1, 7.1], mean squared curvature=[10.2, 10.1, 10.2]
fun_coils#45 - J=3.0e-03, Jf=2.9e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.08 Jf=2.9e-03, J_length=1.2e-06, J_CC=7.8e-06, J_CURVATURE=0.0e+00, J_MSC=1.3e-05, J_ALS=7.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.9, 4.0])=11.5, curvature=[9.0, 9.7, 7.0], mean squared curvature=[10.3, 10.4, 10.1]
fun_coils#46 - J=2.9e-03, Jf=2.7e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.06 Jf=2.7e-03, J_length=1.2e-06, J_CC=1.7e-05, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=7.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 4.0, 4.1])=11.7, curvature=[8.7, 9.3, 8.8], mean squared curvature=[11.0, 11.3, 10.5]
