
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils_simple#12 - J=3.8e-03, Jf=3.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.11 Jf=3.8e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-07, J_MSC=5.8e-05, J_ALS=5.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.6, 4.5])=18.2, curvature=[5.2, 5.1, 5.2, 4.9], mean squared curvature=[5.6, 5.2, 5.8, 5.3]
fun_coils_simple#13 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=7.3e-03, C-C-Sep=0.11 Jf=3.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.6e-06, J_ALS=5.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.6, 4.5])=18.2, curvature=[3.9, 4.2, 4.7, 4.8], mean squared curvature=[5.0, 4.9, 5.2, 5.2]
fun_coils_simple#14 - J=2.5e-03, Jf=2.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.11 Jf=2.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.1e-07, J_MSC=1.5e-05, J_ALS=5.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.3, 5.4, 5.5, 4.8], mean squared curvature=[5.2, 5.2, 5.4, 5.1]
fun_coils_simple#15 - J=1.1e-01, Jf=1.1e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.11 Jf=1.1e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=8.9e-03, J_MSC=1.1e-01, J_ALS=4.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.6, 4.5])=18.3, curvature=[103.6, 25.2, 23.0, 5.6], mean squared curvature=[47.4, 20.0, 18.6, 6.6]
fun_coils_simple#16 - J=2.0e-03, Jf=1.9e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.12 Jf=1.9e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=9.2e-06, J_MSC=5.2e-05, J_ALS=5.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[7.8, 5.8, 5.4, 4.8], mean squared curvature=[5.7, 5.0, 5.7, 5.2]
fun_coils_simple#17 - J=1.9e-03, Jf=1.3e-03, ⟨B·n⟩=4.3e-03, C-C-Sep=0.11 Jf=1.3e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=9.0e-05, J_MSC=6.4e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[9.7, 11.1, 6.1, 5.2], mean squared curvature=[6.5, 7.4, 7.1, 5.6]
fun_coils_simple#18 - J=1.7e-03, Jf=1.6e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.12 Jf=1.6e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-05, J_MSC=8.2e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.6, 7.8, 5.6, 4.9], mean squared curvature=[5.0, 5.7, 6.1, 5.3]
fun_coils#1 - J=1.7e-03, Jf=1.6e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.12 Jf=1.6e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-05, J_MSC=8.2e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.6, 7.8, 5.6, 4.9], mean squared curvature=[5.0, 5.7, 6.1, 5.3]
fun_coils#2 - J=1.3e+01, Jf=1.0e+00, ⟨B·n⟩=1.3e-01, C-C-Sep=0.01 Jf=1.0e+00, J_length=8.0e-06, J_CC=1.7e-03, J_CURVATURE=2.6e-01, J_MSC=3.2e+00, J_ALS=7.9e-05, J_LENGTH_PENALTY=8.7e+00 Coil lengths=sum([4.9, 36.2, 32.5, 6.6])=80.2, curvature=[73.4, 209.4, 211.2, 130.6], mean squared curvature=[90.2, 88.2, 59.0, 221.8]
fun_coils#3 - J=1.7e-03, Jf=1.6e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.12 Jf=1.6e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.4e-05, J_MSC=1.2e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.6, 10.5, 5.5, 4.9], mean squared curvature=[5.0, 6.3, 5.8, 5.2]
fun_coils#4 - J=1.6e-03, Jf=1.6e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.12 Jf=1.6e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=7.0e-07, J_MSC=1.1e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.6, 4.2, 5.5, 4.9], mean squared curvature=[5.0, 4.8, 5.4, 5.2]
fun_coils#5 - J=1.6e-03, Jf=1.6e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.12 Jf=1.6e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-07, J_MSC=6.9e-06, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.6, 4.5, 5.5, 4.9], mean squared curvature=[5.0, 4.9, 5.3, 5.2]
fun_coils#6 - J=1.5e-03, Jf=1.5e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=8.5e-07, J_MSC=7.1e-07, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.6, 5.9, 5.3, 4.9], mean squared curvature=[5.0, 5.0, 5.0, 5.1]
