
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 1.4950781826898709e-05
fun_coils_simple#1 - J=1.1e-02, Jf=1.9e-05, ⟨B·n⟩=6.8e-04, C-C-Sep=0.11 Jf=1.9e-05, J_length=4.4e-06, J_CC=3.5e-08, J_CURVATURE=4.1e-06, J_MSC=2.0e-03, J_ALS=1.1e-06, J_LENGTH_PENALTY=9.0e-03 Coil lengths=sum([4.5, 4.5, 4.4, 4.2, 4.3, 4.4, 4.4, 4.5, 4.5, 4.5])=44.1, curvature=[6.9, 6.2, 7.8, 11.1, 8.3, 9.1, 11.2, 8.9, 10.2, 9.8], mean squared curvature=[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]
fun_coils_simple#2 - J=6.8e+01, Jf=3.4e-01, ⟨B·n⟩=1.1e-01, C-C-Sep=0.01 Jf=3.4e-01, J_length=1.2e-05, J_CC=4.4e-03, J_CURVATURE=1.2e+00, J_MSC=6.3e+01, J_ALS=3.2e-05, J_LENGTH_PENALTY=4.4e+00 Coil lengths=sum([4.6, 5.2, 9.5, 15.3, 15.1, 12.3, 12.5, 17.8, 9.6, 19.5])=121.4, curvature=[299.9, 144.9, 132.0, 1040.3, 399.4, 1763.9, 64.3, 118.4, 300.0, 625.3], mean squared curvature=[422.5, 308.9, 211.4, 243.0, 245.4, 869.2, 73.1, 89.1, 280.0, 188.3]
fun_coils_simple#3 - J=1.1e-02, Jf=1.9e-05, ⟨B·n⟩=6.8e-04, C-C-Sep=0.11 Jf=1.9e-05, J_length=4.4e-06, J_CC=3.3e-08, J_CURVATURE=3.9e-06, J_MSC=1.9e-03, J_ALS=1.1e-06, J_LENGTH_PENALTY=8.9e-03 Coil lengths=sum([4.5, 4.5, 4.4, 4.2, 4.3, 4.4, 4.4, 4.5, 4.5, 4.5])=44.1, curvature=[6.9, 6.2, 7.8, 11.1, 8.3, 9.1, 11.1, 8.8, 10.2, 9.8], mean squared curvature=[12.0, 12.0, 12.0, 11.9, 11.9, 12.0, 12.0, 12.0, 12.0, 12.0]
fun_coils_simple#4 - J=9.4e-03, Jf=2.1e-05, ⟨B·n⟩=7.0e-04, C-C-Sep=0.12 Jf=2.1e-05, J_length=4.4e-06, J_CC=8.9e-09, J_CURVATURE=1.5e-06, J_MSC=9.5e-04, J_ALS=1.1e-06, J_LENGTH_PENALTY=8.4e-03 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.4, 4.4, 4.5, 4.5, 4.5])=44.0, curvature=[6.9, 6.2, 7.4, 11.1, 8.0, 9.5, 9.5, 7.9, 10.0, 9.3], mean squared curvature=[11.9, 11.9, 11.6, 10.3, 10.6, 11.1, 10.7, 11.3, 11.8, 11.2]
fun_coils_simple#5 - J=8.3e-03, Jf=2.5e-05, ⟨B·n⟩=7.7e-04, C-C-Sep=0.12 Jf=2.5e-05, J_length=4.4e-06, J_CC=8.8e-10, J_CURVATURE=5.1e-07, J_MSC=6.4e-04, J_ALS=1.1e-06, J_LENGTH_PENALTY=7.6e-03 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[6.8, 6.2, 7.0, 10.7, 7.8, 9.2, 9.1, 8.2, 9.8, 8.9], mean squared curvature=[11.9, 11.9, 11.1, 9.5, 9.5, 10.1, 9.4, 10.6, 11.9, 10.7]
fun_coils_simple#6 - J=7.0e-03, Jf=4.0e-05, ⟨B·n⟩=9.8e-04, C-C-Sep=0.12 Jf=4.0e-05, J_length=4.3e-06, J_CC=0.0e+00, J_CURVATURE=8.8e-08, J_MSC=4.8e-04, J_ALS=1.0e-06, J_LENGTH_PENALTY=6.5e-03 Coil lengths=sum([4.4, 4.4, 4.3, 4.1, 4.3, 4.3, 4.3, 4.4, 4.4, 4.4])=43.5, curvature=[6.6, 6.3, 6.9, 10.3, 7.7, 9.5, 9.6, 9.9, 9.9, 8.1], mean squared curvature=[11.7, 11.7, 10.5, 8.9, 8.4, 9.0, 8.0, 10.3, 11.8, 10.5]
fun_coils_simple#7 - J=5.6e-03, Jf=8.1e-05, ⟨B·n⟩=1.4e-03, C-C-Sep=0.13 Jf=8.1e-05, J_length=4.3e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-05, J_MSC=4.6e-04, J_ALS=1.0e-06, J_LENGTH_PENALTY=5.1e-03 Coil lengths=sum([4.4, 4.4, 4.3, 4.1, 4.2, 4.3, 4.3, 4.4, 4.4, 4.4])=43.1, curvature=[6.3, 6.6, 7.5, 11.2, 7.9, 10.3, 11.0, 13.3, 10.5, 8.8], mean squared curvature=[11.6, 11.6, 10.2, 9.6, 8.0, 8.6, 7.3, 11.2, 11.4, 10.8]
fun_coils_simple#8 - J=1.0e-02, Jf=2.2e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.11 Jf=2.2e-04, J_length=4.3e-06, J_CC=4.3e-08, J_CURVATURE=2.9e-04, J_MSC=6.8e-03, J_ALS=9.8e-07, J_LENGTH_PENALTY=3.3e-03 Coil lengths=sum([4.3, 4.3, 4.2, 4.1, 4.2, 4.3, 4.3, 4.3, 4.3, 4.3])=42.5, curvature=[6.7, 7.2, 9.0, 22.4, 11.3, 14.5, 17.8, 12.8, 12.8, 10.6], mean squared curvature=[11.6, 11.5, 12.5, 16.8, 12.4, 12.4, 12.4, 15.2, 12.7, 15.3]
fun_coils_simple#9 - J=4.8e-03, Jf=1.2e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.13 Jf=1.2e-04, J_length=4.3e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-05, J_MSC=4.7e-04, J_ALS=9.9e-07, J_LENGTH_PENALTY=4.3e-03 Coil lengths=sum([4.3, 4.3, 4.2, 4.1, 4.2, 4.3, 4.3, 4.3, 4.3, 4.4])=42.8, curvature=[6.0, 6.8, 8.0, 13.1, 8.6, 11.3, 12.0, 8.7, 11.2, 9.3], mean squared curvature=[11.6, 11.5, 10.5, 11.2, 8.7, 9.2, 7.9, 9.8, 11.2, 11.2]
fun_coils_simple#10 - J=4.3e-03, Jf=1.7e-04, ⟨B·n⟩=1.9e-03, C-C-Sep=0.12 Jf=1.7e-04, J_length=4.3e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=5.1e-04, J_ALS=9.8e-07, J_LENGTH_PENALTY=3.6e-03 Coil lengths=sum([4.3, 4.3, 4.2, 4.1, 4.2, 4.3, 4.3, 4.3, 4.3, 4.3])=42.6, curvature=[6.1, 6.8, 8.2, 6.9, 9.6, 12.4, 13.0, 9.6, 11.2, 7.2], mean squared curvature=[11.5, 11.4, 10.9, 8.8, 9.9, 10.2, 9.2, 10.9, 11.1, 11.7]
fun_coils_simple#11 - J=3.8e-03, Jf=1.8e-04, ⟨B·n⟩=2.0e-03, C-C-Sep=0.12 Jf=1.8e-04, J_length=4.3e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-05, J_MSC=2.6e-04, J_ALS=9.7e-07, J_LENGTH_PENALTY=3.3e-03 Coil lengths=sum([4.3, 4.3, 4.2, 4.1, 4.2, 4.2, 4.3, 4.3, 4.3, 4.3])=42.5, curvature=[5.9, 6.8, 7.8, 7.2, 9.8, 11.7, 12.9, 9.3, 10.5, 7.0], mean squared curvature=[11.4, 11.4, 10.6, 8.5, 10.0, 9.9, 9.3, 10.2, 10.9, 10.3]
fun_coils_simple#12 - J=3.9e-03, Jf=2.5e-04, ⟨B·n⟩=2.3e-03, C-C-Sep=0.11 Jf=2.5e-04, J_length=4.2e-06, J_CC=5.7e-08, J_CURVATURE=1.1e-04, J_MSC=1.1e-03, J_ALS=9.5e-07, J_LENGTH_PENALTY=2.6e-03 Coil lengths=sum([4.2, 4.2, 4.2, 4.1, 4.2, 4.2, 4.3, 4.3, 4.2, 4.3])=42.2, curvature=[5.8, 6.9, 7.2, 9.5, 11.9, 13.4, 18.5, 9.9, 10.3, 7.0], mean squared curvature=[11.4, 11.2, 11.0, 10.5, 12.5, 11.3, 12.4, 11.0, 10.8, 11.2]
fun_coils_simple#13 - J=3.5e-03, Jf=2.1e-04, ⟨B·n⟩=2.1e-03, C-C-Sep=0.12 Jf=2.1e-04, J_length=4.2e-06, J_CC=2.7e-09, J_CURVATURE=3.5e-05, J_MSC=3.5e-04, J_ALS=9.6e-07, J_LENGTH_PENALTY=3.0e-03 Coil lengths=sum([4.3, 4.3, 4.2, 4.1, 4.2, 4.2, 4.3, 4.3, 4.3, 4.3])=42.4, curvature=[5.9, 6.9, 7.5, 8.2, 10.7, 11.9, 14.3, 9.5, 10.4, 6.9], mean squared curvature=[11.4, 11.3, 10.7, 9.1, 11.1, 10.5, 10.6, 10.4, 10.8, 10.5]
fun_coils_simple#14 - J=3.1e-03, Jf=2.8e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.11 Jf=2.8e-04, J_length=4.2e-06, J_CC=4.5e-08, J_CURVATURE=2.8e-05, J_MSC=5.9e-04, J_ALS=9.4e-07, J_LENGTH_PENALTY=2.2e-03 Coil lengths=sum([4.2, 4.2, 4.2, 4.1, 4.2, 4.2, 4.2, 4.2, 4.2, 4.3])=42.1, curvature=[5.8, 6.9, 7.2, 10.8, 10.7, 12.4, 14.4, 9.6, 9.3, 6.7], mean squared curvature=[11.4, 11.2, 10.4, 12.3, 10.6, 10.4, 10.5, 10.9, 10.5, 11.2]
fun_coils_simple#15 - J=2.5e-03, Jf=2.8e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.11 Jf=2.8e-04, J_length=4.2e-06, J_CC=1.6e-08, J_CURVATURE=2.3e-06, J_MSC=1.7e-04, J_ALS=9.4e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.2, 4.2, 4.2, 4.1, 4.2, 4.2, 4.2, 4.2, 4.2, 4.3])=42.0, curvature=[5.8, 6.8, 7.0, 8.1, 9.8, 11.3, 11.1, 7.6, 8.8, 6.7], mean squared curvature=[11.3, 11.1, 10.0, 9.0, 9.4, 9.7, 9.2, 9.3, 10.2, 10.5]
fun_coils#1 - J=2.5e-03, Jf=2.8e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.11 Jf=2.8e-04, J_length=4.2e-06, J_CC=1.6e-08, J_CURVATURE=2.3e-06, J_MSC=1.7e-04, J_ALS=9.4e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.2, 4.2, 4.2, 4.1, 4.2, 4.2, 4.2, 4.2, 4.2, 4.3])=42.0, curvature=[5.8, 6.8, 7.0, 8.1, 9.8, 11.3, 11.1, 7.6, 8.8, 6.7], mean squared curvature=[11.3, 11.1, 10.0, 9.0, 9.4, 9.7, 9.2, 9.3, 10.2, 10.5]
fun_coils#2 - J=1.3e+02, Jf=2.3e-01, ⟨B·n⟩=9.5e-02, C-C-Sep=0.01 Jf=2.3e-01, J_length=1.1e-05, J_CC=6.0e-03, J_CURVATURE=1.3e+00, J_MSC=1.2e+02, J_ALS=1.8e-05, J_LENGTH_PENALTY=6.0e+00 Coil lengths=sum([13.4, 13.9, 4.5, 4.5, 5.9, 7.7, 8.7, 6.8, 9.0, 34.6])=108.8, curvature=[190.2, 966.9, 59.4, 172.7, 130.5, 211.3, 321.8, 121.9, 1835.7, 378.8], mean squared curvature=[168.1, 561.6, 154.1, 181.7, 188.9, 250.4, 233.5, 297.9, 1376.2, 91.6]
fun_coils#3 - J=2.3e+02, Jf=4.0e-03, ⟨B·n⟩=7.0e-03, C-C-Sep=0.02 Jf=4.0e-03, J_length=5.2e-06, J_CC=5.2e-04, J_CURVATURE=1.2e+00, J_MSC=2.2e+02, J_ALS=2.0e-06, J_LENGTH_PENALTY=3.0e-01 Coil lengths=sum([5.5, 5.5, 3.9, 4.0, 4.1, 4.5, 4.9, 4.2, 4.4, 11.4])=52.4, curvature=[1597.1, 266.9, 11.2, 17.8, 26.2, 269.2, 685.1, 94.7, 571.4, 1656.4], mean squared curvature=[1662.0, 468.9, 16.0, 25.6, 52.8, 215.8, 502.0, 129.7, 650.7, 920.4]
fun_coils#4 - J=2.8e+00, Jf=2.6e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.08 Jf=2.6e-04, J_length=4.2e-06, J_CC=1.3e-05, J_CURVATURE=3.8e-02, J_MSC=2.8e+00, J_ALS=8.5e-07, J_LENGTH_PENALTY=9.5e-03 Coil lengths=sum([4.3, 4.2, 4.0, 4.0, 4.1, 4.1, 4.2, 4.1, 4.1, 5.3])=42.4, curvature=[49.3, 27.3, 7.2, 4.8, 5.5, 32.0, 55.8, 18.6, 39.4, 102.7], mean squared curvature=[58.8, 60.4, 8.1, 5.5, 6.1, 30.2, 45.9, 13.8, 34.7, 230.4]
fun_coils#5 - J=2.5e-03, Jf=2.8e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.11 Jf=2.8e-04, J_length=4.2e-06, J_CC=1.6e-08, J_CURVATURE=2.0e-06, J_MSC=1.6e-04, J_ALS=9.4e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.2, 4.2, 4.2, 4.1, 4.2, 4.2, 4.2, 4.2, 4.2, 4.3])=42.0, curvature=[5.8, 6.8, 7.0, 8.1, 9.8, 11.2, 11.0, 7.6, 8.8, 6.7], mean squared curvature=[11.3, 11.1, 10.0, 9.0, 9.4, 9.7, 9.2, 9.3, 10.2, 10.5]
fun_coils#6 - J=2.4e-03, Jf=2.7e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.12 Jf=2.7e-04, J_length=4.2e-06, J_CC=7.4e-09, J_CURVATURE=3.3e-08, J_MSC=1.4e-04, J_ALS=9.4e-07, J_LENGTH_PENALTY=2.0e-03 Coil lengths=sum([4.2, 4.2, 4.2, 4.1, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2])=42.0, curvature=[5.8, 6.8, 7.0, 7.9, 9.7, 10.3, 9.7, 7.5, 8.7, 6.9], mean squared curvature=[11.3, 11.0, 9.9, 8.9, 9.2, 9.4, 8.7, 9.1, 10.1, 9.7]
fun_coils#7 - J=2.2e-03, Jf=2.6e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.12 Jf=2.6e-04, J_length=4.2e-06, J_CC=6.8e-11, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=9.3e-07, J_LENGTH_PENALTY=1.8e-03 Coil lengths=sum([4.2, 4.2, 4.1, 4.1, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2])=41.8, curvature=[5.6, 6.7, 7.1, 7.5, 9.3, 8.7, 8.8, 7.2, 8.5, 7.0], mean squared curvature=[11.2, 11.0, 9.7, 8.4, 8.5, 8.6, 7.7, 8.5, 10.0, 9.3]
fun_coils#8 - J=1.5e-02, Jf=2.0e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.13 Jf=2.0e-04, J_length=4.1e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-04, J_MSC=1.4e-02, J_ALS=8.8e-07, J_LENGTH_PENALTY=6.1e-04 Coil lengths=sum([4.1, 4.1, 4.1, 4.1, 4.1, 4.1, 4.1, 4.1, 4.1, 4.2])=41.1, curvature=[6.8, 6.9, 7.1, 4.9, 6.1, 9.1, 8.9, 8.4, 8.7, 17.9], mean squared curvature=[12.4, 11.5, 8.5, 5.7, 5.2, 6.3, 6.0, 7.4, 10.3, 26.7]
