index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
0,1,0.06095711780024216,0.05828144576199693,1.2034462455202484e-06,0.0,8.855229438020069e-09,0.0026752942690787384,3.777691664904488e-07,1.1073493765252058e-07,12.034462455202485,8.703264585125545,8.988411735176632,0.012879701089405598,0.19664532255204495
1,2,1.501028467269215,1.379524363934117,1.6218094338099665e-06,1.7986255330955712e-09,0.0140300181189821,0.06860321801706368,0.05290088351940867,2.2147047847217845e-06,16.218094338099664,223.2923594071753,55.91371340064072,0.0688479473338113,0.09885585554460598
2,3,0.007667365136338769,0.004999226839528748,1.2032145438218184e-06,0.0,1.6667183225177162e-05,0.002663537448760953,4.600848049068865e-06,1.2221385712719192e-07,12.032145438218183,12.692695227453953,9.456066228465584,0.00423644840402648,0.20804044397768243
3,4,0.005966892589553082,0.003671683592796233,1.19581509782107e-06,0.0,1.3586538752253498e-05,0.0022951443572766877,6.463948016125564e-08,1.2597130623093862e-07,11.9581509782107,12.303860972528978,8.987474051496305,0.0036619237988967145,0.19432797267906812
4,5,0.0049692384838459416,0.003156197786653397,1.185129544316128e-06,0.0,1.0250621273141077e-05,0.0018130406971925452,0.0,1.268164629056919e-07,11.85129544316128,10.902889149482107,8.521241523924546,0.0033855410260388236,0.19305409740891508
5,6,0.0024886423865438665,0.0020377295949472332,1.1419844853363767e-06,0.0,8.964912181642208e-06,0.0004509127915966332,0.0,1.4040269050225947e-07,11.419844853363767,11.325225851711714,7.727062291812755,0.0026919657579590676,0.21734692852809434
6,7,0.003169372591293245,0.001946067425221605,1.1135640290553655e-06,0.0,0.0013133276016280338,5.687754668489786e-05,0.0011664276193867422,1.7472051659706226e-07,11.135640290553656,62.48561680379408,15.307219957632856,0.002762213103185704,0.23180482112430464
7,8,0.0016737983457179076,0.0014840720206494573,1.1268452904431464e-06,0.0,0.00014016367907987792,0.00018972632506845033,0.0,1.5524873810993846e-07,11.268452904431465,24.45447102116132,9.058866399665572,0.002244095068512138,0.23804673101887133
8,9,0.0014724444179219332,0.0013152879760865619,1.1175179752803647e-06,0.0,0.0005427648490602488,8.489609634017836e-05,7.226034549519295e-05,1.6721358888034293e-07,11.175179752803647,41.50719651282102,11.175160706208263,0.0021436245746886623,0.24221797223344874
9,10,0.0013456576095646209,0.0012781962029667169,1.1158690575034142e-06,0.0,0.00013504956725432371,6.746140659790401e-05,0.0,1.6668450798556068e-07,11.158690575034143,25.021281984729107,9.057420743996747,0.002122532216838908,0.2508481591607366
