
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils_simple#1 - J=5.9e-02, Jf=5.9e-02, ⟨B·n⟩=2.0e-02, C-C-Sep=0.17 Jf=5.9e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.8e-07, J_ALS=2.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.0, curvature=[3.2, 4.5, 4.7], mean squared curvature=[3.9, 5.0, 5.1]
fun_coils_simple#12 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.13 Jf=3.4e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=8.5e-06, J_MSC=4.5e-05, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.9, 7.6, 5.6], mean squared curvature=[4.5, 5.8, 5.4]
fun_coils_simple#13 - J=3.3e-03, Jf=3.2e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.13 Jf=3.2e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=1.5e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.7, 5.6, 5.5], mean squared curvature=[4.4, 5.4, 5.4]
fun_coils_simple#14 - J=2.8e-03, Jf=2.8e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.14 Jf=2.8e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-06, J_MSC=2.4e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.2, 6.3, 5.4], mean squared curvature=[4.4, 5.5, 5.5]
fun_coils_simple#15 - J=5.3e-02, Jf=1.7e-03, ⟨B·n⟩=3.4e-03, C-C-Sep=0.10 Jf=1.7e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.0e-03, J_MSC=5.1e-02, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.7])=14.3, curvature=[10.6, 51.3, 5.6], mean squared curvature=[6.0, 36.9, 6.1]
fun_coils_simple#16 - J=2.3e-03, Jf=2.2e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.13 Jf=2.2e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.8e-06, J_MSC=6.6e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 6.8, 5.3], mean squared curvature=[4.4, 6.1, 5.4]
fun_coils#1 - J=2.3e-03, Jf=2.2e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.13 Jf=2.2e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.8e-06, J_MSC=6.6e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 6.8, 5.3], mean squared curvature=[4.4, 6.1, 5.4]
fun_coils#2 - J=1.2e+01, Jf=1.3e+00, ⟨B·n⟩=1.4e-01, C-C-Sep=0.05 Jf=1.3e+00, J_length=5.9e-06, J_CC=1.7e-04, J_CURVATURE=7.4e-02, J_MSC=2.3e+00, J_ALS=7.7e-05, J_LENGTH_PENALTY=8.8e+00 Coil lengths=sum([4.9, 47.5, 6.6])=59.1, curvature=[21.0, 40.9, 159.0], mean squared curvature=[13.9, 18.6, 216.5]
fun_coils#3 - J=8.5e-03, Jf=2.2e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.13 Jf=2.2e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=9.4e-04, J_MSC=5.4e-03, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 22.5, 5.2], mean squared curvature=[4.4, 15.4, 5.2]
fun_coils#4 - J=2.2e-03, Jf=2.2e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.13 Jf=2.2e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-07, J_MSC=6.3e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 4.9, 5.3], mean squared curvature=[4.4, 5.1, 5.3]
fun_coils#5 - J=2.2e-03, Jf=2.2e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.13 Jf=2.2e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-07, J_MSC=5.0e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 4.8, 5.3], mean squared curvature=[4.4, 5.1, 5.3]
fun_coils#6 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=9.7e-08, J_MSC=2.9e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 4.8, 5.2], mean squared curvature=[4.4, 5.1, 5.2]
fun_coils#7 - J=1.2e-02, Jf=1.1e-03, ⟨B·n⟩=3.0e-03, C-C-Sep=0.13 Jf=1.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-03, J_MSC=9.2e-03, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[5.1, 23.1, 5.2], mean squared curvature=[4.8, 18.6, 5.4]
fun_coils#8 - J=1.9e-03, Jf=1.9e-03, ⟨B·n⟩=3.9e-03, C-C-Sep=0.13 Jf=1.9e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.1e-06, J_MSC=2.3e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.3, 6.9, 5.1], mean squared curvature=[4.5, 5.7, 5.2]
fun_coils#9 - J=1.8e-03, Jf=1.3e-03, ⟨B·n⟩=3.2e-03, C-C-Sep=0.13 Jf=1.3e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=5.5e-05, J_MSC=5.0e-04, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.9, 8.9, 4.9], mean squared curvature=[4.7, 8.1, 5.2]
fun_coils#10 - J=1.7e-03, Jf=1.6e-03, ⟨B·n⟩=3.6e-03, C-C-Sep=0.13 Jf=1.6e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=8.6e-06, J_MSC=7.4e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.5, 7.6, 5.0], mean squared curvature=[4.5, 6.2, 5.2]
fun_coils#11 - J=1.4e-03, Jf=1.1e-03, ⟨B·n⟩=2.8e-03, C-C-Sep=0.13 Jf=1.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-05, J_MSC=3.5e-04, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[5.5, 8.9, 5.2], mean squared curvature=[4.9, 7.6, 5.4]
fun_coils#12 - J=1.0e-03, Jf=9.9e-04, ⟨B·n⟩=2.7e-03, C-C-Sep=0.13 Jf=9.9e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.5e-07, J_MSC=4.3e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[5.8, 5.2, 5.2], mean squared curvature=[5.0, 5.8, 5.4]
fun_coils#13 - J=9.1e-04, Jf=8.4e-04, ⟨B·n⟩=2.5e-03, C-C-Sep=0.13 Jf=8.4e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.1e-06, J_MSC=6.4e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[6.4, 5.3, 5.4], mean squared curvature=[5.2, 6.0, 5.6]
fun_coils#14 - J=8.2e-04, Jf=6.8e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.12 Jf=6.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.2e-06, J_MSC=1.4e-04, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[4.5, 6.4, 5.5], mean squared curvature=[5.0, 6.5, 5.6]
fun_coils#15 - J=7.0e-04, Jf=6.8e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.12 Jf=6.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.1e-07, J_MSC=2.4e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[4.5, 4.9, 5.4], mean squared curvature=[5.0, 5.5, 5.5]
fun_coils#16 - J=6.8e-04, Jf=6.6e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.12 Jf=6.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.8e-07, J_MSC=2.0e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[4.8, 5.0, 5.3], mean squared curvature=[5.1, 5.4, 5.5]
fun_coils#17 - J=6.3e-04, Jf=6.2e-04, ⟨B·n⟩=2.1e-03, C-C-Sep=0.12 Jf=6.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-08, J_MSC=1.1e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[4.4, 5.2, 5.0], mean squared curvature=[4.8, 5.2, 5.4]
fun_coils#18 - J=5.7e-04, Jf=5.6e-04, ⟨B·n⟩=2.0e-03, C-C-Sep=0.12 Jf=5.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-07, J_MSC=9.3e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.2, curvature=[4.5, 5.2, 5.1], mean squared curvature=[4.9, 5.3, 5.3]
fun_coils#19 - J=5.4e-04, Jf=4.5e-04, ⟨B·n⟩=1.8e-03, C-C-Sep=0.12 Jf=4.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=6.2e-06, J_MSC=8.0e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[6.8, 5.4, 5.3], mean squared curvature=[6.1, 5.6, 5.3]
fun_coils#20 - J=5.1e-04, Jf=5.0e-04, ⟨B·n⟩=1.9e-03, C-C-Sep=0.12 Jf=5.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-07, J_MSC=1.5e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[5.5, 5.3, 5.2], mean squared curvature=[5.4, 5.3, 5.3]
fun_coils#21 - J=4.5e-04, Jf=4.2e-04, ⟨B·n⟩=1.8e-03, C-C-Sep=0.12 Jf=4.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-06, J_MSC=3.0e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.4, 5.9, 5.5], mean squared curvature=[4.8, 5.7, 5.3]
fun_coils#22 - J=4.1e-04, Jf=4.1e-04, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=4.1e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.6e-07, J_MSC=5.6e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.3, 4.9, 5.3], mean squared curvature=[4.7, 5.1, 5.3]
fun_coils#23 - J=4.0e-04, Jf=3.9e-04, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=3.9e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-07, J_MSC=6.5e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.3, 4.8, 5.3], mean squared curvature=[4.7, 5.2, 5.3]
fun_coils#24 - J=3.7e-04, Jf=3.6e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.12 Jf=3.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=9.3e-08, J_MSC=6.0e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.2, 4.7, 5.2], mean squared curvature=[4.6, 5.2, 5.3]
fun_coils#25 - J=3.5e-04, Jf=3.4e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.12 Jf=3.4e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-06, J_MSC=1.3e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.0, 6.7, 5.0], mean squared curvature=[4.6, 5.5, 5.2]
fun_coils#26 - J=3.5e-04, Jf=3.5e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.12 Jf=3.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.4e-08, J_MSC=3.8e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.1, 4.5, 5.1], mean squared curvature=[4.6, 5.1, 5.3]
fun_coils#27 - J=3.2e-04, Jf=3.1e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.12 Jf=3.1e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.7e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[3.9, 4.6, 4.9], mean squared curvature=[4.6, 5.1, 5.2]
fun_coils#28 - J=3.8e-04, Jf=2.6e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-05, J_MSC=9.3e-05, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[3.8, 11.9, 4.8], mean squared curvature=[4.9, 6.3, 5.4]
fun_coils#29 - J=2.9e-04, Jf=2.8e-04, ⟨B·n⟩=1.4e-03, C-C-Sep=0.12 Jf=2.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-07, J_MSC=5.7e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[3.9, 5.5, 4.9], mean squared curvature=[4.7, 5.3, 5.2]
fun_coils#30 - J=2.7e-04, Jf=2.4e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.4e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-06, J_MSC=2.5e-05, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[4.3, 6.2, 5.0], mean squared curvature=[5.2, 5.4, 5.6]
fun_coils#31 - J=2.6e-04, Jf=2.5e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-07, J_MSC=6.1e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.3, curvature=[3.8, 5.5, 4.7], mean squared curvature=[4.9, 5.1, 5.3]
fun_coils#32 - J=2.4e-04, Jf=2.3e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.3e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=6.7e-07, J_MSC=3.9e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[4.1, 5.6, 4.8], mean squared curvature=[5.1, 5.2, 5.2]
fun_coils#33 - J=2.2e-04, Jf=2.2e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.13 Jf=2.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-07, J_MSC=1.0e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[3.9, 5.3, 4.8], mean squared curvature=[4.8, 5.0, 5.1]
fun_coils#34 - J=2.1e-04, Jf=2.1e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.13 Jf=2.1e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-07, J_MSC=1.8e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[4.2, 5.4, 4.9], mean squared curvature=[5.1, 5.1, 5.1]
fun_coils#35 - J=2.0e-04, Jf=2.0e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.13 Jf=2.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.2e-07, J_MSC=6.9e-07, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.4, curvature=[3.6, 5.3, 5.0], mean squared curvature=[4.8, 5.1, 5.1]
fun_coils#36 - J=1.9e-04, Jf=1.9e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.13 Jf=1.9e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.3e-08, J_MSC=1.4e-07, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.4, curvature=[3.5, 5.1, 5.1], mean squared curvature=[4.8, 5.0, 5.1]
fun_coils#37 - J=1.7e-04, Jf=1.6e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=7.5e-08, J_MSC=4.8e-06, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[3.7, 4.8, 5.2], mean squared curvature=[5.0, 5.3, 5.1]
fun_coils#38 - J=1.7e-04, Jf=1.5e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.5e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=1.4e-05, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[4.0, 6.4, 5.3], mean squared curvature=[5.2, 5.5, 5.2]
fun_coils#39 - J=1.6e-04, Jf=1.5e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-07, J_MSC=2.0e-06, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[3.8, 4.7, 5.2], mean squared curvature=[5.1, 5.1, 5.1]
fun_coils#40 - J=1.5e-04, Jf=1.5e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=7.2e-08, J_MSC=1.8e-07, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[3.6, 4.6, 5.2], mean squared curvature=[4.9, 4.9, 5.1]
fun_coils#41 - J=1.5e-04, Jf=1.5e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-08, J_MSC=1.6e-07, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[3.6, 4.6, 5.2], mean squared curvature=[4.9, 4.9, 5.1]
fun_coils#42 - J=1.6e-04, Jf=1.3e-04, ⟨B·n⟩=1.0e-03, C-C-Sep=0.14 Jf=1.3e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.2e-05, J_ALS=3.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([5.0, 4.8, 4.8])=14.6, curvature=[4.4, 4.9, 4.7], mean squared curvature=[5.4, 5.4, 5.4]
fun_coils#43 - J=1.4e-04, Jf=1.3e-04, ⟨B·n⟩=1.0e-03, C-C-Sep=0.14 Jf=1.3e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.2e-07, J_ALS=3.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.6, curvature=[4.0, 4.7, 4.9], mean squared curvature=[5.0, 5.1, 5.1]
