
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06451762722667326
fun_coils#3 - J=2.2e-02, Jf=1.8e-03, ⟨B·n⟩=2.7e-03, C-C-Sep=0.29 Jf=1.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.4e-03, J_MSC=1.7e-02, J_ALS=1.8e-07, J_LENGTH_PENALTY=3.4e-04 Coil lengths=sum([5.2, 5.2])=10.4, curvature=[5.0, 34.1], mean squared curvature=[3.6, 23.6]
fun_coils#4 - J=2.1e-03, Jf=1.8e-03, ⟨B·n⟩=2.7e-03, C-C-Sep=0.29 Jf=1.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=8.3e-05, J_MSC=0.0e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.1, 14.2], mean squared curvature=[3.6, 5.0]
fun_coils#5 - J=2.0e-03, Jf=1.8e-03, ⟨B·n⟩=2.7e-03, C-C-Sep=0.29 Jf=1.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-05, J_MSC=0.0e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.0, 8.6], mean squared curvature=[3.6, 4.4]
fun_coils#6 - J=2.0e-03, Jf=1.8e-03, ⟨B·n⟩=2.7e-03, C-C-Sep=0.29 Jf=1.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.1e-07, J_MSC=0.0e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.2, curvature=[5.0, 5.6], mean squared curvature=[3.6, 4.2]
fun_coils#7 - J=2.0e-03, Jf=1.8e-03, ⟨B·n⟩=2.7e-03, C-C-Sep=0.29 Jf=1.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.0, 4.9], mean squared curvature=[3.6, 4.2]
fun_coils#8 - J=2.0e-03, Jf=1.8e-03, ⟨B·n⟩=2.6e-03, C-C-Sep=0.29 Jf=1.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-07, J_MSC=0.0e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[4.8, 5.5], mean squared curvature=[3.5, 4.2]
fun_coils#9 - J=2.8e-03, Jf=1.6e-03, ⟨B·n⟩=2.5e-03, C-C-Sep=0.28 Jf=1.6e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-04, J_MSC=6.5e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=2.0e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.1, 18.8], mean squared curvature=[3.5, 8.6]
fun_coils#10 - J=1.9e-03, Jf=1.7e-03, ⟨B·n⟩=2.6e-03, C-C-Sep=0.29 Jf=1.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.7e-06, J_MSC=0.0e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[4.9, 6.6], mean squared curvature=[3.5, 4.5]
fun_coils#11 - J=3.0e-03, Jf=1.6e-03, ⟨B·n⟩=2.5e-03, C-C-Sep=0.28 Jf=1.6e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.9e-04, J_MSC=8.2e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=2.0e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.1, 21.5], mean squared curvature=[3.5, 9.1]
fun_coils#12 - J=1.9e-03, Jf=1.7e-03, ⟨B·n⟩=2.6e-03, C-C-Sep=0.29 Jf=1.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-06, J_MSC=0.0e+00, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[4.9, 7.1], mean squared curvature=[3.5, 4.7]
fun_coils#13 - J=1.9e-03, Jf=1.7e-03, ⟨B·n⟩=2.6e-03, C-C-Sep=0.29 Jf=1.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=1.1e-07, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[4.9, 8.8], mean squared curvature=[3.5, 5.0]
fun_coils#14 - J=1.8e-03, Jf=1.6e-03, ⟨B·n⟩=2.5e-03, C-C-Sep=0.28 Jf=1.6e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=9.1e-06, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.9e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.0, 8.1], mean squared curvature=[3.5, 5.4]
fun_coils#15 - J=1.7e-03, Jf=1.5e-03, ⟨B·n⟩=2.4e-03, C-C-Sep=0.27 Jf=1.5e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-06, J_MSC=1.0e-06, J_ALS=1.8e-07, J_LENGTH_PENALTY=2.1e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.1, 6.3], mean squared curvature=[3.6, 5.1]
