
Aspect ratio at max_mode 3: 7.000779660989392
Mean iota at 3: 0.46887205235890034
Squared flux at max_mode 3: 0.0010222385615171338
fun_coils_simple#12 - J=2.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=6.3e-07, J_MSC=1.4e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 11.0, 9.8, 7.9], mean squared curvature=[14.1, 7.8, 5.9, 5.8, 9.7, 10.2, 12.0, 12.8]
fun_coils_simple#13 - J=2.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=6.5e-07, J_MSC=1.4e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 11.0, 9.2, 7.6], mean squared curvature=[14.0, 7.8, 5.9, 5.8, 9.7, 10.1, 11.9, 12.7]
fun_coils_simple#14 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=8.0e-07, J_MSC=1.2e-03, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.8, 11.2, 7.6, 7.1], mean squared curvature=[13.9, 7.8, 5.9, 5.8, 9.6, 9.8, 11.8, 12.4]
fun_coils_simple#15 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-06, J_MSC=1.1e-03, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.8, 11.5, 6.4, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.7, 11.7, 12.2]
fun_coils_simple#16 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-06, J_MSC=9.3e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 11.8, 6.4, 14.4], mean squared curvature=[13.5, 7.8, 5.9, 5.8, 9.4, 9.7, 11.3, 12.1]
fun_coils_simple#17 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=4.3e-06, J_MSC=8.5e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.6, 5.3, 3.6, 4.5, 6.6, 12.6, 7.2, 6.9], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.2, 10.7, 11.3, 11.8]
fun_coils_simple#18 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-06, J_MSC=7.8e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.5, 5.3, 3.6, 4.5, 6.6, 11.9, 6.4, 6.6], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.3, 9.9, 11.1, 11.6]
fun_coils_simple#19 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-06, J_MSC=7.3e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.5, 5.3, 3.6, 4.5, 6.6, 11.9, 5.9, 6.5], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.2, 10.0, 11.0, 11.5]
fun_coils_simple#20 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-06, J_MSC=6.8e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.5, 5.3, 3.6, 4.5, 6.6, 11.7, 5.8, 6.3], mean squared curvature=[13.3, 7.8, 5.9, 5.8, 9.2, 10.1, 10.9, 11.4]
fun_coils_simple#21 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=7.1e-07, J_MSC=6.2e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.5, 11.1, 5.7, 5.9], mean squared curvature=[13.2, 7.8, 5.9, 5.8, 9.1, 10.0, 10.8, 11.3]
