
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils_simple#17 - J=6.5e-03, Jf=2.5e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.5e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-04, J_MSC=9.7e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.9e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[22.9, 9.9, 5.2], mean squared curvature=[6.3, 5.2, 5.5]
fun_coils_simple#18 - J=1.4e+01, Jf=3.1e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.17 Jf=3.1e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-01, J_MSC=1.4e+01, J_ALS=2.8e-07, J_LENGTH_PENALTY=2.3e-03 Coil lengths=sum([4.4, 4.3, 4.4])=13.2, curvature=[590.1, 14.3, 10.1], mean squared curvature=[536.1, 7.8, 10.0]
fun_coils_simple#19 - J=2.8e-01, Jf=2.3e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.16 Jf=2.3e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-02, J_MSC=2.8e-01, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.3e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.4, curvature=[373.6, 10.2, 6.0], mean squared curvature=[79.4, 5.4, 6.2]
fun_coils_simple#20 - J=6.2e-03, Jf=2.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-04, J_MSC=6.5e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.7e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[20.2, 9.9, 5.2], mean squared curvature=[5.9, 5.2, 5.7]
fun_coils#1 - J=6.4e-03, Jf=2.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-04, J_MSC=6.5e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.7e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[20.2, 9.9, 5.2], mean squared curvature=[5.9, 5.2, 5.7]
fun_coils#2 - J=2.8e+01, Jf=3.0e-01, ⟨B·n⟩=9.0e-02, C-C-Sep=0.03 Jf=3.0e-01, J_length=5.7e-06, J_CC=5.7e-04, J_CURVATURE=2.5e-01, J_MSC=1.9e+01, J_ALS=8.5e-05, J_LENGTH_PENALTY=8.8e+00 Coil lengths=sum([45.9, 6.1, 5.3])=57.3, curvature=[89.4, 599.6, 86.0], mean squared curvature=[42.7, 600.9, 140.6]
fun_coils#3 - J=1.6e-02, Jf=2.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=2.3e-03, J_MSC=7.4e-03, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.7e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[86.3, 8.6, 5.2], mean squared curvature=[17.1, 5.0, 5.6]
fun_coils#4 - J=6.3e-03, Jf=2.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=8.8e-05, J_MSC=2.7e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.7e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[17.2, 9.8, 5.2], mean squared curvature=[5.3, 5.2, 5.7]
fun_coils#5 - J=6.2e-03, Jf=2.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=7.0e-05, J_MSC=2.3e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.7e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[15.7, 9.7, 5.2], mean squared curvature=[5.1, 5.2, 5.7]
fun_coils#6 - J=6.2e-03, Jf=2.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-05, J_MSC=1.7e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.7e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[13.2, 8.7, 5.2], mean squared curvature=[4.7, 5.0, 5.6]
fun_coils#7 - J=6.1e-03, Jf=2.4e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-05, J_MSC=1.1e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.7e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[11.5, 7.2, 5.1], mean squared curvature=[4.3, 4.9, 5.5]
