
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.001018332930600819
fun_coils_simple#12 - J=2.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.9e-07, J_MSC=1.5e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 10.7, 10.3, 7.8], mean squared curvature=[14.2, 7.8, 5.9, 5.8, 9.8, 10.5, 12.1, 12.9]
fun_coils_simple#13 - J=2.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-07, J_MSC=1.4e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 10.9, 9.3, 7.6], mean squared curvature=[14.1, 7.8, 5.9, 5.8, 9.7, 10.1, 11.9, 12.7]
fun_coils_simple#14 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.7, 7.1, 10.5], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.7]
fun_coils#1 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.7, 7.1, 10.5], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.7]
fun_coils#2 - J=2.0e+01, Jf=2.6e-01, ⟨B·n⟩=8.0e-02, C-C-Sep=0.01 Jf=2.6e-01, J_length=7.7e-06, J_CC=5.9e-03, J_CURVATURE=1.8e-01, J_MSC=1.1e+01, J_ALS=8.4e-05, J_LENGTH_PENALTY=8.1e+00 Coil lengths=sum([4.8, 3.0, 3.0, 3.0, 3.0, 3.1, 12.6, 43.9])=76.5, curvature=[95.7, 5.4, 3.6, 4.3, 6.8, 500.1, 121.1, 130.7], mean squared curvature=[262.5, 7.9, 5.9, 5.8, 9.7, 390.5, 149.3, 45.4]
fun_coils#3 - J=9.3e+01, Jf=3.1e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.14 Jf=3.1e-03, J_length=2.9e-06, J_CC=0.0e+00, J_CURVATURE=4.6e-01, J_MSC=9.3e+01, J_ALS=1.6e-06, J_LENGTH_PENALTY=3.1e-02 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.7, 7.0])=28.8, curvature=[12.4, 5.3, 3.6, 4.4, 6.7, 15.8, 183.9, 1141.3], mean squared curvature=[28.2, 7.8, 5.9, 5.8, 9.5, 12.7, 507.0, 1279.1]
fun_coils#4 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.6, 7.1, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.7, 12.2]
fun_coils#5 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.6, 7.1, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.7, 12.2]
fun_coils#6 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.0e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.5, 7.4, 6.9], mean squared curvature=[13.7, 7.8, 5.9, 5.8, 9.5, 9.8, 11.4, 12.1]
fun_coils#7 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-06, J_MSC=9.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.4, 7.4, 6.8], mean squared curvature=[13.6, 7.8, 5.9, 5.8, 9.5, 9.7, 11.3, 11.9]
