
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.001018332930600819
fun_coils_simple#1 - J=7.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-05, J_MSC=6.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.3, 14.0, 13.3, 16.1], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.5, 15.4, 15.9, 16.1]
fun_coils_simple#12 - J=2.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.7e-07, J_MSC=1.5e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 10.7, 10.3, 7.8], mean squared curvature=[14.2, 7.8, 5.9, 5.8, 9.8, 10.5, 12.1, 12.9]
fun_coils_simple#13 - J=2.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=4.6e-07, J_MSC=1.4e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 10.9, 9.2, 8.4], mean squared curvature=[14.1, 7.8, 5.9, 5.8, 9.7, 10.1, 11.9, 12.7]
fun_coils_simple#14 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.7, 11.5, 7.2, 9.9], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.6]
fun_coils#1 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.7, 11.5, 7.2, 9.9], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.6]
fun_coils#2 - J=2.0e+01, Jf=2.8e-01, ⟨B·n⟩=9.7e-02, C-C-Sep=0.02 Jf=2.8e-01, J_length=7.9e-06, J_CC=5.2e-03, J_CURVATURE=1.6e-01, J_MSC=1.1e+01, J_ALS=8.1e-05, J_LENGTH_PENALTY=8.5e+00 Coil lengths=sum([5.3, 3.0, 3.0, 3.0, 3.0, 3.1, 14.8, 43.8])=79.1, curvature=[125.9, 5.4, 3.6, 4.3, 6.8, 489.1, 116.1, 93.1], mean squared curvature=[262.0, 7.9, 5.9, 5.8, 9.8, 384.7, 125.7, 29.1]
fun_coils#3 - J=3.6e+01, Jf=2.3e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.19 Jf=2.3e-03, J_length=2.8e-06, J_CC=0.0e+00, J_CURVATURE=2.3e-01, J_MSC=3.6e+01, J_ALS=1.2e-06, J_LENGTH_PENALTY=2.3e-02 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.7, 6.1])=28.0, curvature=[12.3, 5.3, 3.6, 4.4, 6.8, 13.3, 159.8, 517.0], mean squared curvature=[26.9, 7.8, 5.9, 5.8, 9.5, 11.5, 506.3, 699.2]
fun_coils#4 - J=2.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.7, 11.5, 7.1, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.3]
fun_coils#5 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.7, 11.5, 7.1, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.7, 11.7, 12.2]
fun_coils#6 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.4, 7.3, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.7, 11.5, 12.2]
fun_coils#7 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-06, J_MSC=1.0e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.3, 7.6, 6.9], mean squared curvature=[13.7, 7.8, 5.9, 5.8, 9.5, 9.7, 11.4, 12.0]
fun_coils#8 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=6.3e-07, J_MSC=9.1e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.1, 7.2, 7.2], mean squared curvature=[13.6, 7.8, 5.9, 5.8, 9.5, 9.7, 11.3, 11.9]
fun_coils#9 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-07, J_MSC=8.8e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.6, 7.2, 8.2], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.5, 9.6, 11.4, 12.0]
fun_coils#10 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-07, J_MSC=8.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.6, 6.7, 7.7], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.5, 9.6, 11.3, 11.7]
fun_coils#11 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-07, J_MSC=7.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.5, 6.4, 7.6], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.5, 9.6, 11.2, 11.6]
fun_coils#12 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.3e-08, J_MSC=7.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.2, 6.0, 7.7], mean squared curvature=[13.3, 7.8, 5.9, 5.8, 9.5, 9.6, 11.1, 11.5]
fun_coils#13 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.9, 5.8, 6.7], mean squared curvature=[13.2, 7.8, 5.9, 5.8, 9.5, 9.5, 11.0, 11.4]
fun_coils#14 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.2, 6.6, 7.1], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.9, 11.3]
fun_coils#15 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.1, 6.2, 5.7], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.7, 11.1]
fun_coils#16 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 8.9, 5.8, 6.0], mean squared curvature=[13.0, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 11.0]
fun_coils#17 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.9e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.7, 8.7, 6.2, 6.4], mean squared curvature=[12.9, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 10.9]
fun_coils#18 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.7, 8.4, 6.5, 6.6], mean squared curvature=[12.8, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 11.0]
fun_coils#19 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 6.7, 8.1, 6.7, 6.6], mean squared curvature=[12.7, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 10.9]
fun_coils#20 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.8, 7.4, 6.6, 5.9], mean squared curvature=[12.4, 7.8, 5.9, 5.8, 9.5, 9.5, 10.4, 10.8]
fun_coils#21 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-07, J_MSC=4.3e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.4, 6.8, 7.3, 6.8, 11.4], mean squared curvature=[12.2, 7.8, 5.9, 5.8, 9.5, 9.7, 10.3, 12.0]
fun_coils#22 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.1e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.8, 7.3, 6.6, 6.0], mean squared curvature=[12.3, 7.8, 5.9, 5.8, 9.5, 9.6, 10.3, 10.9]
fun_coils#23 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.8, 7.3, 6.5, 5.7], mean squared curvature=[12.2, 7.8, 5.9, 5.8, 9.5, 9.6, 10.2, 10.8]
fun_coils#24 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.3e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.9, 5.3, 3.6, 4.4, 6.8, 7.4, 6.5, 5.7], mean squared curvature=[12.0, 7.8, 5.9, 5.8, 9.5, 9.7, 10.2, 10.8]
fun_coils#25 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.1e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.6, 5.3, 3.6, 4.4, 6.8, 7.5, 6.5, 6.0], mean squared curvature=[11.7, 7.8, 5.9, 5.8, 9.5, 9.8, 10.4, 11.1]
fun_coils#26 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.5, 5.3, 3.6, 4.4, 6.8, 7.4, 6.3, 5.7], mean squared curvature=[11.6, 7.8, 5.9, 5.8, 9.6, 9.8, 10.4, 10.7]
fun_coils#27 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.3, 5.3, 3.6, 4.4, 6.8, 7.5, 6.4, 5.7], mean squared curvature=[11.5, 7.8, 5.9, 5.8, 9.6, 9.8, 10.3, 10.6]
fun_coils#28 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.0, 5.3, 3.6, 4.4, 6.8, 8.1, 6.7, 5.8], mean squared curvature=[11.3, 7.8, 5.9, 5.8, 9.6, 10.0, 10.2, 10.6]
fun_coils#29 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.2e-05, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.7, 5.3, 3.6, 4.4, 6.8, 8.7, 7.3, 6.2], mean squared curvature=[11.0, 7.8, 5.9, 5.8, 9.6, 10.1, 10.1, 10.4]
fun_coils#30 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.3e-05, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.1, 5.3, 3.6, 4.4, 6.8, 7.6, 8.3, 8.1], mean squared curvature=[10.7, 7.8, 5.9, 5.8, 9.6, 9.5, 10.3, 10.6]
