
Aspect ratio at max_mode 3: 7.0005969980925915
Mean iota at 3: -0.46675452068156176
Squared flux at max_mode 3: 0.00776731652366406
fun_coils#1 - J=7.8e-03, Jf=7.6e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.6e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.7e-06, J_MSC=2.1e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[8.2, 9.0, 12.2], mean squared curvature=[10.9, 11.6, 10.9]
fun_coils#2 - J=1.0e+01, Jf=1.4e+00, ⟨B·n⟩=1.9e-01, C-C-Sep=0.01 Jf=1.4e+00, J_length=8.6e-06, J_CC=2.6e-03, J_CURVATURE=1.3e-01, J_MSC=3.6e-01, J_ALS=3.4e-05, J_LENGTH_PENALTY=8.4e+00 Coil lengths=sum([26.9, 27.0, 31.6])=85.5, curvature=[102.3, 197.8, 112.2], mean squared curvature=[48.9, 78.5, 40.7]
fun_coils#3 - J=4.6e-01, Jf=7.0e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.0e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=9.7e-03, J_MSC=4.4e-01, J_ALS=4.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[42.7, 58.8, 66.3], mean squared curvature=[44.4, 68.8, 75.0]
fun_coils#4 - J=7.6e-03, Jf=7.5e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.5e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[7.1, 7.4, 7.7], mean squared curvature=[9.8, 11.2, 9.9]
fun_coils#5 - J=7.5e-03, Jf=7.4e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=5.4e-07, J_MSC=7.7e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[7.6, 11.6, 9.7], mean squared curvature=[9.7, 11.2, 10.1]
fun_coils#6 - J=7.4e-03, Jf=7.4e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=2.0e-09, J_MSC=4.6e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[7.8, 7.9, 10.1], mean squared curvature=[9.7, 10.9, 10.3]
fun_coils#7 - J=7.3e-03, Jf=7.3e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.3e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-07, J_MSC=5.8e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[10.9, 6.2, 10.3], mean squared curvature=[9.9, 10.8, 10.7]
fun_coils#8 - J=7.3e-03, Jf=7.0e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.0e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=7.3e-06, J_MSC=2.2e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[16.5, 9.1, 10.8], mean squared curvature=[10.9, 11.6, 11.0]
fun_coils#9 - J=7.2e-03, Jf=7.1e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.1e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=2.0e-06, J_MSC=7.2e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[13.9, 7.2, 10.0], mean squared curvature=[10.2, 11.0, 10.6]
fun_coils#10 - J=7.1e-03, Jf=7.0e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.0e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[6.6, 8.8, 8.8], mean squared curvature=[9.9, 11.5, 10.7]
fun_coils#11 - J=7.0e-03, Jf=6.9e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=6.9e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.4e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[7.2, 7.9, 7.5], mean squared curvature=[10.2, 11.3, 10.2]
