
fun_coils#1 - J=2.9e-03, Jf=2.9e-03, ⟨B·n⟩=1.7e-02, C-C-Sep=0.19 Jf=2.9e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 9.7], mean squared curvature=[0.9, 9.6]
fun_coils#2 - J=3.9e-01, Jf=1.5e-01, ⟨B·n⟩=4.5e-02, C-C-Sep=0.01 Jf=1.5e-01, J_length=1.6e-06, J_CC=9.1e-04, J_CURVATURE=9.4e-03, J_MSC=7.3e-02, J_ALS=3.0e-06, J_LENGTH_PENALTY=1.6e-01 Coil lengths=sum([6.8, 9.7])=16.5, curvature=[0.9, 75.0], mean squared curvature=[0.9, 49.2]
fun_coils#3 - J=3.1e-02, Jf=2.8e-02, ⟨B·n⟩=6.4e-02, C-C-Sep=0.11 Jf=2.8e-02, J_length=1.0e-06, J_CC=6.6e-06, J_CURVATURE=4.1e-04, J_MSC=2.6e-03, J_ALS=1.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.3])=10.0, curvature=[0.9, 28.1], mean squared curvature=[0.9, 18.2]
fun_coils#4 - J=2.8e-03, Jf=2.8e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.19 Jf=2.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 10.1], mean squared curvature=[0.9, 9.8]
fun_coils#5 - J=2.8e-03, Jf=2.8e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.19 Jf=2.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 10.0], mean squared curvature=[0.9, 9.6]
fun_coils#6 - J=2.7e-03, Jf=2.7e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.18 Jf=2.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.0e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 9.6], mean squared curvature=[0.9, 9.0]
fun_coils#7 - J=2.6e-03, Jf=2.6e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.18 Jf=2.6e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.8e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 9.3], mean squared curvature=[0.9, 8.5]
fun_coils#8 - J=2.4e-03, Jf=2.4e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.16 Jf=2.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.4e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 8.1], mean squared curvature=[0.9, 7.7]
fun_coils#9 - J=2.4e-03, Jf=2.4e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.3])=10.1, curvature=[0.9, 7.6], mean squared curvature=[0.9, 7.7]
fun_coils#10 - J=2.3e-03, Jf=2.3e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.16 Jf=2.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.8e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 7.8], mean squared curvature=[0.9, 7.6]
fun_coils#11 - J=2.3e-03, Jf=2.3e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.15 Jf=2.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.0e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.3])=10.0, curvature=[0.9, 7.7], mean squared curvature=[0.9, 7.7]
fun_coils#12 - J=2.2e-03, Jf=2.2e-03, ⟨B·n⟩=1.4e-02, C-C-Sep=0.15 Jf=2.2e-03, J_length=1.0e-06, J_CC=1.2e-08, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.3])=10.1, curvature=[0.9, 7.9], mean squared curvature=[0.9, 7.9]
fun_coils#13 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=1.4e-02, C-C-Sep=0.14 Jf=2.1e-03, J_length=1.0e-06, J_CC=1.1e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.3])=10.1, curvature=[0.9, 8.5], mean squared curvature=[0.9, 8.2]
fun_coils#14 - J=1.9e-03, Jf=1.9e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.13 Jf=1.9e-03, J_length=1.0e-06, J_CC=8.5e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.4])=10.2, curvature=[0.9, 10.0], mean squared curvature=[0.9, 9.3]
fun_coils#15 - J=1.6e-03, Jf=1.6e-03, ⟨B·n⟩=1.2e-02, C-C-Sep=0.11 Jf=1.6e-03, J_length=1.0e-06, J_CC=5.5e-06, J_CURVATURE=8.0e-06, J_MSC=1.6e-05, J_ALS=2.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.5, curvature=[0.9, 13.3], mean squared curvature=[0.9, 11.6]
fun_coils#16 - J=1.2e-03, Jf=1.2e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.11 Jf=1.2e-03, J_length=1.1e-06, J_CC=5.4e-06, J_CURVATURE=4.0e-06, J_MSC=0.0e+00, J_ALS=2.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.9])=10.7, curvature=[0.9, 12.9], mean squared curvature=[0.9, 10.6]
fun_coils#17 - J=1.4e-03, Jf=8.3e-04, ⟨B·n⟩=8.3e-03, C-C-Sep=0.10 Jf=8.3e-04, J_length=1.1e-06, J_CC=8.5e-06, J_CURVATURE=9.6e-06, J_MSC=0.0e+00, J_ALS=3.1e-08, J_LENGTH_PENALTY=5.4e-04 Coil lengths=sum([6.8, 4.3])=11.1, curvature=[0.9, 13.7], mean squared curvature=[0.9, 10.6]
fun_coils#18 - J=1.0e-03, Jf=9.9e-04, ⟨B·n⟩=9.2e-03, C-C-Sep=0.11 Jf=9.9e-04, J_length=1.1e-06, J_CC=6.8e-06, J_CURVATURE=5.9e-06, J_MSC=0.0e+00, J_ALS=2.6e-08, J_LENGTH_PENALTY=2.4e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 13.3], mean squared curvature=[0.9, 10.7]
fun_coils#19 - J=9.5e-04, Jf=9.3e-04, ⟨B·n⟩=9.1e-03, C-C-Sep=0.12 Jf=9.3e-04, J_length=1.1e-06, J_CC=3.2e-06, J_CURVATURE=2.3e-06, J_MSC=0.0e+00, J_ALS=2.5e-08, J_LENGTH_PENALTY=1.6e-05 Coil lengths=sum([6.8, 4.1])=10.8, curvature=[0.9, 12.5], mean squared curvature=[0.9, 10.0]
fun_coils#20 - J=9.3e-04, Jf=9.1e-04, ⟨B·n⟩=9.0e-03, C-C-Sep=0.12 Jf=9.1e-04, J_length=1.1e-06, J_CC=2.0e-06, J_CURVATURE=7.7e-07, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=2.3e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 11.9], mean squared curvature=[0.9, 9.5]
fun_coils#21 - J=9.1e-04, Jf=9.0e-04, ⟨B·n⟩=8.9e-03, C-C-Sep=0.13 Jf=9.0e-04, J_length=1.1e-06, J_CC=6.6e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.2e-08, J_LENGTH_PENALTY=1.3e-05 Coil lengths=sum([6.8, 4.1])=10.8, curvature=[0.9, 10.8], mean squared curvature=[0.9, 8.8]
fun_coils#22 - J=9.0e-04, Jf=8.8e-04, ⟨B·n⟩=8.7e-03, C-C-Sep=0.14 Jf=8.8e-04, J_length=1.1e-06, J_CC=2.2e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.3e-08, J_LENGTH_PENALTY=2.4e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 10.4], mean squared curvature=[0.9, 8.5]
fun_coils#23 - J=8.8e-04, Jf=8.5e-04, ⟨B·n⟩=8.6e-03, C-C-Sep=0.15 Jf=8.5e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.3e-08, J_LENGTH_PENALTY=2.6e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 9.6], mean squared curvature=[0.9, 7.9]
fun_coils#24 - J=8.7e-04, Jf=8.4e-04, ⟨B·n⟩=8.6e-03, C-C-Sep=0.16 Jf=8.4e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 9.0], mean squared curvature=[0.9, 7.6]
fun_coils#25 - J=8.5e-04, Jf=8.3e-04, ⟨B·n⟩=8.6e-03, C-C-Sep=0.18 Jf=8.3e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.5e-08, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 8.4], mean squared curvature=[0.9, 7.2]
fun_coils#26 - J=8.3e-04, Jf=8.0e-04, ⟨B·n⟩=8.6e-03, C-C-Sep=0.18 Jf=8.0e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.7e-08, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 8.2], mean squared curvature=[0.9, 6.6]
fun_coils#27 - J=8.1e-04, Jf=7.8e-04, ⟨B·n⟩=8.5e-03, C-C-Sep=0.18 Jf=7.8e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.9e-08, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 8.7], mean squared curvature=[0.9, 6.2]
fun_coils#28 - J=8.0e-04, Jf=7.7e-04, ⟨B·n⟩=8.5e-03, C-C-Sep=0.18 Jf=7.7e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.0e-08, J_LENGTH_PENALTY=2.4e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 9.0], mean squared curvature=[0.9, 6.1]
fun_coils#29 - J=7.9e-04, Jf=7.6e-04, ⟨B·n⟩=8.4e-03, C-C-Sep=0.17 Jf=7.6e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.1e-08, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 9.0], mean squared curvature=[0.9, 6.1]
fun_coils#30 - J=7.7e-04, Jf=7.4e-04, ⟨B·n⟩=8.2e-03, C-C-Sep=0.17 Jf=7.4e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.1e-08, J_LENGTH_PENALTY=2.8e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 8.7], mean squared curvature=[0.9, 5.9]
fun_coils#31 - J=7.5e-04, Jf=7.1e-04, ⟨B·n⟩=8.1e-03, C-C-Sep=0.16 Jf=7.1e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.3e-08, J_LENGTH_PENALTY=3.4e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 7.9], mean squared curvature=[0.9, 5.7]
