
fun_coils_simple#12 - J=5.8e-04, Jf=4.3e-04, ⟨B·n⟩=4.5e-03, C-C-Sep=0.12 Jf=4.3e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[3.9, 4.6, 4.8, 4.6], mean squared curvature=[5.7, 5.7, 5.9, 6.1]
fun_coils_simple#13 - J=5.5e-04, Jf=4.1e-04, ⟨B·n⟩=4.4e-03, C-C-Sep=0.12 Jf=4.1e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.0, 4.6, 4.9, 4.7], mean squared curvature=[5.7, 5.7, 5.8, 6.1]
fun_coils_simple#14 - J=5.3e-04, Jf=3.8e-04, ⟨B·n⟩=4.3e-03, C-C-Sep=0.12 Jf=3.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[3.9, 4.7, 4.9, 4.8], mean squared curvature=[5.7, 5.7, 5.9, 6.0]
fun_coils#1 - J=5.3e-04, Jf=3.8e-04, ⟨B·n⟩=4.3e-03, C-C-Sep=0.12 Jf=3.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[3.9, 4.7, 4.9, 4.8], mean squared curvature=[5.7, 5.7, 5.9, 6.0]
fun_coils#2 - J=2.3e+01, Jf=1.1e+00, ⟨B·n⟩=3.3e-01, C-C-Sep=0.02 Jf=1.1e+00, J_length=7.7e-06, J_CC=3.8e-03, J_CURVATURE=6.5e-01, J_MSC=1.4e+01, J_ALS=3.4e-05, J_LENGTH_PENALTY=6.4e+00 Coil lengths=sum([16.1, 7.9, 18.0, 35.3])=77.4, curvature=[313.9, 451.6, 650.5, 215.9], mean squared curvature=[259.2, 342.0, 327.0, 73.2]
fun_coils#3 - J=5.3e-04, Jf=3.8e-04, ⟨B·n⟩=4.3e-03, C-C-Sep=0.12 Jf=3.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[3.9, 4.7, 4.9, 4.8], mean squared curvature=[5.7, 5.7, 5.9, 6.0]
fun_coils#4 - J=5.1e-04, Jf=3.7e-04, ⟨B·n⟩=4.2e-03, C-C-Sep=0.12 Jf=3.7e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.0, 4.6, 4.9, 4.8], mean squared curvature=[5.7, 5.7, 5.8, 6.0]
fun_coils#5 - J=5.0e-04, Jf=3.6e-04, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=3.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.0, 4.5, 4.7, 4.7], mean squared curvature=[5.7, 5.7, 5.8, 6.0]
fun_coils#6 - J=4.7e-04, Jf=3.3e-04, ⟨B·n⟩=4.0e-03, C-C-Sep=0.13 Jf=3.3e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[3.9, 4.4, 4.5, 4.5], mean squared curvature=[5.7, 5.7, 5.8, 6.0]
fun_coils#7 - J=4.5e-04, Jf=3.1e-04, ⟨B·n⟩=3.8e-03, C-C-Sep=0.12 Jf=3.1e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[3.7, 4.3, 4.5, 4.7], mean squared curvature=[5.7, 5.7, 5.8, 6.1]
