
Aspect ratio at max_mode 3: 3.4999672887756104
Mean iota at 3: -0.22999971505212466
Quasisymmetry objective at max_mode 3: 5.3236988549950675e-05
Squared flux at max_mode 3: 0.033433560268673085
fun_coils_simple#15 - J=2.4e-03, Jf=2.4e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.09 Jf=2.4e-03, J_length=1.1e-06, J_CC=3.5e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[0.9, 7.7], mean squared curvature=[0.9, 10.5]
fun_coils#1 - J=2.4e-03, Jf=2.4e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.09 Jf=2.4e-03, J_length=1.1e-06, J_CC=3.5e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[0.9, 7.7], mean squared curvature=[0.9, 10.5]
fun_coils#2 - J=1.1e+00, Jf=1.6e-01, ⟨B·n⟩=1.8e-01, C-C-Sep=0.05 Jf=1.6e-01, J_length=2.5e-06, J_CC=2.4e-03, J_CURVATURE=4.3e-03, J_MSC=3.3e-04, J_ALS=3.7e-06, J_LENGTH_PENALTY=9.7e-01 Coil lengths=sum([6.8, 17.7])=24.5, curvature=[0.9, 51.7], mean squared curvature=[0.9, 14.6]
fun_coils#3 - J=2.3e-03, Jf=2.3e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.12 Jf=2.3e-03, J_length=1.1e-06, J_CC=3.0e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.5, curvature=[0.9, 7.5], mean squared curvature=[0.9, 8.8]
fun_coils#4 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=1.2e-02, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.1e-06, J_CC=1.4e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.3e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.5, curvature=[0.9, 8.1], mean squared curvature=[0.9, 9.2]
fun_coils#5 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.15 Jf=2.0e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[0.9, 9.5], mean squared curvature=[0.9, 9.6]
fun_coils#6 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=1.2e-02, C-C-Sep=0.19 Jf=2.0e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[0.9, 11.5], mean squared curvature=[0.9, 10.3]
fun_coils#7 - J=1.9e-03, Jf=1.9e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.17 Jf=1.9e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[0.9, 10.3], mean squared curvature=[0.9, 9.7]
fun_coils#8 - J=1.8e-03, Jf=1.8e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.18 Jf=1.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.3e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[0.9, 10.9], mean squared curvature=[0.9, 9.8]
fun_coils#9 - J=1.8e-03, Jf=1.8e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.21 Jf=1.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[0.9, 11.5], mean squared curvature=[0.9, 10.2]
