index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
21,7,0.001898029259318003,0.001898000045001257,1.054874658065697e-06,0.0,0.0,0.0,0.0,2.9214316745888916e-08,10.548746580656971,11.23763658483711,10.60611570187114,0.01101169600055391,0.16575823963006708
22,8,0.0018419309786081113,0.0018418978988474421,1.0554512132558572e-06,0.0,0.0,0.0,0.0,3.3079760669171777e-08,10.554512132558571,11.79960409046819,10.664740429602938,0.01054321623835381,0.18474423783490024
23,9,0.0017953691375015089,0.0017953301739225631,1.0575930190295234e-06,0.0,0.0,0.0,0.0,3.8963578945744945e-08,10.575930190295233,12.396206437580718,11.052970587291286,0.010167955587904868,0.21092584292335742
24,10,0.0017533672623868434,0.0017509315358938246,1.0607718232175069e-06,0.0,0.0,2.3932563901816797e-06,0.0,4.247010283717557e-08,10.607718232175069,12.593664129778512,11.492917560108603,0.01000238672394068,0.22523019104273065
25,11,0.0016186080818885965,0.0015485981017361577,1.0704131243853504e-06,0.0,0.0,6.99639360087397e-05,0.0,4.6044143699291185e-08,10.704131243853503,12.620439487588015,11.247228281913975,0.009430903419789785,0.23532554489516294
26,12,0.0014571897184862091,0.0013009319850514564,1.0762601820689963e-06,0.0,0.0,0.0001562234733775506,0.0,3.4260057202267734e-08,10.762601820689964,11.426603609929833,8.62058245118088,0.008657813241991939,0.2159758348189881
27,13,0.004062216386419665,0.003752388134358846,1.0834760965279298e-06,0.0,0.0,0.00030980790681475984,0.0,2.0345246058945387e-08,10.8347609652793,9.562077858878144,6.764412017075487,0.01701872659789932,0.19551878902878037
28,14,0.0014535209057611612,0.0012942431176839488,1.0764302523940578e-06,0.0,0.0,0.00015924412712486154,0.0,3.3660952350754554e-08,10.764302523940579,11.343493636395815,8.502774682770701,0.008651154341182746,0.2152486631725719
29,15,0.0014189256560317495,0.0012133963489623977,1.0788573828676685e-06,0.0,0.0,0.00020550475933978768,0.0,2.4547729564104086e-08,10.788573828676686,10.502868173595251,7.5752455970834305,0.00879098337536659,0.2089375298403943
30,16,0.001406422409783574,0.001229703740173507,1.077382641072168e-06,0.0,0.0,0.0001766942054006573,0.0,2.4464209409827412e-08,10.77382641072168,10.258744322631873,7.4176109436532665,0.008801529619260534,0.21010234915457512
31,17,0.0013796120762770538,0.0012455188695429788,1.074959095432948e-06,0.0,0.0,0.0001340716594708073,0.0,2.154726326770538e-08,10.74959095432948,9.234338003198838,6.800760676024935,0.008728239716035107,0.2089015281297859
32,18,0.0013524938676816804,0.001233393707901544,1.0740166258521989e-06,0.0,0.0,0.0001190827670161145,0.0,1.7392764022043738e-08,10.740166258521988,8.088817067564225,6.076710615796186,0.008568648402277536,0.2031596398826222
33,19,0.001363491453377898,0.0012429266842274047,1.0741117442550883e-06,0.0,0.0,0.00012055521624162762,0.0,9.552908865923853e-09,10.741117442550882,5.053019719057898,4.460724736268613,0.008842107043925742,0.18504249947051643
