
Aspect ratio at max_mode 2: 7.000824458564571
Mean iota at 2: -1.1787660705658396
Quasisymmetry objective at max_mode 2: 0.0040597396717392265
Squared flux at max_mode 2: 0.6489624158255295
fun_coils#289 - J=7.2e-06, Jf=7.0e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=7.0e-06, J_length=1.4e-06, J_CC=4.7e-08, J_CURVATURE=0.0e+00, J_MSC=2.0e-09, J_ALS=2.0e-07, J_LENGTH_PENALTY=2.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.7, 8.7, 7.1, 6.1], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#290 - J=7.2e-06, Jf=7.0e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=7.0e-06, J_length=1.4e-06, J_CC=4.8e-08, J_CURVATURE=0.0e+00, J_MSC=1.4e-08, J_ALS=2.0e-07, J_LENGTH_PENALTY=2.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.7, 8.7, 7.1, 6.1], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#291 - J=7.2e-06, Jf=7.0e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=7.0e-06, J_length=1.4e-06, J_CC=4.8e-08, J_CURVATURE=0.0e+00, J_MSC=4.1e-09, J_ALS=2.0e-07, J_LENGTH_PENALTY=2.5e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.7, 8.7, 7.1, 6.1], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#292 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.0e-08, J_CURVATURE=0.0e+00, J_MSC=9.7e-09, J_ALS=2.0e-07, J_LENGTH_PENALTY=2.3e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.7, 8.7, 7.1, 6.1], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#293 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.1e-08, J_CURVATURE=0.0e+00, J_MSC=3.0e-09, J_ALS=2.0e-07, J_LENGTH_PENALTY=2.2e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.7, 8.7, 7.1, 6.0], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#294 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.1e-08, J_CURVATURE=0.0e+00, J_MSC=2.8e-09, J_ALS=2.0e-07, J_LENGTH_PENALTY=1.9e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.8, 8.7, 7.1, 6.0], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#295 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.3e-08, J_CURVATURE=0.0e+00, J_MSC=6.6e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.7e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.8, 8.7, 7.1, 6.0], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#296 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=2.0e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.3e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.8, 8.7, 7.1, 6.0], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#297 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.6e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.3e-08, J_CURVATURE=0.0e+00, J_MSC=2.2e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.8, 8.7, 7.0, 6.0], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#298 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.5e-08, J_CURVATURE=0.0e+00, J_MSC=4.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=2.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.9, 8.7, 7.0, 5.9], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#299 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.5e-08, J_CURVATURE=0.0e+00, J_MSC=1.2e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=2.7e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.3, 7.9, 8.7, 7.0, 5.9], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#300 - J=7.2e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=9.8e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.9e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 7.0, 5.9], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#301 - J=7.1e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.6e-08, J_CURVATURE=0.0e+00, J_MSC=2.8e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.2e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 7.0, 5.9], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#302 - J=7.1e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=5.9e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=4.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 7.0, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#303 - J=7.1e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=2.9e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=4.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 7.0, 5.9], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#304 - J=7.1e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.8e-08, J_CURVATURE=0.0e+00, J_MSC=1.6e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=4.8e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 7.0, 5.9], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#305 - J=7.1e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.8e-08, J_CURVATURE=0.0e+00, J_MSC=3.9e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=5.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 7.0, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#306 - J=7.1e-06, Jf=6.9e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.9e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=3.4e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=5.0e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 6.9, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#307 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=4.0e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.8e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 6.9, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#308 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=2.4e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.8e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 7.9, 8.7, 6.9, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#309 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=4.9e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.7e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.2, 8.0, 8.7, 6.9, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#310 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.8e-08, J_CURVATURE=0.0e+00, J_MSC=5.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 8.0, 8.7, 6.8, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#311 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.9e-08, J_CURVATURE=0.0e+00, J_MSC=2.4e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.4e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 8.0, 8.7, 6.8, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#312 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.9e-08, J_CURVATURE=0.0e+00, J_MSC=3.7e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 8.0, 8.7, 6.8, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#313 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.9e-08, J_CURVATURE=0.0e+00, J_MSC=3.1e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 8.0, 8.7, 6.8, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#314 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.9e-08, J_CURVATURE=0.0e+00, J_MSC=5.0e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.3e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 8.0, 8.7, 6.7, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#315 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.8e-08, J_CURVATURE=0.0e+00, J_MSC=1.3e-08, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.9e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.9, 8.7, 6.6, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#316 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.6e-08, J_CURVATURE=0.0e+00, J_MSC=2.6e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.7e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.9, 8.7, 6.7, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#317 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=2.4e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.9e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.9, 8.7, 6.7, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#318 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.8e-08, J_CURVATURE=0.0e+00, J_MSC=3.3e-08, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.0e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.9, 8.7, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#319 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=4.4e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=2.2e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.9, 8.7, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#320 - J=7.1e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.6e-08, J_CURVATURE=0.0e+00, J_MSC=2.3e-08, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.4e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.8, 8.7, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#321 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.7e-08, J_CURVATURE=0.0e+00, J_MSC=5.4e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=2.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.9, 8.7, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#322 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.6e-08, J_CURVATURE=0.0e+00, J_MSC=2.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.8, 8.7, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#323 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.5e-08, J_CURVATURE=0.0e+00, J_MSC=3.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.8, 8.7, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#324 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.4e-08, J_CURVATURE=0.0e+00, J_MSC=3.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=4.0e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.8, 8.8, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#325 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.4e-08, J_CURVATURE=0.0e+00, J_MSC=3.7e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=4.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.8, 8.8, 6.6, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#326 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=5.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.5e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.7, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#327 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=2.3e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=2.3e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.7, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#328 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.1e-08, J_CURVATURE=0.0e+00, J_MSC=3.8e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=2.0e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.7, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#329 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=3.7e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.7, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#330 - J=7.0e-06, Jf=6.8e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.8e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=3.1e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.1, 7.7, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#331 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=4.0e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.7e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.8, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#332 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.3e-08, J_CURVATURE=0.0e+00, J_MSC=2.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.8, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#333 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.3e-08, J_CURVATURE=0.0e+00, J_MSC=3.6e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.4e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.8, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#334 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=4.9e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#335 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=4.1e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.1e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#336 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=5.2e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=1.6e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.4, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#337 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.1e-08, J_CURVATURE=0.0e+00, J_MSC=3.0e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=2.0e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.5, 5.7], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#338 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.1e-08, J_CURVATURE=0.0e+00, J_MSC=3.5e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=3.4e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.4, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#339 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=2.1e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=5.5e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.4, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#340 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=1.1e-09, J_ALS=1.9e-07, J_LENGTH_PENALTY=5.2e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.4, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
fun_coils#341 - J=7.0e-06, Jf=6.7e-06, ⟨B·n⟩=6.5e-04, C-C-Sep=0.05 Jf=6.7e-06, J_length=1.4e-06, J_CC=5.2e-08, J_CURVATURE=0.0e+00, J_MSC=4.7e-09, J_ALS=1.8e-07, J_LENGTH_PENALTY=5.2e-09 Coil lengths=sum([2.8, 2.8, 2.8, 2.8, 2.8])=14.0, curvature=[8.0, 7.9, 8.8, 6.4, 5.8], mean squared curvature=[16.0, 16.0, 16.0, 16.0, 16.0]
