
Aspect ratio at max_mode 2: 7.000824458564571
Mean iota at 2: -1.1787660705658396
Quasisymmetry objective at max_mode 2: 0.0040597396717392265
Squared flux at max_mode 2: 0.6489624158255295
fun_coils_simple#13 - J=3.1e-02, Jf=1.0e-02, ⟨B·n⟩=2.8e-02, C-C-Sep=0.01 Jf=1.0e-02, J_length=1.8e-06, J_CC=5.9e-06, J_CURVATURE=5.1e-05, J_MSC=2.5e-03, J_ALS=6.2e-07, J_LENGTH_PENALTY=1.8e-02 Coil lengths=sum([3.9, 3.7, 3.6, 3.5, 3.5])=18.2, curvature=[23.6, 11.2, 9.2, 6.7, 4.9], mean squared curvature=[23.0, 9.7, 7.1, 6.9, 7.8]
fun_coils_simple#14 - J=3.1e-02, Jf=9.8e-03, ⟨B·n⟩=2.8e-02, C-C-Sep=0.00 Jf=9.8e-03, J_length=1.7e-06, J_CC=2.2e-06, J_CURVATURE=3.6e-05, J_MSC=1.1e-02, J_ALS=4.6e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([3.8, 3.4, 3.4, 3.3, 3.3])=17.2, curvature=[21.4, 15.4, 11.4, 5.8, 13.7], mean squared curvature=[28.2, 13.2, 8.6, 9.3, 24.2]
fun_coils_simple#15 - J=2.3e-02, Jf=9.5e-03, ⟨B·n⟩=2.8e-02, C-C-Sep=0.01 Jf=9.5e-03, J_length=1.8e-06, J_CC=3.7e-06, J_CURVATURE=0.0e+00, J_MSC=1.2e-05, J_ALS=5.3e-07, J_LENGTH_PENALTY=1.4e-02 Coil lengths=sum([3.8, 3.5, 3.5, 3.4, 3.4])=17.6, curvature=[15.4, 13.3, 10.3, 5.4, 9.0], mean squared curvature=[16.5, 11.2, 7.8, 7.7, 14.0]
fun_coils_simple#16 - J=2.8e-02, Jf=1.1e-02, ⟨B·n⟩=2.8e-02, C-C-Sep=0.01 Jf=1.1e-02, J_length=1.7e-06, J_CC=2.2e-06, J_CURVATURE=1.0e-04, J_MSC=1.0e-02, J_ALS=3.6e-07, J_LENGTH_PENALTY=7.3e-03 Coil lengths=sum([3.6, 3.3, 3.2, 3.2, 3.2])=16.6, curvature=[24.0, 20.7, 16.2, 10.4, 10.1], mean squared curvature=[28.8, 21.2, 13.0, 12.4, 19.2]
fun_coils_simple#17 - J=2.0e-02, Jf=8.3e-03, ⟨B·n⟩=2.6e-02, C-C-Sep=0.01 Jf=8.3e-03, J_length=1.7e-06, J_CC=2.0e-06, J_CURVATURE=8.2e-06, J_MSC=9.2e-04, J_ALS=4.5e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([3.7, 3.4, 3.4, 3.3, 3.3])=17.2, curvature=[18.6, 16.2, 12.7, 7.4, 9.4], mean squared curvature=[20.3, 14.5, 9.4, 9.1, 15.7]
fun_coils_simple#18 - J=1.8e-02, Jf=1.0e-02, ⟨B·n⟩=2.7e-02, C-C-Sep=0.00 Jf=1.0e-02, J_length=1.7e-06, J_CC=2.2e-06, J_CURVATURE=1.7e-05, J_MSC=5.1e-04, J_ALS=3.6e-07, J_LENGTH_PENALTY=7.4e-03 Coil lengths=sum([3.6, 3.3, 3.3, 3.2, 3.2])=16.6, curvature=[19.7, 17.1, 13.3, 8.2, 9.3], mean squared curvature=[19.1, 15.9, 10.3, 10.1, 17.0]
fun_coils_simple#19 - J=2.6e-02, Jf=1.0e-02, ⟨B·n⟩=2.7e-02, C-C-Sep=0.00 Jf=1.0e-02, J_length=1.6e-06, J_CC=2.4e-06, J_CURVATURE=6.4e-05, J_MSC=9.3e-03, J_ALS=3.5e-07, J_LENGTH_PENALTY=6.8e-03 Coil lengths=sum([3.6, 3.3, 3.2, 3.2, 3.2])=16.5, curvature=[19.5, 21.4, 16.9, 19.1, 17.9], mean squared curvature=[18.1, 22.4, 16.0, 23.2, 25.3]
fun_coils_simple#20 - J=1.8e-02, Jf=1.0e-02, ⟨B·n⟩=2.7e-02, C-C-Sep=0.00 Jf=1.0e-02, J_length=1.7e-06, J_CC=2.2e-06, J_CURVATURE=1.9e-05, J_MSC=4.8e-04, J_ALS=3.6e-07, J_LENGTH_PENALTY=7.1e-03 Coil lengths=sum([3.6, 3.3, 3.2, 3.2, 3.2])=16.5, curvature=[19.7, 17.9, 14.5, 11.7, 6.5], mean squared curvature=[18.5, 17.7, 11.8, 12.6, 11.1]
fun_coils_simple#21 - J=1.6e-02, Jf=9.1e-03, ⟨B·n⟩=2.5e-02, C-C-Sep=0.00 Jf=9.1e-03, J_length=1.7e-06, J_CC=2.1e-06, J_CURVATURE=3.6e-07, J_MSC=5.8e-06, J_ALS=3.7e-07, J_LENGTH_PENALTY=7.1e-03 Coil lengths=sum([3.6, 3.3, 3.2, 3.2, 3.2])=16.5, curvature=[16.7, 9.7, 12.3, 10.8, 11.0], mean squared curvature=[16.3, 9.5, 9.9, 11.0, 12.6]
fun_coils_simple#22 - J=1.6e-02, Jf=9.6e-03, ⟨B·n⟩=2.6e-02, C-C-Sep=0.01 Jf=9.6e-03, J_length=1.6e-06, J_CC=2.2e-06, J_CURVATURE=2.5e-06, J_MSC=1.4e-04, J_ALS=3.4e-07, J_LENGTH_PENALTY=5.8e-03 Coil lengths=sum([3.6, 3.2, 3.2, 3.2, 3.1])=16.3, curvature=[17.7, 8.9, 13.3, 12.5, 13.8], mean squared curvature=[17.2, 9.3, 11.1, 13.2, 17.1]
fun_coils_simple#23 - J=1.8e-02, Jf=1.3e-02, ⟨B·n⟩=3.1e-02, C-C-Sep=0.01 Jf=1.3e-02, J_length=1.5e-06, J_CC=2.1e-06, J_CURVATURE=4.4e-05, J_MSC=1.8e-03, J_ALS=2.8e-07, J_LENGTH_PENALTY=2.8e-03 Coil lengths=sum([3.4, 3.0, 3.0, 3.0, 2.9])=15.4, curvature=[21.6, 12.3, 13.8, 8.0, 7.9], mean squared curvature=[22.0, 11.6, 11.7, 12.3, 14.8]
fun_coils_simple#24 - J=1.5e-02, Jf=1.0e-02, ⟨B·n⟩=2.7e-02, C-C-Sep=0.01 Jf=1.0e-02, J_length=1.6e-06, J_CC=2.2e-06, J_CURVATURE=9.0e-06, J_MSC=2.6e-04, J_ALS=3.2e-07, J_LENGTH_PENALTY=4.6e-03 Coil lengths=sum([3.5, 3.2, 3.1, 3.1, 3.0])=16.0, curvature=[18.6, 9.3, 13.5, 11.1, 9.8], mean squared curvature=[18.3, 9.8, 11.1, 12.3, 12.9]
fun_coils_simple#25 - J=1.5e-02, Jf=1.0e-02, ⟨B·n⟩=2.6e-02, C-C-Sep=0.01 Jf=1.0e-02, J_length=1.6e-06, J_CC=2.1e-06, J_CURVATURE=1.2e-05, J_MSC=1.3e-04, J_ALS=3.2e-07, J_LENGTH_PENALTY=4.5e-03 Coil lengths=sum([3.5, 3.2, 3.1, 3.1, 3.0])=15.9, curvature=[18.9, 9.5, 13.0, 10.4, 9.4], mean squared curvature=[17.6, 9.7, 10.7, 11.7, 12.8]
fun_coils_simple#26 - J=1.4e-02, Jf=9.8e-03, ⟨B·n⟩=2.5e-02, C-C-Sep=0.01 Jf=9.8e-03, J_length=1.6e-06, J_CC=1.9e-06, J_CURVATURE=1.3e-05, J_MSC=1.2e-04, J_ALS=3.1e-07, J_LENGTH_PENALTY=3.8e-03 Coil lengths=sum([3.5, 3.1, 3.1, 3.1, 3.0])=15.8, curvature=[19.2, 10.0, 10.7, 7.4, 9.0], mean squared curvature=[17.5, 9.6, 9.2, 10.1, 13.8]
fun_coils_simple#27 - J=1.3e-02, Jf=1.0e-02, ⟨B·n⟩=2.5e-02, C-C-Sep=0.01 Jf=1.0e-02, J_length=1.5e-06, J_CC=1.7e-06, J_CURVATURE=9.2e-08, J_MSC=1.1e-03, J_ALS=2.7e-07, J_LENGTH_PENALTY=2.4e-03 Coil lengths=sum([3.4, 3.1, 3.0, 3.0, 2.9])=15.4, curvature=[16.4, 11.5, 7.0, 5.7, 9.9], mean squared curvature=[20.2, 9.6, 8.4, 10.4, 17.9]
fun_coils_simple#28 - J=1.3e-02, Jf=9.8e-03, ⟨B·n⟩=2.5e-02, C-C-Sep=0.01 Jf=9.8e-03, J_length=1.6e-06, J_CC=1.8e-06, J_CURVATURE=1.8e-06, J_MSC=5.7e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=3.3e-03 Coil lengths=sum([3.4, 3.1, 3.1, 3.0, 3.0])=15.6, curvature=[17.4, 9.9, 9.5, 6.3, 8.8], mean squared curvature=[17.1, 9.5, 8.8, 10.0, 14.6]
fun_coils_simple#29 - J=1.3e-02, Jf=9.5e-03, ⟨B·n⟩=2.4e-02, C-C-Sep=0.01 Jf=9.5e-03, J_length=1.5e-06, J_CC=1.5e-06, J_CURVATURE=5.2e-05, J_MSC=1.3e-03, J_ALS=2.7e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([3.3, 3.0, 3.0, 3.0, 2.9])=15.3, curvature=[23.7, 12.2, 6.1, 6.6, 10.2], mean squared curvature=[20.2, 9.9, 8.6, 11.1, 18.9]
fun_coils_simple#30 - J=1.3e-02, Jf=9.7e-03, ⟨B·n⟩=2.4e-02, C-C-Sep=0.01 Jf=9.7e-03, J_length=1.6e-06, J_CC=1.7e-06, J_CURVATURE=0.0e+00, J_MSC=2.9e-05, J_ALS=2.9e-07, J_LENGTH_PENALTY=2.9e-03 Coil lengths=sum([3.4, 3.1, 3.1, 3.0, 2.9])=15.5, curvature=[15.7, 10.2, 8.3, 5.4, 9.1], mean squared curvature=[16.8, 9.5, 8.5, 10.0, 15.5]
fun_coils_simple#31 - J=2.9e-02, Jf=9.0e-03, ⟨B·n⟩=2.3e-02, C-C-Sep=0.02 Jf=9.0e-03, J_length=1.5e-06, J_CC=1.3e-06, J_CURVATURE=5.2e-04, J_MSC=1.8e-02, J_ALS=2.5e-07, J_LENGTH_PENALTY=1.2e-03 Coil lengths=sum([3.2, 3.0, 2.9, 2.9, 2.8])=14.9, curvature=[41.6, 16.4, 10.6, 11.3, 12.6], mean squared curvature=[31.7, 12.0, 11.1, 15.3, 26.9]
fun_coils_simple#32 - J=1.2e-02, Jf=9.5e-03, ⟨B·n⟩=2.4e-02, C-C-Sep=0.01 Jf=9.5e-03, J_length=1.5e-06, J_CC=1.6e-06, J_CURVATURE=0.0e+00, J_MSC=2.1e-04, J_ALS=2.7e-07, J_LENGTH_PENALTY=2.3e-03 Coil lengths=sum([3.3, 3.1, 3.0, 3.0, 2.9])=15.3, curvature=[15.7, 11.4, 6.3, 5.6, 9.5], mean squared curvature=[17.4, 9.7, 8.5, 10.5, 17.5]
fun_coils_simple#33 - J=1.1e-01, Jf=7.8e-03, ⟨B·n⟩=2.2e-02, C-C-Sep=0.00 Jf=7.8e-03, J_length=1.5e-06, J_CC=1.2e-06, J_CURVATURE=3.4e-03, J_MSC=1.0e-01, J_ALS=2.5e-07, J_LENGTH_PENALTY=1.2e-03 Coil lengths=sum([3.2, 3.0, 3.0, 2.9, 2.8])=14.9, curvature=[98.0, 13.1, 10.3, 10.0, 8.4], mean squared curvature=[60.9, 11.0, 10.8, 13.5, 15.6]
fun_coils_simple#34 - J=1.1e-02, Jf=9.0e-03, ⟨B·n⟩=2.3e-02, C-C-Sep=0.02 Jf=9.0e-03, J_length=1.5e-06, J_CC=1.4e-06, J_CURVATURE=3.6e-05, J_MSC=4.9e-04, J_ALS=2.7e-07, J_LENGTH_PENALTY=1.9e-03 Coil lengths=sum([3.3, 3.0, 3.0, 3.0, 2.9])=15.2, curvature=[22.4, 11.8, 6.1, 6.3, 9.1], mean squared curvature=[19.1, 9.8, 8.6, 10.9, 16.4]
fun_coils_simple#35 - J=1.0e-02, Jf=8.2e-03, ⟨B·n⟩=2.2e-02, C-C-Sep=0.02 Jf=8.2e-03, J_length=1.5e-06, J_CC=1.4e-06, J_CURVATURE=6.0e-05, J_MSC=4.3e-04, J_ALS=2.7e-07, J_LENGTH_PENALTY=1.8e-03 Coil lengths=sum([3.3, 3.0, 3.0, 3.0, 2.9])=15.2, curvature=[24.2, 11.8, 7.1, 7.0, 8.2], mean squared curvature=[18.9, 9.9, 8.8, 10.9, 15.3]
fun_coils_simple#36 - J=9.7e-03, Jf=7.7e-03, ⟨B·n⟩=2.2e-02, C-C-Sep=0.01 Jf=7.7e-03, J_length=1.5e-06, J_CC=1.4e-06, J_CURVATURE=0.0e+00, J_MSC=7.2e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=2.0e-03 Coil lengths=sum([3.3, 3.1, 3.0, 3.0, 2.9])=15.3, curvature=[14.5, 10.8, 6.2, 5.6, 7.2], mean squared curvature=[17.2, 9.8, 8.3, 10.0, 13.5]
fun_coils_simple#37 - J=9.0e-03, Jf=7.1e-03, ⟨B·n⟩=2.1e-02, C-C-Sep=0.01 Jf=7.1e-03, J_length=1.5e-06, J_CC=1.3e-06, J_CURVATURE=0.0e+00, J_MSC=1.6e-04, J_ALS=2.8e-07, J_LENGTH_PENALTY=1.8e-03 Coil lengths=sum([3.2, 3.0, 3.0, 3.0, 2.9])=15.2, curvature=[15.8, 11.2, 7.8, 6.9, 7.0], mean squared curvature=[17.8, 10.3, 9.0, 10.6, 13.5]
fun_coils_simple#38 - J=8.3e-03, Jf=5.8e-03, ⟨B·n⟩=2.0e-02, C-C-Sep=0.00 Jf=5.8e-03, J_length=1.5e-06, J_CC=1.3e-06, J_CURVATURE=1.2e-05, J_MSC=1.1e-03, J_ALS=2.8e-07, J_LENGTH_PENALTY=1.4e-03 Coil lengths=sum([3.2, 3.0, 3.0, 3.0, 2.9])=15.1, curvature=[20.3, 12.1, 12.3, 10.0, 7.9], mean squared curvature=[20.7, 12.2, 12.2, 13.2, 14.9]
fun_coils_simple#39 - J=8.0e-03, Jf=6.4e-03, ⟨B·n⟩=2.0e-02, C-C-Sep=0.01 Jf=6.4e-03, J_length=1.5e-06, J_CC=1.3e-06, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.8e-07, J_LENGTH_PENALTY=1.5e-03 Coil lengths=sum([3.2, 3.0, 3.0, 3.0, 2.9])=15.1, curvature=[15.3, 11.6, 9.9, 8.3, 7.2], mean squared curvature=[17.6, 11.1, 10.2, 11.6, 13.9]
fun_coils_simple#40 - J=8.1e-03, Jf=5.3e-03, ⟨B·n⟩=1.8e-02, C-C-Sep=0.01 Jf=5.3e-03, J_length=1.5e-06, J_CC=1.2e-06, J_CURVATURE=7.5e-06, J_MSC=1.8e-03, J_ALS=2.7e-07, J_LENGTH_PENALTY=1.1e-03 Coil lengths=sum([3.1, 3.0, 3.0, 2.9, 2.9])=14.9, curvature=[20.4, 13.5, 13.6, 10.9, 8.9], mean squared curvature=[21.9, 13.6, 14.1, 14.6, 16.6]
fun_coils_simple#41 - J=7.3e-03, Jf=5.7e-03, ⟨B·n⟩=1.9e-02, C-C-Sep=0.00 Jf=5.7e-03, J_length=1.5e-06, J_CC=1.3e-06, J_CURVATURE=1.6e-09, J_MSC=3.7e-04, J_ALS=2.7e-07, J_LENGTH_PENALTY=1.3e-03 Coil lengths=sum([3.2, 3.0, 3.0, 3.0, 2.9])=15.0, curvature=[16.1, 12.1, 11.9, 9.7, 8.2], mean squared curvature=[18.7, 12.3, 12.0, 13.0, 15.0]
fun_coils_simple#42 - J=8.3e-03, Jf=4.8e-03, ⟨B·n⟩=1.8e-02, C-C-Sep=0.01 Jf=4.8e-03, J_length=1.5e-06, J_CC=1.1e-06, J_CURVATURE=0.0e+00, J_MSC=2.7e-03, J_ALS=2.6e-07, J_LENGTH_PENALTY=7.7e-04 Coil lengths=sum([3.1, 3.0, 2.9, 2.9, 2.8])=14.8, curvature=[15.8, 15.5, 14.2, 11.0, 10.1], mean squared curvature=[22.2, 15.1, 15.1, 14.7, 19.9]
fun_coils_simple#43 - J=6.6e-03, Jf=5.2e-03, ⟨B·n⟩=1.8e-02, C-C-Sep=0.00 Jf=5.2e-03, J_length=1.5e-06, J_CC=1.2e-06, J_CURVATURE=0.0e+00, J_MSC=3.2e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=1.0e-03 Coil lengths=sum([3.1, 3.0, 3.0, 2.9, 2.9])=14.9, curvature=[13.8, 13.2, 12.7, 10.3, 9.0], mean squared curvature=[18.4, 13.5, 13.2, 13.7, 16.7]
fun_coils_simple#44 - J=5.9e-03, Jf=4.9e-03, ⟨B·n⟩=1.8e-02, C-C-Sep=0.01 Jf=4.9e-03, J_length=1.5e-06, J_CC=1.2e-06, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=9.0e-04 Coil lengths=sum([3.1, 3.0, 3.0, 2.9, 2.9])=14.9, curvature=[14.4, 13.7, 12.7, 9.7, 8.2], mean squared curvature=[17.7, 13.8, 12.9, 12.8, 14.4]
fun_coils_simple#45 - J=5.5e-03, Jf=4.6e-03, ⟨B·n⟩=1.7e-02, C-C-Sep=0.01 Jf=4.6e-03, J_length=1.5e-06, J_CC=1.1e-06, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=2.5e-07, J_LENGTH_PENALTY=7.1e-04 Coil lengths=sum([3.1, 3.0, 2.9, 2.9, 2.8])=14.7, curvature=[15.3, 14.6, 13.0, 9.4, 8.2], mean squared curvature=[17.8, 14.6, 13.1, 12.7, 14.6]
fun_coils_simple#46 - J=5.1e-03, Jf=4.4e-03, ⟨B·n⟩=1.7e-02, C-C-Sep=0.01 Jf=4.4e-03, J_length=1.5e-06, J_CC=1.1e-06, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=2.5e-07, J_LENGTH_PENALTY=5.6e-04 Coil lengths=sum([3.1, 3.0, 2.9, 2.9, 2.8])=14.6, curvature=[15.6, 15.5, 13.2, 9.3, 8.4], mean squared curvature=[17.4, 15.4, 13.4, 12.9, 15.5]
fun_coils_simple#47 - J=4.7e-03, Jf=4.1e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.02 Jf=4.1e-03, J_length=1.5e-06, J_CC=1.1e-06, J_CURVATURE=1.1e-07, J_MSC=1.1e-04, J_ALS=2.5e-07, J_LENGTH_PENALTY=4.8e-04 Coil lengths=sum([3.0, 2.9, 2.9, 2.9, 2.8])=14.6, curvature=[14.8, 16.5, 13.5, 9.4, 8.3], mean squared curvature=[17.4, 16.3, 14.0, 13.3, 16.4]
fun_coils_simple#48 - J=4.4e-03, Jf=3.8e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.02 Jf=3.8e-03, J_length=1.5e-06, J_CC=9.4e-07, J_CURVATURE=0.0e+00, J_MSC=2.6e-05, J_ALS=2.6e-07, J_LENGTH_PENALTY=5.4e-04 Coil lengths=sum([3.0, 3.0, 2.9, 2.9, 2.8])=14.7, curvature=[13.1, 15.7, 13.2, 9.1, 7.2], mean squared curvature=[16.7, 14.8, 13.6, 12.9, 14.1]
fun_coils_simple#49 - J=4.2e-03, Jf=3.7e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.02 Jf=3.7e-03, J_length=1.5e-06, J_CC=9.2e-07, J_CURVATURE=2.4e-08, J_MSC=7.7e-05, J_ALS=2.6e-07, J_LENGTH_PENALTY=4.3e-04 Coil lengths=sum([3.0, 2.9, 2.9, 2.9, 2.8])=14.6, curvature=[12.4, 16.2, 13.2, 9.3, 8.0], mean squared curvature=[17.2, 15.2, 13.9, 13.4, 15.0]
fun_coils_simple#50 - J=4.0e-03, Jf=3.6e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.03 Jf=3.6e-03, J_length=1.5e-06, J_CC=9.4e-07, J_CURVATURE=8.4e-08, J_MSC=2.1e-05, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.7e-04 Coil lengths=sum([3.0, 2.9, 2.9, 2.9, 2.8])=14.5, curvature=[12.1, 16.4, 12.5, 9.3, 8.5], mean squared curvature=[16.7, 15.0, 13.3, 13.3, 15.5]
fun_coils_simple#51 - J=3.8e-03, Jf=3.5e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.03 Jf=3.5e-03, J_length=1.4e-06, J_CC=8.9e-07, J_CURVATURE=2.1e-07, J_MSC=1.5e-05, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.1e-04 Coil lengths=sum([3.0, 2.9, 2.9, 2.9, 2.8])=14.5, curvature=[11.7, 16.7, 11.8, 9.3, 9.2], mean squared curvature=[16.5, 14.9, 13.0, 13.4, 16.2]
fun_coils_simple#52 - J=3.5e-03, Jf=3.2e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.03 Jf=3.2e-03, J_length=1.4e-06, J_CC=7.3e-07, J_CURVATURE=0.0e+00, J_MSC=6.1e-05, J_ALS=2.6e-07, J_LENGTH_PENALTY=2.4e-04 Coil lengths=sum([3.0, 2.9, 2.9, 2.9, 2.8])=14.4, curvature=[11.3, 15.8, 9.5, 8.8, 7.3], mean squared curvature=[17.1, 14.0, 11.4, 13.0, 14.5]
